,building,geometry,amenity,shop,building:levels,name,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
40822161,yes,"POLYGON ((8.0174409 53.3883112, 8.017000400000001 53.3882474, 8.0170046 53.3881942, 8.016422800000001 53.3880783, 8.0166852 53.3874602, 8.0170052 53.3875066, 8.017032 53.3874409, 8.0166764 53.3873893, 8.016808599999999 53.3870649, 8.0171755 53.3871119, 8.017711 53.3871957, 8.0175603 53.3875655, 8.0173033 53.3875283, 8.017288600000001 53.3875643, 8.018325900000001 53.3877147, 8.0182599 53.3878766, 8.0176538 53.3877888, 8.0174409 53.3883112))",,,,,8.017194313516232,53.387697220427825,1.1763762700005584e-06,0
88592640,yes,"POLYGON ((8.0116508 53.3863575, 8.011621 53.386207, 8.011608799999999 53.3861457, 8.012094599999999 53.3861114, 8.012113899999999 53.3862087, 8.0119969 53.3862169, 8.0120155 53.3863101, 8.0120197 53.3863314, 8.0116508 53.3863575))",,,,,8.011843670137557,53.38622911076318,9.074092000158949e-08,0
88592661,yes,"POLYGON ((8.0097323 53.3859737, 8.009523400000001 53.3857354, 8.009338400000001 53.3857931, 8.009547400000001 53.3860314, 8.0097323 53.3859737))",,,,,8.00953536602316,53.38588339206343,5.6129999999595555e-08,0
88592670,yes,"POLYGON ((8.008513199999999 53.3853858, 8.0085078 53.3852739, 8.0086955 53.3852707, 8.008700899999999 53.3853826, 8.008513199999999 53.3853858))",car_wash,,,,8.00860435,53.38532825000001,2.1020910000023298e-08,0
88592672,yes,"POLYGON ((8.0108177 53.3863435, 8.0107271 53.386159, 8.010583199999999 53.3861841, 8.010503399999999 53.3860217, 8.0103524 53.3860481, 8.010522699999999 53.386395, 8.0108177 53.3863435))",,,,,8.01057609060844,53.38622701009884,8.572810000018918e-08,0
88592678,yes,"POLYGON ((8.0094666 53.3849386, 8.009452400000001 53.3848399, 8.0096623 53.3848292, 8.009676499999999 53.3849279, 8.0094666 53.3849386))",,,,,8.00956445,53.3848839,2.086906999972058e-08,0
88592679,yes,"POLYGON ((8.009979899999999 53.3863451, 8.009943099999999 53.3862039, 8.009697299999999 53.3862267, 8.009734099999999 53.3863679, 8.009979899999999 53.3863451))",,,,,8.009838599999998,53.386285900000004,3.55460000005423e-08,0
88592690,yes,"POLYGON ((8.0120643 53.3858781, 8.0120433 53.3856031, 8.011796500000001 53.3856098, 8.011817499999999 53.3858848, 8.0120643 53.3858781))",,,,,8.0119304,53.38574395,6.801070000055688e-08,0
88592702,yes,"POLYGON ((8.012602899999999 53.3857681, 8.012586000000001 53.3856657, 8.0127945 53.3856535, 8.0128114 53.3857558, 8.012602899999999 53.3857681))",,,,,8.012698683297506,53.38571077665678,2.1547000000531276e-08,0
88592713,yes,"POLYGON ((8.010043100000001 53.3931427, 8.010301800000001 53.3930806, 8.0100949 53.3927742, 8.009836200000001 53.3928363, 8.010043100000001 53.3931427))",,,,,8.010069000000001,53.392958449999995,9.211417000002748e-08,0
88592717,farm,"POLYGON ((8.0564658 53.4320322, 8.056396299999999 53.4318691, 8.056959900000001 53.4317838, 8.057002199999999 53.4317774, 8.0570421 53.4317713, 8.0570579 53.4318084, 8.057312100000001 53.4317699, 8.057352 53.4318635, 8.057119 53.4318988, 8.0571328 53.4319313, 8.0564658 53.4320322))",,,,,8.056838552256334,53.43188979866344,1.3820663000166746e-07,0
88592728,yes,"POLYGON ((8.008879800000001 53.3860945, 8.009066499999999 53.3860331, 8.008853500000001 53.3858027, 8.0086668 53.3858641, 8.008879800000001 53.3860945))",,doityourself,,Kranz. Fachmarkt für Bodenbeläge und Tapeten,8.00886665,53.385948600000006,5.609387999975232e-08,0
88592808,yes,"POLYGON ((8.0108166 53.3858765, 8.0108073 53.3856686, 8.010549899999999 53.3856726, 8.0105591 53.3858806, 8.0108166 53.3858765))",,,,,8.010683215164926,53.3857745821852,5.357419000006539e-08,0
88592844,yes,"POLYGON ((8.0110127 53.3848414, 8.010987699999999 53.3846395, 8.010237399999999 53.3846725, 8.0102624 53.3848744, 8.0110127 53.3848414))",,,,,8.01062505,53.38475694999998,1.5231057000038839e-07,0
88592862,yes,"POLYGON ((8.0110185 53.3934639, 8.0113833 53.3933423, 8.0115979 53.3935726, 8.0114468 53.3936297, 8.011541599999999 53.3937445, 8.011866100000001 53.3936302, 8.011168700000001 53.3929265, 8.0106752 53.393112, 8.0110185 53.3934639))",,,,,8.011242830849929,53.39329167496626,3.37800109999637e-07,0
88592889,yes,"POLYGON ((8.009934899999999 53.3859202, 8.010063600000001 53.3858754, 8.009967100000001 53.3857603, 8.010063600000001 53.3857539, 8.0100529 53.3856515, 8.0097954 53.3856643, 8.0098061 53.3857731, 8.009934899999999 53.3859202))",,,,,8.009933307489668,53.38576538317448,4.9494954999823397e-08,0
88592951,yes,"POLYGON ((8.011162799999999 53.385367, 8.010642499999999 53.3853959, 8.010605099999999 53.3851559, 8.011125399999999 53.385127, 8.011162799999999 53.385367))",,,,,8.01088395,53.38526145,1.259528600007822e-07,0
