,Time-steps,AgeIndependent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,0.00020380141179178484,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,3.383401639628037e-05,0.00017840266750641812,0.00017840266750641812,0.00017840266750641812,0.00017840266750641812,0.00017840266750641812,0.00017840266750641812,0.00017840266750641812,0.00017840266750641812,0.00017840266750641812,0.00017840266750641812,0.00017840266750641812,0.00017840266750641812,0.00017840266750641812,0.00017840266750641812,0.00017840266750641812,0.00017840266750641812,0.00017840266750641812,0.00017840266750641812,0.00017840266750641812,0.00017840266750641812,0.0003795956233039711,0.0003795956233039711,0.0003795956233039711,0.0003795956233039711,0.0003795956233039711,0.0003795956233039711,0.0003795956233039711,0.0003795956233039711,0.0003795956233039711,0.0003795956233039711,0.0003795956233039711,0.0003795956233039711,0.0003795956233039711,0.0003795956233039711,0.0003795956233039711,0.0003795956233039711,0.0003795956233039711,0.0003795956233039711,0.0003795956233039711,0.0003795956233039711
1,2,0.00020457338314085644,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,3.3962174935773865e-05,0.00017907843195133572,0.00017907843195133572,0.00017907843195133572,0.00017907843195133572,0.00017907843195133572,0.00017907843195133572,0.00017907843195133572,0.00017907843195133572,0.00017907843195133572,0.00017907843195133572,0.00017907843195133572,0.00017907843195133572,0.00017907843195133572,0.00017907843195133572,0.00017907843195133572,0.00017907843195133572,0.00017907843195133572,0.00017907843195133572,0.00017907843195133572,0.00017907843195133572,0.00038103347863013056,0.00038103347863013056,0.00038103347863013056,0.00038103347863013056,0.00038103347863013056,0.00038103347863013056,0.00038103347863013056,0.00038103347863013056,0.00038103347863013056,0.00038103347863013056,0.00038103347863013056,0.00038103347863013056,0.00038103347863013056,0.00038103347863013056,0.00038103347863013056,0.00038103347863013056,0.00038103347863013056,0.00038103347863013056,0.00038103347863013056,0.00038103347863013056
2,3,0.00020642531506953756,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,3.424538057346058e-05,0.00018101997484967994,0.00018101997484967994,0.00018101997484967994,0.00018101997484967994,0.00018101997484967994,0.00018101997484967994,0.00018101997484967994,0.00018101997484967994,0.00018101997484967994,0.00018101997484967994,0.00018101997484967994,0.00018101997484967994,0.00018101997484967994,0.00018101997484967994,0.00018101997484967994,0.00018101997484967994,0.00018101997484967994,0.00018101997484967994,0.00018101997484967994,0.00018101997484967994,0.0003839505424306901,0.0003839505424306901,0.0003839505424306901,0.0003839505424306901,0.0003839505424306901,0.0003839505424306901,0.0003839505424306901,0.0003839505424306901,0.0003839505424306901,0.0003839505424306901,0.0003839505424306901,0.0003839505424306901,0.0003839505424306901,0.0003839505424306901,0.0003839505424306901,0.0003839505424306901,0.0003839505424306901,0.0003839505424306901,0.0003839505424306901,0.0003839505424306901
3,4,0.00020833807864516652,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,3.453695337966545e-05,0.00018304005818557648,0.00018304005818557648,0.00018304005818557648,0.00018304005818557648,0.00018304005818557648,0.00018304005818557648,0.00018304005818557648,0.00018304005818557648,0.00018304005818557648,0.00018304005818557648,0.00018304005818557648,0.00018304005818557648,0.00018304005818557648,0.00018304005818557648,0.00018304005818557648,0.00018304005818557648,0.00018304005818557648,0.00018304005818557648,0.00018304005818557648,0.00018304005818557648,0.0003869420978302356,0.0003869420978302356,0.0003869420978302356,0.0003869420978302356,0.0003869420978302356,0.0003869420978302356,0.0003869420978302356,0.0003869420978302356,0.0003869420978302356,0.0003869420978302356,0.0003869420978302356,0.0003869420978302356,0.0003869420978302356,0.0003869420978302356,0.0003869420978302356,0.0003869420978302356,0.0003869420978302356,0.0003869420978302356,0.0003869420978302356,0.0003869420978302356
4,5,0.00021031365457169917,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,3.4837135766609223e-05,0.00018514193193944334,0.00018514193193944334,0.00018514193193944334,0.00018514193193944334,0.00018514193193944334,0.00018514193193944334,0.00018514193193944334,0.00018514193193944334,0.00018514193193944334,0.00018514193193944334,0.00018514193193944334,0.00018514193193944334,0.00018514193193944334,0.00018514193193944334,0.00018514193193944334,0.00018514193193944334,0.00018514193193944334,0.00018514193193944334,0.00018514193193944334,0.00018514193193944334,0.0003900100302715877,0.0003900100302715877,0.0003900100302715877,0.0003900100302715877,0.0003900100302715877,0.0003900100302715877,0.0003900100302715877,0.0003900100302715877,0.0003900100302715877,0.0003900100302715877,0.0003900100302715877,0.0003900100302715877,0.0003900100302715877,0.0003900100302715877,0.0003900100302715877,0.0003900100302715877,0.0003900100302715877,0.0003900100302715877,0.0003900100302715877,0.0003900100302715877
5,6,0.00021235398333825848,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,3.514616127609433e-05,0.00018732888183825686,0.00018732888183825686,0.00018732888183825686,0.00018732888183825686,0.00018732888183825686,0.00018732888183825686,0.00018732888183825686,0.00018732888183825686,0.00018732888183825686,0.00018732888183825686,0.00018732888183825686,0.00018732888183825686,0.00018732888183825686,0.00018732888183825686,0.00018732888183825686,0.00018732888183825686,0.00018732888183825686,0.00018732888183825686,0.00018732888183825686,0.00018732888183825686,0.000393156120582688,0.000393156120582688,0.000393156120582688,0.000393156120582688,0.000393156120582688,0.000393156120582688,0.000393156120582688,0.000393156120582688,0.000393156120582688,0.000393156120582688,0.000393156120582688,0.000393156120582688,0.000393156120582688,0.000393156120582688,0.000393156120582688,0.000393156120582688,0.000393156120582688,0.000393156120582688,0.000393156120582688,0.000393156120582688
6,7,0.00021446095529901343,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,3.546425309640501e-05,0.00018960422176391597,0.00018960422176391597,0.00018960422176391597,0.00018960422176391597,0.00018960422176391597,0.00018960422176391597,0.00018960422176391597,0.00018960422176391597,0.00018960422176391597,0.00018960422176391597,0.00018960422176391597,0.00018960422176391597,0.00018960422176391597,0.00018960422176391597,0.00018960422176391597,0.00018960422176391597,0.00018960422176391597,0.00018960422176391597,0.00018960422176391597,0.00018960422176391597,0.000396382031400529,0.000396382031400529,0.000396382031400529,0.000396382031400529,0.000396382031400529,0.000396382031400529,0.000396382031400529,0.000396382031400529,0.000396382031400529,0.000396382031400529,0.000396382031400529,0.000396382031400529,0.000396382031400529,0.000396382031400529,0.000396382031400529,0.000396382031400529,0.000396382031400529,0.000396382031400529,0.000396382031400529,0.000396382031400529
7,8,0.00021663640017806468,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,3.579162252108483e-05,0.000191971285225184,0.000191971285225184,0.000191971285225184,0.000191971285225184,0.000191971285225184,0.000191971285225184,0.000191971285225184,0.000191971285225184,0.000191971285225184,0.000191971285225184,0.000191971285225184,0.000191971285225184,0.000191971285225184,0.000191971285225184,0.000191971285225184,0.000191971285225184,0.000191971285225184,0.000191971285225184,0.000191971285225184,0.000191971285225184,0.00039968929332637556,0.00039968929332637556,0.00039968929332637556,0.00039968929332637556,0.00039968929332637556,0.00039968929332637556,0.00039968929332637556,0.00039968929332637556,0.00039968929332637556,0.00039968929332637556,0.00039968929332637556,0.00039968929332637556,0.00039968929332637556,0.00039968929332637556,0.00039968929332637556,0.00039968929332637556,0.00039968929332637556,0.00039968929332637556,0.00039968929332637556,0.00039968929332637556
8,9,0.0002188820759962765,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,3.6128467353049486e-05,0.00019443341580310444,0.00019443341580310444,0.00019443341580310444,0.00019443341580310444,0.00019443341580310444,0.00019443341580310444,0.00019443341580310444,0.00019443341580310444,0.00019443341580310444,0.00019443341580310444,0.00019443341580310444,0.00019443341580310444,0.00019443341580310444,0.00019443341580310444,0.00019443341580310444,0.00019443341580310444,0.00019443341580310444,0.00019443341580310444,0.00019443341580310444,0.00019443341580310444,0.00040307929087560684,0.00040307929087560684,0.00040307929087560684,0.00040307929087560684,0.00040307929087560684,0.00040307929087560684,0.00040307929087560684,0.00040307929087560684,0.00040307929087560684,0.00040307929087560684,0.00040307929087560684,0.00040307929087560684,0.00040307929087560684,0.00040307929087560684,0.00040307929087560684,0.00040307929087560684,0.00040307929087560684,0.00040307929087560684,0.00040307929087560684,0.00040307929087560684
9,10,0.00022119965742254955,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,3.647497025845661e-05,0.00019699395647627773,0.00019699395647627773,0.00019699395647627773,0.00019699395647627773,0.00019699395647627773,0.00019699395647627773,0.00019699395647627773,0.00019699395647627773,0.00019699395647627773,0.00019699395647627773,0.00019699395647627773,0.00019699395647627773,0.00019699395647627773,0.00019699395647627773,0.00019699395647627773,0.00019699395647627773,0.00019699395647627773,0.00019699395647627773,0.00019699395647627773,0.00019699395647627773,0.00040655324829405175,0.00040655324829405175,0.00040655324829405175,0.00040655324829405175,0.00040655324829405175,0.00040655324829405175,0.00040655324829405175,0.00040655324829405175,0.00040655324829405175,0.00040655324829405175,0.00040655324829405175,0.00040655324829405175,0.00040655324829405175,0.00040655324829405175,0.00040655324829405175,0.00040655324829405175,0.00040655324829405175,0.00040655324829405175,0.00040655324829405175,0.00040655324829405175
