,building,geometry,amenity,shop,leisure,sport,building:levels,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
30667884,yes,"POLYGON ((12.0066898 47.7722564, 12.0066242 47.7720212, 12.0072178 47.7719465, 12.007283 47.7721807, 12.0071543 47.7721969, 12.0071717 47.7722596, 12.0069912 47.7722823, 12.0070014 47.7723188, 12.0069308 47.7723277, 12.0069207 47.7722916, 12.006739 47.7723144, 12.0067217 47.7722524, 12.0066898 47.7722564))",,,sports_centre,multi,,12.006952511287029,47.772129007817874,1.74735270001132e-07,2
87533631,yes,"POLYGON ((12.0429892 47.7625927, 12.0432284 47.7625926, 12.0432283 47.7624681, 12.0430002 47.7624682, 12.0430003 47.7625044, 12.0429355 47.7625044, 12.0429356 47.7625773, 12.0429892 47.7625773, 12.0429892 47.7625927))",,,,,,12.04309294365695,47.76253216115334,3.3284704999676756e-08,2
87534103,yes,"POLYGON ((12.0426636 47.7625018, 12.0429071 47.7625027, 12.0429066 47.7625635, 12.0428352 47.7625632, 12.0428348 47.7626251, 12.0426626 47.7626245, 12.0426636 47.7625018))",,,,,,12.042769955449057,47.762558264186794,2.5456935000161055e-08,2
87536377,yes,"POLYGON ((12.0495404 47.7586345, 12.0495106 47.7587057, 12.0495933 47.7587213, 12.04961 47.7586812, 12.0497653 47.7587105, 12.0498115 47.7585999, 12.0496094 47.7585617, 12.0495761 47.7586413, 12.0495404 47.7586345))",,,,,,12.049665985259901,47.75864392606116,2.8901429999607486e-08,2
87536945,yes,"POLYGON ((12.048259 47.7634838, 12.048487 47.7634741, 12.0484595 47.7631827, 12.0482315 47.7631924, 12.048259 47.7634838))",,,,,,12.04835925,47.76333325000001,6.670595000037581e-08,2
87537439,yes,"POLYGON ((12.0495314 47.7621174, 12.0496595 47.7621327, 12.0496892 47.7620203, 12.0495611 47.762005, 12.0495314 47.7621174))",,,,,,12.049610300000001,47.76206885,1.485284999995094e-08,2
87537573,yes,"POLYGON ((12.0498887 47.7618005, 12.0500075 47.7618143, 12.0500411 47.7616837, 12.0499223 47.7616699, 12.0498887 47.7618005))",,,,,,12.049964899999999,47.76174209999999,1.597895999965003e-08,2
88685013,yes,"POLYGON ((11.9764508 47.8017813, 11.9770084 47.8017759, 11.9770057 47.8016462, 11.976448 47.8016515, 11.9764508 47.8017813))",,,,,,11.976728188807854,47.801713723449375,7.236980000159582e-08,2
88685589,yes,"POLYGON ((11.9749438 47.8028985, 11.9752927 47.8029129, 11.9752808 47.8030437, 11.974932 47.8030292, 11.9749438 47.8028985))",,,,,,11.97511234832473,47.80297107312587,4.578337000015892e-08,2
88687176,yes,"POLYGON ((11.9749079 47.8032544, 11.975511 47.8032894, 11.9755208 47.8032137, 11.9749177 47.8031787, 11.9749079 47.8032544))",,,,,,11.975214349999995,47.80323405,4.5997669999987996e-08,2
88695010,yes,"POLYGON ((11.9405902 47.8176375, 11.9408906 47.8176191, 11.9408751 47.8175041, 11.9405746 47.8175225, 11.9405902 47.8176375))",,,,,,11.940732623249865,47.81757079691752,3.483786999912062e-08,2
88695013,yes,"POLYGON ((11.9401943 47.8179116, 11.9404891 47.8178891, 11.9404316 47.8175503, 11.9401367 47.8175729, 11.9401943 47.8179116))",,,,,,11.94031292973427,47.81773096343731,1.0117819000045383e-07,2
88695020,yes,"POLYGON ((11.9422964 47.81864, 11.9424456 47.8186274, 11.9424213 47.8184971, 11.9422721 47.8185096, 11.9422964 47.81864))",,,,,,11.942358840857949,47.81856852712622,1.9753184999790714e-08,2
88695027,yes,"POLYGON ((11.9411499 47.816982, 11.941417 47.8169427, 11.9413791 47.8168266, 11.941112 47.816866, 11.9411499 47.816982))",,,,,,11.941264517931057,47.81690432117589,3.248832000073771e-08,2
88695656,yes,"POLYGON ((11.945722 47.8140759, 11.9458287 47.8141056, 11.9457442 47.8142428, 11.9456374 47.8142132, 11.945722 47.8140759))",,,,,,11.94573306576422,47.81415937654872,1.7158345000265116e-08,2
88695658,yes,"POLYGON ((11.9445395 47.8145752, 11.9446842 47.8145829, 11.9446995 47.8144532, 11.9445548 47.8144455, 11.9445395 47.8145752))",,,,,,11.9446195,47.8145142,1.888539999982078e-08,2
88695659,yes,"POLYGON ((11.9448867 47.8145801, 11.9450353 47.8145878, 11.9450383 47.8145614, 11.9451242 47.8145658, 11.9451332 47.8144868, 11.9448987 47.8144748, 11.9448867 47.8145801))",,,,,,11.94500291588769,47.814529107100626,2.2571710000343504e-08,2
88695667,yes,"POLYGON ((11.9458334 47.8144072, 11.9459805 47.8144438, 11.9459388 47.8145195, 11.9461902 47.814582, 11.9462312 47.8145076, 11.9464022 47.8145501, 11.9464771 47.8144143, 11.9461096 47.814323, 11.9461408 47.8142663, 11.9459983 47.8142309, 11.9459702 47.814282, 11.9459105 47.8142672, 11.9458334 47.8144072))",,,,,,11.946134290693852,47.81441887743991,1.1854244499929519e-07,2
89878025,yes,"POLYGON ((12.0192896 47.8075713, 12.0194692 47.8076849, 12.019321 47.8077903, 12.019432 47.8078602, 12.0192756 47.8079734, 12.0191652 47.807909, 12.0190972 47.8079531, 12.0189199 47.8078489, 12.0192896 47.8075713))",,,,,,12.019216344069749,47.80778857392763,1.1273354000009011e-07,2
89878027,yes,"POLYGON ((12.0102039 47.8027862, 12.0100718 47.8027975, 12.0100396 47.8026282, 12.0101717 47.8026169, 12.0102039 47.8027862))",,,,,,12.01012175,47.80270719999999,2.272838999997597e-08,2
91119535,yes,"POLYGON ((11.9650633 47.8181034, 11.9647596 47.8181236, 11.9646914 47.8176611, 11.9649951 47.8176409, 11.9650633 47.8181034))",,,,,,11.96487735,47.81788225,1.4183888999935663e-07,2
91119540,yes,"POLYGON ((11.9658543 47.8175997, 11.9658597 47.817679, 11.9660097 47.8176745, 11.9660043 47.8175951, 11.9658543 47.8175997))",,,,,,11.965932015700167,47.81763707422376,1.1927070000047332e-08,2
91119541,yes,"POLYGON ((11.9659771 47.8179523, 11.9659556 47.817848, 11.9661534 47.8178297, 11.9661748 47.817934, 11.9659771 47.8179523))",,,,,,11.966065222678141,47.817890995819596,2.1017860000764343e-08,2
98015187,yes,"POLYGON ((12.009761 47.7876338, 12.0097689 47.7873882, 12.0096256 47.7873861, 12.0096177 47.7876317, 12.009761 47.7876338))",,,,,,12.009693299999999,47.78750994999999,3.521106999983602e-08,2
98015191,yes,"POLYGON ((12.0096673 47.7891699, 12.0096525 47.7888917, 12.0087892 47.7889125, 12.0088041 47.7891907, 12.0096673 47.7891699))",,,,,,12.009228274234575,47.78904119733286,2.4046502999703407e-07,2
98015196,yes,"POLYGON ((12.0068043 47.788683, 12.0068047 47.7887414, 12.006463 47.7887423, 12.0064621 47.7885914, 12.0063653 47.7885917, 12.0063643 47.7884234, 12.0065131 47.788423, 12.0065126 47.7883357, 12.0067476 47.788335, 12.0067479 47.7883922, 12.0069093 47.7883918, 12.006911 47.7886827, 12.0068043 47.788683))",,,,,,12.006652794375983,47.788542656302994,1.7855417500142712e-07,2
98015204,yes,"POLYGON ((12.008173 47.7886916, 12.0081809 47.788788, 12.0082065 47.7892716, 12.0078036 47.7892745, 12.0078057 47.7892212, 12.0074615 47.7892238, 12.0074619 47.7892803, 12.0071275 47.7892812, 12.0071175 47.7891728, 12.0069532 47.7891769, 12.0069472 47.7890638, 12.007007 47.7890641, 12.0070047 47.7889997, 12.0068827 47.7889969, 12.0068715 47.7888412, 12.0069781 47.7888387, 12.0069762 47.7887546, 12.0070248 47.7887546, 12.0070248 47.7888061, 12.0072727 47.7888032, 12.0071443 47.7878303, 12.0074554 47.7878087, 12.0076207 47.7887203, 12.0077671 47.7887242, 12.007766 47.7885669, 12.0080708 47.7885556, 12.0080885 47.7883422, 12.0082387 47.7883422, 12.0082495 47.7884071, 12.0083853 47.788408, 12.0084021 47.7883653, 12.0084878 47.7883772, 12.0084166 47.788555, 12.0081738 47.7886086, 12.008173 47.7886916))",,,,,,12.007599244670885,47.788735742054584,1.0802605049996564e-06,2
101789467,yes,"POLYGON ((12.0139835 47.7898921, 12.0139904 47.7898006, 12.0138627 47.7897962, 12.0138558 47.7898878, 12.0139835 47.7898921))",,,,,,12.013923088439732,47.789844174155945,1.1720950000543559e-08,2
101789470,yes,"POLYGON ((12.013381 47.7896926, 12.0132628 47.7894727, 12.0130777 47.7895142, 12.0131958 47.789734, 12.013381 47.7896926))",,,,,,12.013229334862542,47.78960337736941,4.5602545000945876e-08,2
102013383,school,"POLYGON ((11.9733062 47.7959276, 11.9733214 47.7957743, 11.9733594 47.795776, 11.9738715 47.795799, 11.9738613 47.7959023, 11.9738346 47.7959011, 11.9738296 47.7959511, 11.9733062 47.7959276))",,,,,,11.973584731515468,47.7958622790831,8.336942000110012e-08,2
102013386,yes,"POLYGON ((11.9740088 47.7936377, 11.9739985 47.7935593, 11.9739819 47.7934328, 11.974592 47.7934101, 11.9746127 47.7936068, 11.9740088 47.7936377))",,,,,,11.974296707656908,47.79352180051427,1.22524194998734e-07,2
102130909,yes,"POLYGON ((11.9615211 47.7963581, 11.9615783 47.7962922, 11.9613969 47.7962211, 11.9613486 47.7962021, 11.9612913 47.796268, 11.9615211 47.7963581))",,,,,,11.961434812970563,47.79628011124178,2.02925149997244e-08,2
104408656,yes,"POLYGON ((12.0083549 47.7841394, 12.0087078 47.7840278, 12.0086287 47.7839149, 12.0083747 47.7839952, 12.0083475 47.7839563, 12.0082485 47.7839876, 12.0083549 47.7841394))",,,,,,12.008475913095662,47.784023998052035,5.337890499989364e-08,2
104408658,yes,"POLYGON ((12.0060683 47.7823636, 12.0062676 47.7823657, 12.0062644 47.7825041, 12.0064032 47.7825055, 12.0064069 47.7823453, 12.006302 47.7823442, 12.0063065 47.7821527, 12.0060732 47.7821503, 12.0060683 47.7823636))",,,,,,12.006232639838524,47.78230912416183,7.127303000001164e-08,2
