,building,geometry,amenity,shop,leisure,sport,healthcare,building:levels,name,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
26948752,warehouse,"POLYGON ((9.3350604 50.2336446, 9.335251899999999 50.2335978, 9.335266000000001 50.2336214, 9.3355666 50.2335479, 9.3358872 50.2340847, 9.3353951 50.2342049, 9.3350604 50.2336446))",,,,,,,,9.335475511277089,50.23387232651838,3.0786317500185673e-07,2
49600832,yes,"POLYGON ((9.354665600000001 50.2245569, 9.354726599999999 50.2243764, 9.354687200000001 50.2243709, 9.354633 50.2243635, 9.354616 50.2244138, 9.3545473 50.2244043, 9.354503299999999 50.2245344, 9.354665600000001 50.2245569))",,,,,,,,9.3546182832081,50.224464992555994,2.704041000039176e-08,1
49600833,yes,"POLYGON ((9.3547838 50.2243843, 9.354841499999999 50.2242137, 9.3548104 50.2242094, 9.354695899999999 50.2241935, 9.354653000000001 50.2243202, 9.354702100000001 50.224327, 9.354687200000001 50.2243709, 9.354726599999999 50.2243764, 9.3547838 50.2243843))",,,,,,,,9.35474645026742,50.224283535945496,2.3755439999714905e-08,1
49689680,yes,"POLYGON ((9.3546824 50.2241169, 9.3548475 50.2241364, 9.3548866 50.2240012, 9.3547215 50.2239817, 9.3546824 50.2241169))",,,,,,,,9.354784500000001,50.224059049999994,2.308396999975801e-08,1
49689681,yes,"POLYGON ((9.354700899999999 50.2237051, 9.3548583 50.2237262, 9.3549001 50.2235987, 9.3548794 50.2235959, 9.3548884 50.2235684, 9.354799999999999 50.2235566, 9.3547913 50.2235831, 9.354742999999999 50.2235766, 9.354700899999999 50.2237051))",,,,,,,,9.354804651100633,50.223643591171495,2.3539725000003487e-08,1
49689682,yes,"POLYGON ((9.354749200000001 50.223903, 9.3549021 50.2239227, 9.354940300000001 50.2238008, 9.3547876 50.2237811, 9.354749200000001 50.223903))",,,,,,,,9.354844793396454,50.22385191244488,1.938083000068313e-08,1
49689683,yes,"POLYGON ((9.3546031 50.2234696, 9.354765499999999 50.2234919, 9.354825 50.2233142, 9.354662599999999 50.223292, 9.3546031 50.2234696))",,,,,,,,9.354714056306019,50.22339192891714,3.0174234999990505e-08,1
49689684,yes,"POLYGON ((9.3549126 50.2245865, 9.355028600000001 50.2246034, 9.355069500000001 50.2246096, 9.355119 50.2244725, 9.3550024 50.2244552, 9.3549927 50.224482, 9.354952600000001 50.224476, 9.3549126 50.2245865))",,,,,,,,9.355017850817232,50.224532782227996,2.1513794999865246e-08,1
49709714,yes,"POLYGON ((9.3545558 50.2232137, 9.3546739 50.2232607, 9.354662599999999 50.223292, 9.354825 50.2233142, 9.3548428 50.2232642, 9.354748499999999 50.2232508, 9.3547867 50.2232115, 9.3547619 50.2232023, 9.3547859 50.2231761, 9.3547484 50.2231621, 9.3547685 50.2231401, 9.354660000000001 50.2230996, 9.3545558 50.2232137))",,,,,,,,9.354700149621989,50.22321176918443,3.058832999959634e-08,1
49710637,church,"POLYGON ((9.349960599999999 50.2314062, 9.3501276 50.2313885, 9.350146199999999 50.2314082, 9.3502674 50.2313956, 9.3502694 50.2313533, 9.350211399999999 50.2312711, 9.350141000000001 50.2312817, 9.350045700000001 50.2310896, 9.3499871 50.2310974, 9.349982000000001 50.2310792, 9.3499447 50.231084, 9.3499143 50.2310887, 9.349919 50.231106, 9.349861900000001 50.2311125, 9.3498883 50.2313168, 9.3498169 50.2313287, 9.3498055 50.2314281, 9.349831399999999 50.2314513, 9.3499567 50.2314367, 9.349960599999999 50.2314062))",place_of_worship,,,,,,St. Michael,9.350009217384494,50.23128447651807,9.756229000070632e-08,2
