,building,geometry,amenity,healthcare,healthcare:speciality,building:levels,school_type,type,members,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
39061086,retail,"POLYGON ((5.9880809 50.994718, 5.9882185 50.9942714, 5.9882031 50.9942695, 5.9882139 50.9942345, 5.988229 50.9942363, 5.9883454 50.9938554, 5.9883301 50.9938535, 5.9883355 50.9938359, 5.9883507 50.9938377, 5.9883913 50.993704, 5.9889495 50.9937712, 5.9888021 50.9942564, 5.9888721 50.9942648, 5.9888449 50.9943546, 5.9887739 50.9943461, 5.9887069 50.9945666, 5.9888479 50.9945835, 5.9893252 50.9946419, 5.9892607 50.9948506, 5.9889931 50.9948178, 5.9889623 50.9949176, 5.9887523 50.9948919, 5.9887456 50.9949138, 5.9886058 50.9948967, 5.9886398 50.9947862, 5.9880809 50.994718))",,,,1,,,,5.988613849926164,50.99435715575597,7.679212850011417e-07,1
39061127,retail,"POLYGON ((5.9861385 50.9948222, 5.9861493 50.9946314, 5.9872147 50.9946551, 5.9872038 50.994846, 5.9861385 50.9948222))",,,,,,,,5.986676622574549,50.994738674652595,2.035797349990955e-07,1
39061142,retail,"POLYGON ((5.9870014 50.9943271, 5.9870139 50.9942864, 5.9870873 50.9940431, 5.9871537 50.9938266, 5.9873536 50.9938507, 5.9873758 50.993778, 5.987522 50.9937959, 5.9873467 50.9943693, 5.9870014 50.9943271))",,,,1,,,,5.987261198255958,50.99408186681645,1.9063538000070318e-07,1
39061150,retail,"POLYGON ((5.9852884 50.9942115, 5.9853309 50.9940724, 5.985901 50.9941419, 5.9858583 50.9942808, 5.9852884 50.9942115))",,,,,,,,5.985594593704045,50.99417663783578,8.2186439998486e-08,1
39061165,retail,"POLYGON ((5.985435 50.9937745, 5.9855336 50.9934538, 5.9854614 50.993445, 5.9854794 50.9933857, 5.9855519 50.9933944, 5.9855616 50.9933628, 5.9858637 50.9933994, 5.9857377 50.9938115, 5.985435 50.9937745))",,,,1,,,,5.985644731583948,50.99358155388609,1.3366163500009587e-07,1
47203724,yes,"POLYGON ((6.0183457 50.9656216, 6.0182881 50.9656545, 6.0183597 50.9657044, 6.0184173 50.9656715, 6.0183457 50.9656216))",,,,,,,,6.0183526999999994,50.965663,5.22988000008011e-09,1
47203725,yes,"POLYGON ((6.009194 50.9589916, 6.0093322 50.9585799, 6.0095304 50.9586011, 6.010028 50.9586655, 6.0099509 50.958907, 6.0098917 50.9590846, 6.009194 50.9589916))",,,,,,,,6.00961277455767,50.958829998427014,3.030957749974966e-07,1
47203727,yes,"POLYGON ((6.0166698 50.9629701, 6.0167387 50.9629521, 6.0167982 50.9630343, 6.0168097 50.963031, 6.016822 50.9630483, 6.0167947 50.9630558, 6.0167828 50.9630392, 6.0167298 50.9630514, 6.0166698 50.9629701))",,,,,,,,6.016739521250464,50.963005261012704,7.253754999704337e-09,1
47203728,yes,"POLYGON ((6.0240982 50.9571221, 6.0243274 50.9572617, 6.0243781 50.957228, 6.0241419 50.9570845, 6.0240982 50.9571221))",,,,,,,,6.02423662176296,50.957174054607705,1.4976914999321214e-08,1
47203729,yes,"POLYGON ((6.0209301 50.9546513, 6.0210574 50.9545722, 6.0211843 50.954494, 6.0214335 50.9546541, 6.0216843 50.9548153, 6.0214301 50.9549728, 6.0209301 50.9546513))",,,,,,,,6.021307161765012,50.954733324865536,1.6045032500106178e-07,1
