,building,geometry,amenity,healthcare,healthcare:speciality,building:levels,school_type,type,members,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
39061086,retail,"POLYGON ((5.9880809 50.994718, 5.9882185 50.9942714, 5.9882031 50.9942695, 5.9882139 50.9942345, 5.988229 50.9942363, 5.9883454 50.9938554, 5.9883301 50.9938535, 5.9883355 50.9938359, 5.9883507 50.9938377, 5.9883913 50.993704, 5.9889495 50.9937712, 5.9888021 50.9942564, 5.9888721 50.9942648, 5.9888449 50.9943546, 5.9887739 50.9943461, 5.9887069 50.9945666, 5.9888479 50.9945835, 5.9893252 50.9946419, 5.9892607 50.9948506, 5.9889931 50.9948178, 5.9889623 50.9949176, 5.9887523 50.9948919, 5.9887456 50.9949138, 5.9886058 50.9948967, 5.9886398 50.9947862, 5.9880809 50.994718))",,,,1,,,,5.988613849926164,50.99435715575597,7.679212850011417e-07,3
39061127,retail,"POLYGON ((5.9861385 50.9948222, 5.9861493 50.9946314, 5.9872147 50.9946551, 5.9872038 50.994846, 5.9861385 50.9948222))",,,,,,,,5.986676622574549,50.994738674652595,2.035797349990955e-07,3
39061142,retail,"POLYGON ((5.9870014 50.9943271, 5.9870139 50.9942864, 5.9870873 50.9940431, 5.9871537 50.9938266, 5.9873536 50.9938507, 5.9873758 50.993778, 5.987522 50.9937959, 5.9873467 50.9943693, 5.9870014 50.9943271))",,,,1,,,,5.987261198255958,50.99408186681645,1.9063538000070318e-07,3
39061150,retail,"POLYGON ((5.9852884 50.9942115, 5.9853309 50.9940724, 5.985901 50.9941419, 5.9858583 50.9942808, 5.9852884 50.9942115))",,,,,,,,5.985594593704045,50.99417663783578,8.2186439998486e-08,3
39061165,retail,"POLYGON ((5.985435 50.9937745, 5.9855336 50.9934538, 5.9854614 50.993445, 5.9854794 50.9933857, 5.9855519 50.9933944, 5.9855616 50.9933628, 5.9858637 50.9933994, 5.9857377 50.9938115, 5.985435 50.9937745))",,,,1,,,,5.985644731583948,50.99358155388609,1.3366163500009587e-07,3
47203725,yes,"POLYGON ((6.009194 50.9589916, 6.0093322 50.9585799, 6.0095304 50.9586011, 6.010028 50.9586655, 6.0099509 50.958907, 6.0098917 50.9590846, 6.009194 50.9589916))",,,,,,,,6.00961277455767,50.958829998427014,3.030957749974966e-07,3
47203729,yes,"POLYGON ((6.0209301 50.9546513, 6.0210574 50.9545722, 6.0211843 50.954494, 6.0214335 50.9546541, 6.0216843 50.9548153, 6.0214301 50.9549728, 6.0209301 50.9546513))",,,,,,,,6.021307161765012,50.954733324865536,1.6045032500106178e-07,3
47203734,yes,"POLYGON ((6.0217888 50.9555937, 6.0216729 50.9555195, 6.0219251 50.9553608, 6.0220419 50.9554356, 6.0217888 50.9555937))",,,,,,,,6.021857340528798,50.955477295310665,3.7252264999991844e-08,3
47219110,yes,"POLYGON ((5.9680992 50.9828319, 5.968212 50.9828188, 5.9681965 50.982768, 5.9681813 50.982718, 5.9679716 50.9827433, 5.9679866 50.9827925, 5.9680024 50.9828441, 5.9680447 50.9828392, 5.9680519 50.9828608, 5.9680409 50.9828666, 5.9680289 50.982876, 5.968022 50.9828865, 5.968019 50.982898, 5.9680226 50.9829104, 5.9680303 50.9829212, 5.9680415 50.9829306, 5.9680535 50.9829365, 5.9680731 50.9829418, 5.9680901 50.9829427, 5.968106 50.9829413, 5.9681196 50.9829384, 5.9681319 50.9829344, 5.9681429 50.9829279, 5.9681505 50.9829218, 5.9681568 50.9829143, 5.9681608 50.9829068, 5.9681628 50.9828984, 5.9681614 50.9828895, 5.9681592 50.9828827, 5.9681545 50.9828764, 5.9681493 50.9828703, 5.9681416 50.9828645, 5.9681342 50.9828601, 5.9681216 50.9828557, 5.968106 50.9828512, 5.9680992 50.9828319))",restaurant,,,,,,,5.968091081279057,50.98281860249814,3.304963499996478e-08,3
47219173,yes,"POLYGON ((5.9795383 50.985423, 5.9796092 50.9853251, 5.9799968 50.9854369, 5.979926 50.9855347, 5.9795383 50.985423))",,,,,,,,5.979767539465748,50.98542991533677,4.584904000026869e-08,3
107710824,yes,"POLYGON ((5.9982473 50.9859954, 5.9982403 50.9859013, 5.9986382 50.9858897, 5.9986451 50.9859838, 5.9982473 50.9859954))",,,,,,,,5.998442723829671,50.985942548063115,3.7518304999348645e-08,3
107853385,yes,"POLYGON ((5.9977177 50.9866457, 5.997717 50.9866408, 5.9977258 50.9866402, 5.9977177 50.986574, 5.9977091 50.9865744, 5.9977044 50.986536, 5.9977272 50.9865347, 5.9977171 50.9864502, 5.9976942 50.9864512, 5.9976924 50.9864369, 5.9976889 50.9864074, 5.9976036 50.9864086, 5.9975685 50.9864091, 5.9975374 50.9864093, 5.997532 50.9863623, 5.9975388 50.986362, 5.997537 50.9863461, 5.9976686 50.9863397, 5.9976705 50.9863556, 5.9977531 50.9863516, 5.9977535 50.9863523, 5.9977612 50.986352, 5.9977724 50.9863435, 5.9978227 50.9863412, 5.9978613 50.986361, 5.9978642 50.9863918, 5.9978324 50.9864157, 5.9978148 50.9864166, 5.9978402 50.9866397, 5.9977177 50.9866457))",restaurant,,,,,,,5.99773803731185,50.98646193379688,4.6656034999456336e-08,3
