,building,geometry,amenity,shop,leisure,sport,building:levels,name,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
24338866,yes,"POLYGON ((13.7943283 52.4247307, 13.7943705 52.4246726, 13.7943488 52.4246663, 13.7943571 52.4246572, 13.7943843 52.4246588, 13.7944131 52.4246569, 13.7944299 52.4246456, 13.794431 52.4246329, 13.7944242 52.4246179, 13.7943947 52.4246035, 13.794308 52.4245797, 13.7943069 52.4245658, 13.7942881 52.4245562, 13.7942676 52.4245546, 13.794246 52.4245626, 13.7941719 52.4245422, 13.7941356 52.4245377, 13.7941039 52.4245418, 13.7940885 52.4245526, 13.7940852 52.4245688, 13.7941056 52.4245835, 13.794138 52.4245888, 13.7941036 52.424636, 13.7942351 52.4246715, 13.7942144 52.4246999, 13.7943283 52.4247307))",,,,,,Schlößchen,13.794256087214976,52.42462491669697,3.58792449996674e-08,0
24421724,yes,"POLYGON ((13.8227231 52.4258268, 13.8228003 52.4256384, 13.8230664 52.4256907, 13.8230235 52.4258163, 13.8227231 52.4258268))",,,,,,Rathaus,13.822893595791673,52.425742806950446,4.5725295001378366e-08,2
24423626,school,"POLYGON ((13.8250338 52.4145247, 13.825265 52.4139597, 13.8251787 52.4139468, 13.8250599 52.4139284, 13.8250395 52.4139254, 13.8248084 52.4144904, 13.8250338 52.4145247))",,,,,,,13.82503666393645,52.41422506310738,1.352916050003218e-07,2
24423629,yes,"POLYGON ((13.8239237 52.414978, 13.8239661 52.4148852, 13.823998 52.4148736, 13.8240278 52.4148581, 13.8240529 52.4148382, 13.8240648 52.4148215, 13.8240694 52.4148113, 13.8240796 52.4147884, 13.8240857 52.4147675, 13.824084 52.4147429, 13.8240776 52.4147214, 13.824064 52.414702, 13.8240477 52.4146874, 13.8240969 52.4145719, 13.8235097 52.4144787, 13.8234215 52.4146855, 13.8233364 52.4148848, 13.8239237 52.414978))",,,sports_centre,multi,,Löcknitzhalle,13.823729773907207,52.41473101989681,2.65582240001583e-07,2
24423635,yes,"POLYGON ((13.8249062 52.4153925, 13.8250259 52.4151168, 13.82491 52.4150981, 13.8249298 52.4150524, 13.8247054 52.4150161, 13.8246736 52.4150894, 13.8245897 52.4152826, 13.8247977 52.4153162, 13.8247738 52.4153712, 13.8249062 52.4153925))",,,sports_centre,multi,,Kleine Sporthalle,13.824811251076277,52.41519606190906,9.916725999967604e-08,2
24423644,yes,"POLYGON ((13.8245927 52.4149992, 13.8247197 52.414699, 13.8245565 52.4146732, 13.8245387 52.4147153, 13.8244296 52.414698, 13.8243322 52.4149284, 13.8244333 52.4149444, 13.8244216 52.4149721, 13.8245927 52.4149992))",community_centre,,,,,Eltern-Kind-Zentrum Grünheide,13.824527138895473,52.41483169677906,7.930856499923139e-08,2
24423670,yes,"POLYGON ((13.8238887 52.4153299, 13.8239285 52.4152347, 13.8238281 52.4152191, 13.8238673 52.4151254, 13.8236822 52.4150966, 13.82366 52.4151497, 13.8235296 52.4151294, 13.8234822 52.4152427, 13.8235757 52.4152573, 13.8235438 52.4153335, 13.8237301 52.4153625, 13.8237526 52.4153087, 13.8238887 52.4153299))",,,,,,,13.823703287416972,52.41523020173056,7.47027300004908e-08,2
24423833,yes,"POLYGON ((13.813561 52.4243416, 13.8135542 52.424219, 13.8135531 52.4242087, 13.813504 52.4242068, 13.8134873 52.4238569, 13.8132243 52.4238519, 13.8132154 52.4242023, 13.8131703 52.4242044, 13.8131897 52.4243637, 13.8132348 52.4243617, 13.813261 52.4245561, 13.8132424 52.4245644, 13.8132578 52.4246874, 13.8133025 52.424684, 13.8133029 52.424716, 13.813555 52.4247031, 13.8135528 52.4246747, 13.8135703 52.4246739, 13.8135219 52.4243497, 13.813561 52.4243416))",,,,,,,13.813376095857388,52.424289853030004,2.5795336999968887e-07,2
24423836,yes,"POLYGON ((13.8132137 52.4246962, 13.8131046 52.4240445, 13.8131079 52.4238875, 13.8126059 52.4239119, 13.8127117 52.4247206, 13.8132137 52.4246962))",,,,,,,13.812904187268657,52.42430633722025,3.9890926500110823e-07,2
24423840,yes,"POLYGON ((13.8126066 52.4246464, 13.8126256 52.4246455, 13.8125649 52.4243299, 13.8125885 52.4243315, 13.8125693 52.424194, 13.8125375 52.4241932, 13.8124773 52.4239905, 13.8124945 52.4239885, 13.812453 52.4238674, 13.812424 52.4238698, 13.8124155 52.4238401, 13.8121572 52.4238711, 13.8121698 52.4239026, 13.812145 52.4239052, 13.8122474 52.4242303, 13.8122115 52.4242367, 13.8122427 52.4243727, 13.812267 52.4243624, 13.8123178 52.4246751, 13.8123457 52.424679, 13.8123536 52.4247004, 13.8125992 52.4246931, 13.8126066 52.4246464))",,,,,,,13.812395377730706,52.42427447827789,2.636144699998588e-07,2
24428170,yes,"POLYGON ((13.8199176 52.4223962, 13.8199238 52.4223808, 13.8199493 52.4223117, 13.8197575 52.4222855, 13.8197264 52.4223701, 13.8199176 52.4223962))",,,,,,"Freizeit-, Bildungs- und Gästehaus Werlseehütte",13.819837802076291,52.42234087536802,1.703029499998507e-08,2
24443924,yes,"POLYGON ((13.7944385 52.3885306, 13.7946406 52.3881515, 13.7945729 52.3881381, 13.7946054 52.3880772, 13.7941271 52.3879822, 13.7940963 52.3880401, 13.7940194 52.3880248, 13.7938156 52.3884069, 13.7944385 52.3885306))",,,,,,,13.79424133813594,52.38825497088877,2.9357168000115504e-07,1
24443935,yes,"POLYGON ((13.7955561 52.3859061, 13.7956069 52.3858055, 13.7950894 52.3857081, 13.7950386 52.3858088, 13.7955561 52.3859061))",,,,,,,13.795322711245921,52.38580711689171,5.7031754999934536e-08,1
24443938,yes,"POLYGON ((13.797114 52.3861915, 13.7971712 52.3860949, 13.7967115 52.3859937, 13.7966543 52.3860903, 13.797114 52.3861915))",,,,,,,13.796912750000002,52.38609260000001,5.0195659999688556e-08,1
24443941,yes,"POLYGON ((13.7979277 52.3873459, 13.7980135 52.3871783, 13.7973956 52.3870578, 13.7973097 52.387215, 13.7979277 52.3873459))",,,,,,,13.797664538240168,52.38719996518886,1.1114642499840165e-07,1
24443960,yes,"POLYGON ((13.8043921 52.3882349, 13.8044584 52.3881085, 13.8043706 52.3880912, 13.804537 52.3877737, 13.8043482 52.3877367, 13.8042269 52.3879682, 13.8031297 52.387753, 13.8030184 52.3879654, 13.8043921 52.3882349))",,,,,,,13.80382813454947,52.38797610689143,3.616893900004231e-07,1
24443962,yes,"POLYGON ((13.8069641 52.3917682, 13.8072361 52.3912436, 13.8049564 52.3908034, 13.8049818 52.3907544, 13.804688 52.3906977, 13.8045414 52.3906694, 13.804005 52.3917039, 13.8044534 52.3917905, 13.8046925 52.3913295, 13.8069641 52.3917682))",,,,,,EDEKA Leergutlager,13.805553392383716,52.39127081549994,1.8208830699934918e-06,1
24443964,yes,"POLYGON ((13.8026089 52.3915063, 13.8030689 52.3906127, 13.8024432 52.3904928, 13.8019832 52.3913864, 13.8026089 52.3915063))",,,,,,,13.802526049999999,52.39099955,6.142795200025665e-07,1
24443965,yes,"POLYGON ((13.8032045 52.3916508, 13.8032506 52.391559, 13.8029806 52.3915085, 13.8029345 52.3916004, 13.8032045 52.3916508))",,,,,,,13.803092528256787,52.39157966951441,2.7125245000177452e-08,1
24443968,yes,"POLYGON ((13.8024453 52.3897408, 13.802546 52.3895543, 13.802109 52.3894665, 13.8020084 52.3896529, 13.8024453 52.3897408))",,,,,,,13.802277196956165,52.389603627778,9.031143000041547e-08,1
24451633,yes,"POLYGON ((13.794254 52.4213029, 13.7944964 52.4212544, 13.7945614 52.4213752, 13.7944478 52.4213979, 13.7944296 52.421364, 13.7943008 52.4213898, 13.794254 52.4213029))",,,,,,,13.794413559606964,52.42132943503115,2.759250999942212e-08,0
