,building,geometry,amenity,shop,leisure,building:levels,name,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
44029570,yes,"POLYGON ((9.7057153 51.212777, 9.705803299999999 51.2128599, 9.7063375 51.2125625, 9.7064211 51.2126224, 9.706486399999999 51.2126691, 9.706501400000001 51.2126798, 9.7060076 51.2129593, 9.7059339 51.213001, 9.705967299999999 51.2130358, 9.7060835 51.2131571, 9.7058705 51.2132371, 9.705721 51.213081, 9.7051686 51.213191, 9.705111499999999 51.2132024, 9.7050854 51.2131701, 9.7050672 51.2131477, 9.705017099999999 51.2130859, 9.705579500000001 51.2129423, 9.705494399999999 51.2128546, 9.7056621 51.2127895, 9.705685799999999 51.2127789, 9.7057153 51.212777))",,,,,Klinik,9.705799701246555,51.21294135483006,3.206075450011374e-07,0
44045779,yes,"POLYGON ((9.712951199999999 51.2071174, 9.7126637 51.2069055, 9.7126301 51.2069234, 9.712582100000001 51.206888, 9.712551599999999 51.2069043, 9.7124899 51.2069371, 9.712497000000001 51.2069424, 9.7121961 51.2071026, 9.712237 51.2071328, 9.7121356 51.2071868, 9.712375700000001 51.2073638, 9.712612099999999 51.2072379, 9.712816500000001 51.207129, 9.7128639 51.2071639, 9.712951199999999 51.2071174))",,supermarket,,,Lidl,9.712518388466282,51.207120116656654,1.8751955000163163e-07,2
44045780,yes,"POLYGON ((9.711460600000001 51.2069799, 9.7112646 51.2068409, 9.711080300000001 51.2069429, 9.7112765 51.2070819, 9.711460600000001 51.2069799))",,,,,,9.711270483172425,51.206961396741285,4.5605999999113406e-08,2
44045781,yes,"POLYGON ((9.710236699999999 51.2083761, 9.710095900000001 51.2082707, 9.710233799999999 51.2081984, 9.7103746 51.2083037, 9.710236699999999 51.2083761))",,,,,,9.71023525027252,51.208287233365596,2.4714645000168536e-08,2
44045782,industrial,"POLYGON ((9.7106314 51.2082821, 9.7103737 51.2080876, 9.7107808 51.2078758, 9.710855799999999 51.2079324, 9.7109825 51.2078665, 9.7111412 51.2079862, 9.7110156 51.2080516, 9.711039700000001 51.2080697, 9.7106314 51.2082821))",,,,,,9.710753192104319,51.20805971342359,1.5943836000088222e-07,2
44045783,yes,"POLYGON ((9.7097426 51.2084717, 9.709471799999999 51.2082802, 9.7092948 51.2083785, 9.7095655 51.20857, 9.7097426 51.2084717))",,,,,,9.709518684535812,51.20842510371907,6.051980000118298e-08,2
44045784,yes,"POLYGON ((9.709396699999999 51.2082436, 9.7092455 51.2081362, 9.709421499999999 51.2080389, 9.709572700000001 51.2081463, 9.709396699999999 51.2082436))",,,,,,9.7094091,51.20814125,3.361416000092689e-08,2
61963952,yes,"POLYGON ((9.8424119 51.2085378, 9.842554 51.2083398, 9.842688900000001 51.2083778, 9.842546799999999 51.2085758, 9.8424119 51.2085378))",,,,,Jugendwaldheim Meißner,9.8425504,51.2084578,3.211000000014663e-08,5
61964097,yes,"POLYGON ((9.8422181 51.2085452, 9.8423803 51.2085889, 9.8423455 51.2086396, 9.8421833 51.2085959, 9.8422181 51.2085452))",,,,,,9.8422818,51.20859239999999,9.744299999260359e-09,5
61964126,yes,"POLYGON ((9.841834199999999 51.2084099, 9.841786600000001 51.208494, 9.841662100000001 51.2084664, 9.841595999999999 51.2085834, 9.8418504 51.2086398, 9.842018599999999 51.2083421, 9.841775699999999 51.2082882, 9.841721100000001 51.2083848, 9.841834199999999 51.2084099))",,,,,,9.841818080403057,51.208468957256635,7.219267000018314e-08,5
