,building,geometry,amenity,shop,leisure,sport,building:levels,name,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
42276303,yes,"POLYGON ((9.180914 50.164095, 9.1808756 50.164046, 9.1808797 50.1640356, 9.180803299999999 50.1639361, 9.180788400000001 50.163935, 9.1807324 50.1638637, 9.180712099999999 50.1638616, 9.180596299999999 50.1638987, 9.180574999999999 50.1638948, 9.1803404 50.1639712, 9.1803344 50.1639835, 9.1802153 50.1640221, 9.180402600000001 50.1642607, 9.180554799999999 50.1642114, 9.1805713 50.1642131, 9.1808364 50.1641274, 9.180839199999999 50.1641192, 9.180914 50.164095))",,,sports_centre,multi,,TV Lützelhausen,9.180566916217039,50.16405739357115,1.589272749995711e-07,0
92031680,supermarket,"POLYGON ((9.1966146 50.1956297, 9.1966503 50.1956687, 9.196607200000001 50.195685, 9.1968005 50.1958958, 9.196850299999999 50.195877, 9.196985400000001 50.1960243, 9.1972934 50.195908, 9.1972527 50.1958636, 9.197266000000001 50.1958586, 9.197054899999999 50.1956283, 9.196987200000001 50.1956538, 9.196875 50.1955313, 9.1966146 50.1956297))",,,,,,,9.196942739895116,50.19577741565918,1.7435113999989706e-07,4
92031681,supermarket,"POLYGON ((9.1962247 50.1954521, 9.196248499999999 50.1954344, 9.1962955 50.1954604, 9.196455 50.1953414, 9.196514000000001 50.195374, 9.196581200000001 50.1953239, 9.1965258 50.1952933, 9.1965749 50.1952566, 9.1960888 50.1949881, 9.195749299999999 50.1952414, 9.1959622 50.195359, 9.196002099999999 50.1953292, 9.1962247 50.1954521))",,,,,,,9.19617211005521,50.19523692814543,2.0264694499915536e-07,4
92155004,office,"POLYGON ((9.1959789 50.1964328, 9.195926200000001 50.1964484, 9.195916199999999 50.1964345, 9.1956139 50.1965241, 9.195700199999999 50.1966441, 9.1960595 50.1965377, 9.196123 50.1965189, 9.1961089 50.1964992, 9.1960444 50.1964096, 9.1962165 50.1963586, 9.196034300000001 50.1961051, 9.195981099999999 50.1961179, 9.195812699999999 50.1960576, 9.195759000000001 50.1961264, 9.1957989 50.1961821, 9.1954645 50.1962814, 9.1955598 50.1964128, 9.1958701 50.1963206, 9.1958927 50.1963521, 9.195916 50.1963453, 9.1959789 50.1964328))",bank,,,,,VR-Bank,9.195866463767771,50.196342059149046,2.011840550002574e-07,4
92155008,yes,"POLYGON ((9.193524 50.1938411, 9.1933258 50.1932671, 9.193354899999999 50.193263, 9.1938517 50.1931923, 9.1940499 50.1937662, 9.193524 50.1938411))",,,sports_centre,tennis,,Sporttreff Kinzigtal,9.193687849483622,50.193516687954826,3.166653299992618e-07,4
93865985,supermarket,"POLYGON ((9.198060999999999 50.1956233, 9.1979723 50.1955913, 9.1978946 50.1955399, 9.197837699999999 50.1954775, 9.197812799999999 50.1954024, 9.197755300000001 50.1954019, 9.197756099999999 50.1953341, 9.197814299999999 50.1953348, 9.1978413 50.1952719, 9.1978993 50.1952096, 9.1979869 50.1951587, 9.1980758 50.1951244, 9.198190200000001 50.1951059, 9.1983005 50.1951069, 9.1984081 50.1951257, 9.198506099999999 50.195165, 9.198582399999999 50.195211, 9.198635700000001 50.1951911, 9.198694700000001 50.1952561, 9.1987237 50.1953303, 9.1986598 50.1953402, 9.1986562 50.1954094, 9.198620500000001 50.1954847, 9.198562900000001 50.1955445, 9.1984943 50.1955907, 9.198399200000001 50.1956251, 9.1982903 50.1956438, 9.198179400000001 50.1956434, 9.198060999999999 50.1956233))",,supermarket,,,,tegut...,9.198241473532278,50.1953722082636,3.723630750000702e-07,4
93865987,supermarket,"POLYGON ((9.1985583 50.1956421, 9.1984736 50.1957058, 9.198399200000001 50.195743, 9.198316800000001 50.195769, 9.198230300000001 50.1957876, 9.198135499999999 50.1957966, 9.1980386 50.1957937, 9.198058899999999 50.1957477, 9.197986800000001 50.1957382, 9.198060999999999 50.1956233, 9.198179400000001 50.1956434, 9.1982903 50.1956438, 9.198399200000001 50.1956251, 9.1984943 50.1955907, 9.1985583 50.1956421))",,beverages,,,,tegut... Getränkemarkt,9.198254714592183,50.19569929633001,6.743085000026005e-08,4
94102956,yes,"POLYGON ((9.1921681 50.1958246, 9.192052199999999 50.1957208, 9.192080000000001 50.195708, 9.192057500000001 50.1956877, 9.192007800000001 50.1957106, 9.1919041 50.1956177, 9.192173 50.195494, 9.1921284 50.1954541, 9.1922759 50.1953862, 9.192445299999999 50.195538, 9.1923011 50.1956044, 9.1922804 50.1955858, 9.192143400000001 50.1956488, 9.1922929 50.1957828, 9.192228200000001 50.1958126, 9.192216699999999 50.1958023, 9.1921681 50.1958246))",school,,,,,Freie Montessorischule,9.192178791777149,50.195595453704705,9.311419000000586e-08,4
111182946,yes,"POLYGON ((9.2235611 50.1687075, 9.223515799999999 50.1685686, 9.223637500000001 50.1685522, 9.223641199999999 50.1685634, 9.2237381 50.1685503, 9.223779800000001 50.1686781, 9.2235611 50.1687075))",,,sports_centre,,,Sportheim Geislitz,9.223646318537671,50.16862600101234,3.058357999991902e-08,2
111183533,yes,"POLYGON ((9.230161499999999 50.1748739, 9.2303976 50.1747896, 9.2303105 50.1746889, 9.230074399999999 50.1747732, 9.230161499999999 50.1748739))",,,sports_centre,,,Sportheim Eidengesäß,9.230235999999998,50.17478139999999,3.111780000033039e-08,3
