,building,geometry,amenity,shop,building:levels,name,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
28630190,retail,"POLYGON ((12.4130744 51.8038216, 12.413168 51.8039647, 12.4132219 51.8039512, 12.4132599 51.8040094, 12.412578 51.8041798, 12.4124207 51.8039392, 12.4126427 51.8038837, 12.4126684 51.803923, 12.4130744 51.8038216))",,supermarket,,Netto,12.41281721465984,51.8039959857608,1.6087154999998432e-07,1
28707002,yes,"POLYGON ((12.4315579 51.8205824, 12.4315922 51.8206832, 12.4319698 51.8206354, 12.4319355 51.8205293, 12.4315579 51.8205824))",,,,,12.431765380992008,51.82060733032915,4.0793155000314904e-08,0
28707049,yes,"POLYGON ((12.4322445 51.8205824, 12.4324505 51.8205665, 12.4324247 51.8204497, 12.4322016 51.8204816, 12.4322445 51.8205824))",,,,,12.432332277065177,51.82051889644904,2.4164004999953723e-08,0
28707062,yes,"POLYGON ((12.4326737 51.8205293, 12.4329311 51.8204869, 12.4328882 51.8203914, 12.4326307 51.8204338, 12.4326737 51.8205293))",,,,,12.432780920260955,51.82046034768926,2.6407554999190565e-08,0
28707092,yes,"POLYGON ((12.4334719 51.8204285, 12.4337208 51.8203914, 12.4336865 51.8202747, 12.4334204 51.8203118, 12.4334719 51.8204285))",,,,,12.433574240465827,51.820351045431906,3.16418399999005e-08,0
28707117,yes,"POLYGON ((12.4337723 51.8203755, 12.4339697 51.8203489, 12.4339439 51.8202428, 12.4337465 51.8202694, 12.4337723 51.8203755))",,,,,12.433858099999997,51.82030915,2.163041999928807e-08,0
28707128,yes,"POLYGON ((12.4349138 51.8202322, 12.4344761 51.8202853, 12.4344589 51.8201686, 12.4345619 51.8201579, 12.4347164 51.8201367, 12.4348795 51.8201102, 12.4349138 51.8202322))",,,,,12.434684877021699,51.820200332988826,5.157896000050017e-08,0
28707143,yes,"POLYGON ((12.4353687 51.8201473, 12.4356434 51.8201102, 12.4356005 51.8200147, 12.4353344 51.8200465, 12.4353687 51.8201473))",,,,,12.435485951859588,51.82008009987095,2.786953000069693e-08,0
28707552,yes,"POLYGON ((12.4305794 51.8207946, 12.4310343 51.8207362, 12.4310085 51.8206513, 12.4305622 51.820715, 12.4305794 51.8207946))",,,,,12.430798978328744,51.820723994769274,3.8374424999254713e-08,0
28707672,yes,"POLYGON ((12.4294464 51.8209485, 12.4294293 51.8208689, 12.4298155 51.8208105, 12.4298412 51.8209007, 12.4294464 51.8209485))",,,,,12.42963748782944,51.82088166075013,3.4289790000318786e-08,0
