upper_bounds_of_bins_not_incl,number_ppl_of_bin,%,male,female
5,3338895,4.2,1714872,1624023
10,3525830,4.4,1809024,1716806
15,3940566,4.9,2021305,1919261
20,4013880,5,2057155,1956725
25,4835639,6,2463932,2371707
30,4872533,6.1,2455885,2416648
35,4751911,5.9,2385305,2366606
40,4742893,5.9,2378055,2364838
45,6351189,7.9,3209481,3141708
50,6999679,8.7,3547254,3452425
55,6206294,7.7,3113463,3092831
60,5419450,6.8,2668976,2750474
65,4702815,5.9,2298903,2403912
70,4173351,5.2,1999287,2174064
75,4861239,6.1,2247196,2614043
80,3270283,4.1,1413881,1856402
85,2328083,2.9,878797,1449286
90,1335076,1.7,369029,966047
100,550089,0.7,114141,435948
