,Time-steps,AgeIndependent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,0.0003504991815302281,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168
1,2,0.00035195958632635693,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396
2,3,0.00035377511426510114,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,6.945652161783944e-05,0.00021993638740560256,0.00021993638740560256,0.00021993638740560256,0.00021993638740560256,0.00021993638740560256,0.00021993638740560256,0.00021993638740560256,0.00021993638740560256,0.00021993638740560256,0.00021993638740560256,0.00021993638740560256,0.00021993638740560256,0.00021993638740560256,0.00021993638740560256,0.00021993638740560256,0.00021993638740560256,0.00021993638740560256,0.00021993638740560256,0.00021993638740560256,0.00021993638740560256,0.0009794412316602842,0.0009794412316602842,0.0009794412316602842,0.0009794412316602842,0.0009794412316602842,0.0009794412316602842,0.0009794412316602842,0.0009794412316602842,0.0009794412316602842,0.0009794412316602842,0.0009794412316602842,0.0009794412316602842,0.0009794412316602842,0.0009794412316602842,0.0009794412316602842,0.0009794412316602842,0.0009794412316602842,0.0009794412316602842,0.0009794412316602842,0.0009794412316602842
3,4,0.0003555954595084788,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,6.980936628463204e-05,0.00022106129526058932,0.00022106129526058932,0.00022106129526058932,0.00022106129526058932,0.00022106129526058932,0.00022106129526058932,0.00022106129526058932,0.00022106129526058932,0.00022106129526058932,0.00022106129526058932,0.00022106129526058932,0.00022106129526058932,0.00022106129526058932,0.00022106129526058932,0.00022106129526058932,0.00022106129526058932,0.00022106129526058932,0.00022106129526058932,0.00022106129526058932,0.00022106129526058932,0.0009846219380012084,0.0009846219380012084,0.0009846219380012084,0.0009846219380012084,0.0009846219380012084,0.0009846219380012084,0.0009846219380012084,0.0009846219380012084,0.0009846219380012084,0.0009846219380012084,0.0009846219380012084,0.0009846219380012084,0.0009846219380012084,0.0009846219380012084,0.0009846219380012084,0.0009846219380012084,0.0009846219380012084,0.0009846219380012084,0.0009846219380012084,0.0009846219380012084
4,5,0.0003574206047155033,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,7.01630644294167e-05,0.00022218905418746696,0.00022218905418746696,0.00022218905418746696,0.00022218905418746696,0.00022218905418746696,0.00022218905418746696,0.00022218905418746696,0.00022218905418746696,0.00022218905418746696,0.00022218905418746696,0.00022218905418746696,0.00022218905418746696,0.00022218905418746696,0.00022218905418746696,0.00022218905418746696,0.00022218905418746696,0.00022218905418746696,0.00022218905418746696,0.00022218905418746696,0.00022218905418746696,0.0009898187523030807,0.0009898187523030807,0.0009898187523030807,0.0009898187523030807,0.0009898187523030807,0.0009898187523030807,0.0009898187523030807,0.0009898187523030807,0.0009898187523030807,0.0009898187523030807,0.0009898187523030807,0.0009898187523030807,0.0009898187523030807,0.0009898187523030807,0.0009898187523030807,0.0009898187523030807,0.0009898187523030807,0.0009898187523030807,0.0009898187523030807,0.0009898187523030807
5,6,0.00035925053233894797,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,7.051761161460117e-05,0.00022331965177725327,0.00022331965177725327,0.00022331965177725327,0.00022331965177725327,0.00022331965177725327,0.00022331965177725327,0.00022331965177725327,0.00022331965177725327,0.00022331965177725327,0.00022331965177725327,0.00022331965177725327,0.00022331965177725327,0.00022331965177725327,0.00022331965177725327,0.00022331965177725327,0.00022331965177725327,0.00022331965177725327,0.00022331965177725327,0.00022331965177725327,0.00022331965177725327,0.0009950316594196482,0.0009950316594196482,0.0009950316594196482,0.0009950316594196482,0.0009950316594196482,0.0009950316594196482,0.0009950316594196482,0.0009950316594196482,0.0009950316594196482,0.0009950316594196482,0.0009950316594196482,0.0009950316594196482,0.0009950316594196482,0.0009950316594196482,0.0009950316594196482,0.0009950316594196482,0.0009950316594196482,0.0009950316594196482,0.0009950316594196482,0.0009950316594196482
6,7,0.00036108522462543005,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,7.087300335687613e-05,0.00022445307548448542,0.00022445307548448542,0.00022445307548448542,0.00022445307548448542,0.00022445307548448542,0.00022445307548448542,0.00022445307548448542,0.00022445307548448542,0.00022445307548448542,0.00022445307548448542,0.00022445307548448542,0.00022445307548448542,0.00022445307548448542,0.00022445307548448542,0.00022445307548448542,0.00022445307548448542,0.00022445307548448542,0.00022445307548448542,0.00022445307548448542,0.00022445307548448542,0.0010002606438623478,0.0010002606438623478,0.0010002606438623478,0.0010002606438623478,0.0010002606438623478,0.0010002606438623478,0.0010002606438623478,0.0010002606438623478,0.0010002606438623478,0.0010002606438623478,0.0010002606438623478,0.0010002606438623478,0.0010002606438623478,0.0010002606438623478,0.0010002606438623478,0.0010002606438623478,0.0010002606438623478,0.0010002606438623478,0.0010002606438623478,0.0010002606438623478
7,8,0.0003629246636155044,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,7.122923512726728e-05,0.00022558931262732022,0.00022558931262732022,0.00022558931262732022,0.00022558931262732022,0.00022558931262732022,0.00022558931262732022,0.00022558931262732022,0.00022558931262732022,0.00022558931262732022,0.00022558931262732022,0.00022558931262732022,0.00022558931262732022,0.00022558931262732022,0.00022558931262732022,0.00022558931262732022,0.00022558931262732022,0.00022558931262732022,0.00022558931262732022,0.00022558931262732022,0.00022558931262732022,0.001005505689800607,0.001005505689800607,0.001005505689800607,0.001005505689800607,0.001005505689800607,0.001005505689800607,0.001005505689800607,0.001005505689800607,0.001005505689800607,0.001005505689800607,0.001005505689800607,0.001005505689800607,0.001005505689800607,0.001005505689800607,0.001005505689800607,0.001005505689800607,0.001005505689800607,0.001005505689800607,0.001005505689800607,0.001005505689800607
8,9,0.00036476883114376694,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,7.15863023511901e-05,0.00022672835038764247,0.00022672835038764247,0.00022672835038764247,0.00022672835038764247,0.00022672835038764247,0.00022672835038764247,0.00022672835038764247,0.00022672835038764247,0.00022672835038764247,0.00022672835038764247,0.00022672835038764247,0.00022672835038764247,0.00022672835038764247,0.00022672835038764247,0.00022672835038764247,0.00022672835038764247,0.00022672835038764247,0.00022672835038764247,0.00022672835038764247,0.00022672835038764247,0.0010107667810621563,0.0010107667810621563,0.0010107667810621563,0.0010107667810621563,0.0010107667810621563,0.0010107667810621563,0.0010107667810621563,0.0010107667810621563,0.0010107667810621563,0.0010107667810621563,0.0010107667810621563,0.0010107667810621563,0.0010107667810621563,0.0010107667810621563,0.0010107667810621563,0.0010107667810621563,0.0010107667810621563,0.0010107667810621563,0.0010107667810621563,0.0010107667810621563
9,10,0.00036661770883896714,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,7.194420040850717e-05,0.00022787017581117933,0.00022787017581117933,0.00022787017581117933,0.00022787017581117933,0.00022787017581117933,0.00022787017581117933,0.00022787017581117933,0.00022787017581117933,0.00022787017581117933,0.00022787017581117933,0.00022787017581117933,0.00022787017581117933,0.00022787017581117933,0.00022787017581117933,0.00022787017581117933,0.00022787017581117933,0.00022787017581117933,0.00022787017581117933,0.00022787017581117933,0.00022787017581117933,0.0010160439011333495,0.0010160439011333495,0.0010160439011333495,0.0010160439011333495,0.0010160439011333495,0.0010160439011333495,0.0010160439011333495,0.0010160439011333495,0.0010160439011333495,0.0010160439011333495,0.0010160439011333495,0.0010160439011333495,0.0010160439011333495,0.0010160439011333495,0.0010160439011333495,0.0010160439011333495,0.0010160439011333495,0.0010160439011333495,0.0010160439011333495,0.0010160439011333495
