,Time-steps,AgeIndependent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,0.0003504991815302281,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,6.881779566669067e-05,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.00021790640480133695,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168,0.0009702340297127168
1,2,0.00035195958632635693,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,6.910453482086465e-05,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.0002188143428949145,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396,0.00097427664808396
2,3,0.0003538437253312226,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,6.947447090025404e-05,0.00021998571783195082,0.00021998571783195082,0.00021998571783195082,0.00021998571783195082,0.00021998571783195082,0.00021998571783195082,0.00021998571783195082,0.00021998571783195082,0.00021998571783195082,0.00021998571783195082,0.00021998571783195082,0.00021998571783195082,0.00021998571783195082,0.00021998571783195082,0.00021998571783195082,0.00021998571783195082,0.00021998571783195082,0.00021998571783195082,0.00021998571783195082,0.00021998571783195082,0.0009794922259670487,0.0009794922259670487,0.0009794922259670487,0.0009794922259670487,0.0009794922259670487,0.0009794922259670487,0.0009794922259670487,0.0009794922259670487,0.0009794922259670487,0.0009794922259670487,0.0009794922259670487,0.0009794922259670487,0.0009794922259670487,0.0009794922259670487,0.0009794922259670487,0.0009794922259670487,0.0009794922259670487,0.0009794922259670487,0.0009794922259670487,0.0009794922259670487
3,4,0.000355734065652311,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,6.984562455998361e-05,0.00022116094814610162,0.00022116094814610162,0.00022116094814610162,0.00022116094814610162,0.00022116094814610162,0.00022116094814610162,0.00022116094814610162,0.00022116094814610162,0.00022116094814610162,0.00022116094814610162,0.00022116094814610162,0.00022116094814610162,0.00022116094814610162,0.00022116094814610162,0.00022116094814610162,0.00022116094814610162,0.00022116094814610162,0.00022116094814610162,0.00022116094814610162,0.00022116094814610162,0.0009847249700186914,0.0009847249700186914,0.0009847249700186914,0.0009847249700186914,0.0009847249700186914,0.0009847249700186914,0.0009847249700186914,0.0009847249700186914,0.0009847249700186914,0.0009847249700186914,0.0009847249700186914,0.0009847249700186914,0.0009847249700186914,0.0009847249700186914,0.0009847249700186914,0.0009847249700186914,0.0009847249700186914,0.0009847249700186914,0.0009847249700186914,0.0009847249700186914
4,5,0.00035763060667068895,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,7.021799567853067e-05,0.00022234003345257436,0.00022234003345257436,0.00022234003345257436,0.00022234003345257436,0.00022234003345257436,0.00022234003345257436,0.00022234003345257436,0.00022234003345257436,0.00022234003345257436,0.00022234003345257436,0.00022234003345257436,0.00022234003345257436,0.00022234003345257436,0.00022234003345257436,0.00022234003345257436,0.00022234003345257436,0.00022234003345257436,0.00022234003345257436,0.00022234003345257436,0.00022234003345257436,0.0009899748785255893,0.0009899748785255893,0.0009899748785255893,0.0009899748785255893,0.0009899748785255893,0.0009899748785255893,0.0009899748785255893,0.0009899748785255893,0.0009899748785255893,0.0009899748785255893,0.0009899748785255893,0.0009899748785255893,0.0009899748785255893,0.0009899748785255893,0.0009899748785255893,0.0009899748785255893,0.0009899748785255893,0.0009899748785255893,0.0009899748785255893,0.0009899748785255893
5,6,0.0003595333476824558,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,7.059158411768971e-05,0.00022352297331375179,0.00022352297331375179,0.00022352297331375179,0.00022352297331375179,0.00022352297331375179,0.00022352297331375179,0.00022352297331375179,0.00022352297331375179,0.00022352297331375179,0.00022352297331375179,0.00022352297331375179,0.00022352297331375179,0.00022352297331375179,0.00022352297331375179,0.00022352297331375179,0.00022352297331375179,0.00022352297331375179,0.00022352297331375179,0.00022352297331375179,0.00022352297331375179,0.0009952419495392402,0.0009952419495392402,0.0009952419495392402,0.0009952419495392402,0.0009952419495392402,0.0009952419495392402,0.0009952419495392402,0.0009952419495392402,0.0009952419495392402,0.0009952419495392402,0.0009952419495392402,0.0009952419495392402,0.0009952419495392402,0.0009952419495392402,0.0009952419495392402,0.0009952419495392402,0.0009952419495392402,0.0009952419495392402,0.0009952419495392402,0.0009952419495392402
6,7,0.00036144228789901004,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,7.0966389722625e-05,0.000224709767239358,0.000224709767239358,0.000224709767239358,0.000224709767239358,0.000224709767239358,0.000224709767239358,0.000224709767239358,0.000224709767239358,0.000224709767239358,0.000224709767239358,0.000224709767239358,0.000224709767239358,0.000224709767239358,0.000224709767239358,0.000224709767239358,0.000224709767239358,0.000224709767239358,0.000224709767239358,0.000224709767239358,0.000224709767239358,0.0010005261808766774,0.0010005261808766774,0.0010005261808766774,0.0010005261808766774,0.0010005261808766774,0.0010005261808766774,0.0010005261808766774,0.0010005261808766774,0.0010005261808766774,0.0010005261808766774,0.0010005261808766774,0.0010005261808766774,0.0010005261808766774,0.0010005261808766774,0.0010005261808766774,0.0010005261808766774,0.0010005261808766774,0.0010005261808766774,0.0010005261808766774,0.0010005261808766774
7,8,0.00036335742644732,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,7.134241232192351e-05,0.00022590041468662652,0.00022590041468662652,0.00022590041468662652,0.00022590041468662652,0.00022590041468662652,0.00022590041468662652,0.00022590041468662652,0.00022590041468662652,0.00022590041468662652,0.00022590041468662652,0.00022590041468662652,0.00022590041468662652,0.00022590041468662652,0.00022590041468662652,0.00022590041468662652,0.00022590041468662652,0.00022590041468662652,0.00022590041468662652,0.00022590041468662652,0.00022590041468662652,0.0010058275701212188,0.0010058275701212188,0.0010058275701212188,0.0010058275701212188,0.0010058275701212188,0.0010058275701212188,0.0010058275701212188,0.0010058275701212188,0.0010058275701212188,0.0010058275701212188,0.0010058275701212188,0.0010058275701212188,0.0010058275701212188,0.0010058275701212188,0.0010058275701212188,0.0010058275701212188,0.0010058275701212188,0.0010058275701212188,0.0010058275701212188,0.0010058275701212188
8,9,0.00036527876237019765,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,7.17196517276488e-05,0.00022709491506047065,0.00022709491506047065,0.00022709491506047065,0.00022709491506047065,0.00022709491506047065,0.00022709491506047065,0.00022709491506047065,0.00022709491506047065,0.00022709491506047065,0.00022709491506047065,0.00022709491506047065,0.00022709491506047065,0.00022709491506047065,0.00022709491506047065,0.00022709491506047065,0.00022709491506047065,0.00022709491506047065,0.00022709491506047065,0.00022709491506047065,0.00022709491506047065,0.0010111461146232253,0.0010111461146232253,0.0010111461146232253,0.0010111461146232253,0.0010111461146232253,0.0010111461146232253,0.0010111461146232253,0.0010111461146232253,0.0010111461146232253,0.0010111461146232253,0.0010111461146232253,0.0010111461146232253,0.0010111461146232253,0.0010111461146232253,0.0010111461146232253,0.0010111461146232253,0.0010111461146232253,0.0010111461146232253,0.0010111461146232253,0.0010111461146232253
9,10,0.0003672062946265757,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,7.20981077353954e-05,0.00022829326771365573,0.00022829326771365573,0.00022829326771365573,0.00022829326771365573,0.00022829326771365573,0.00022829326771365573,0.00022829326771365573,0.00022829326771365573,0.00022829326771365573,0.00022829326771365573,0.00022829326771365573,0.00022829326771365573,0.00022829326771365573,0.00022829326771365573,0.00022829326771365573,0.00022829326771365573,0.00022829326771365573,0.00022829326771365573,0.00022829326771365573,0.00022829326771365573,0.0010164818115008674,0.0010164818115008674,0.0010164818115008674,0.0010164818115008674,0.0010164818115008674,0.0010164818115008674,0.0010164818115008674,0.0010164818115008674,0.0010164818115008674,0.0010164818115008674,0.0010164818115008674,0.0010164818115008674,0.0010164818115008674,0.0010164818115008674,0.0010164818115008674,0.0010164818115008674,0.0010164818115008674,0.0010164818115008674,0.0010164818115008674,0.0010164818115008674
