,Time-steps,AgeIndependent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,1.6988763802503326e-06,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,1.145670854176917e-07,2.894592730655774e-06,2.894592730655774e-06,2.894592730655774e-06,2.894592730655774e-06,2.894592730655774e-06,2.894592730655774e-06,2.894592730655774e-06,2.894592730655774e-06,2.894592730655774e-06,2.894592730655774e-06,2.894592730655774e-06,2.894592730655774e-06,2.894592730655774e-06,2.894592730655774e-06,2.894592730655774e-06,2.894592730655774e-06,2.894592730655774e-06,2.894592730655774e-06,2.894592730655774e-06,2.894592730655774e-06,1.1143011552264467e-05,1.1143011552264467e-05,1.1143011552264467e-05,1.1143011552264467e-05,1.1143011552264467e-05,1.1143011552264467e-05,1.1143011552264467e-05,1.1143011552264467e-05,1.1143011552264467e-05,1.1143011552264467e-05,1.1143011552264467e-05,1.1143011552264467e-05,1.1143011552264467e-05,1.1143011552264467e-05,1.1143011552264467e-05,1.1143011552264467e-05,1.1143011552264467e-05,1.1143011552264467e-05,1.1143011552264467e-05,1.1143011552264467e-05
1,2,1.70477523284385e-06,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,1.1496488619755085e-07,2.904643359433066e-06,2.904643359433066e-06,2.904643359433066e-06,2.904643359433066e-06,2.904643359433066e-06,2.904643359433066e-06,2.904643359433066e-06,2.904643359433066e-06,2.904643359433066e-06,2.904643359433066e-06,2.904643359433066e-06,2.904643359433066e-06,2.904643359433066e-06,2.904643359433066e-06,2.904643359433066e-06,2.904643359433066e-06,2.904643359433066e-06,2.904643359433066e-06,2.904643359433066e-06,2.904643359433066e-06,1.1181702408973525e-05,1.1181702408973525e-05,1.1181702408973525e-05,1.1181702408973525e-05,1.1181702408973525e-05,1.1181702408973525e-05,1.1181702408973525e-05,1.1181702408973525e-05,1.1181702408973525e-05,1.1181702408973525e-05,1.1181702408973525e-05,1.1181702408973525e-05,1.1181702408973525e-05,1.1181702408973525e-05,1.1181702408973525e-05,1.1181702408973525e-05,1.1181702408973525e-05,1.1181702408973525e-05,1.1181702408973525e-05,1.1181702408973525e-05
2,3,1.7127119551323898e-06,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,1.1547750938714215e-07,2.919076383181194e-06,2.919076383181194e-06,2.919076383181194e-06,2.919076383181194e-06,2.919076383181194e-06,2.919076383181194e-06,2.919076383181194e-06,2.919076383181194e-06,2.919076383181194e-06,2.919076383181194e-06,2.919076383181194e-06,2.919076383181194e-06,2.919076383181194e-06,2.919076383181194e-06,2.919076383181194e-06,2.919076383181194e-06,2.919076383181194e-06,2.919076383181194e-06,2.919076383181194e-06,2.919076383181194e-06,1.1243109988251566e-05,1.1243109988251566e-05,1.1243109988251566e-05,1.1243109988251566e-05,1.1243109988251566e-05,1.1243109988251566e-05,1.1243109988251566e-05,1.1243109988251566e-05,1.1243109988251566e-05,1.1243109988251566e-05,1.1243109988251566e-05,1.1243109988251566e-05,1.1243109988251566e-05,1.1243109988251566e-05,1.1243109988251566e-05,1.1243109988251566e-05,1.1243109988251566e-05,1.1243109988251566e-05,1.1243109988251566e-05,1.1243109988251566e-05
3,4,1.7206793603667682e-06,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,1.1599164101374719e-07,2.9335852177680033e-06,2.9335852177680033e-06,2.9335852177680033e-06,2.9335852177680033e-06,2.9335852177680033e-06,2.9335852177680033e-06,2.9335852177680033e-06,2.9335852177680033e-06,2.9335852177680033e-06,2.9335852177680033e-06,2.9335852177680033e-06,2.9335852177680033e-06,2.9335852177680033e-06,2.9335852177680033e-06,2.9335852177680033e-06,2.9335852177680033e-06,2.9335852177680033e-06,2.9335852177680033e-06,2.9335852177680033e-06,2.9335852177680033e-06,1.1304970511039452e-05,1.1304970511039452e-05,1.1304970511039452e-05,1.1304970511039452e-05,1.1304970511039452e-05,1.1304970511039452e-05,1.1304970511039452e-05,1.1304970511039452e-05,1.1304970511039452e-05,1.1304970511039452e-05,1.1304970511039452e-05,1.1304970511039452e-05,1.1304970511039452e-05,1.1304970511039452e-05,1.1304970511039452e-05,1.1304970511039452e-05,1.1304970511039452e-05,1.1304970511039452e-05,1.1304970511039452e-05,1.1304970511039452e-05
4,5,1.7286775806504619e-06,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,1.1650728259029898e-07,2.9481704449258883e-06,2.9481704449258883e-06,2.9481704449258883e-06,2.9481704449258883e-06,2.9481704449258883e-06,2.9481704449258883e-06,2.9481704449258883e-06,2.9481704449258883e-06,2.9481704449258883e-06,2.9481704449258883e-06,2.9481704449258883e-06,2.9481704449258883e-06,2.9481704449258883e-06,2.9481704449258883e-06,2.9481704449258883e-06,2.9481704449258883e-06,2.9481704449258883e-06,2.9481704449258883e-06,2.9481704449258883e-06,2.9481704449258883e-06,1.1367289158496634e-05,1.1367289158496634e-05,1.1367289158496634e-05,1.1367289158496634e-05,1.1367289158496634e-05,1.1367289158496634e-05,1.1367289158496634e-05,1.1367289158496634e-05,1.1367289158496634e-05,1.1367289158496634e-05,1.1367289158496634e-05,1.1367289158496634e-05,1.1367289158496634e-05,1.1367289158496634e-05,1.1367289158496634e-05,1.1367289158496634e-05,1.1367289158496634e-05,1.1367289158496634e-05,1.1367289158496634e-05,1.1367289158496634e-05
5,6,1.7367067475882403e-06,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,1.1702443558647192e-07,2.9628326478998994e-06,2.9628326478998994e-06,2.9628326478998994e-06,2.9628326478998994e-06,2.9628326478998994e-06,2.9628326478998994e-06,2.9628326478998994e-06,2.9628326478998994e-06,2.9628326478998994e-06,2.9628326478998994e-06,2.9628326478998994e-06,2.9628326478998994e-06,2.9628326478998994e-06,2.9628326478998994e-06,2.9628326478998994e-06,2.9628326478998994e-06,2.9628326478998994e-06,2.9628326478998994e-06,2.9628326478998994e-06,2.9628326478998994e-06,1.1430071157427106e-05,1.1430071157427106e-05,1.1430071157427106e-05,1.1430071157427106e-05,1.1430071157427106e-05,1.1430071157427106e-05,1.1430071157427106e-05,1.1430071157427106e-05,1.1430071157427106e-05,1.1430071157427106e-05,1.1430071157427106e-05,1.1430071157427106e-05,1.1430071157427106e-05,1.1430071157427106e-05,1.1430071157427106e-05,1.1430071157427106e-05,1.1430071157427106e-05,1.1430071157427106e-05,1.1430071157427106e-05,1.1430071157427106e-05
6,7,1.7447669922347894e-06,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,1.1754310142714408e-07,2.977572411317155e-06,2.977572411317155e-06,2.977572411317155e-06,2.977572411317155e-06,2.977572411317155e-06,2.977572411317155e-06,2.977572411317155e-06,2.977572411317155e-06,2.977572411317155e-06,2.977572411317155e-06,2.977572411317155e-06,2.977572411317155e-06,2.977572411317155e-06,2.977572411317155e-06,2.977572411317155e-06,2.977572411317155e-06,2.977572411317155e-06,2.977572411317155e-06,2.977572411317155e-06,2.977572411317155e-06,1.149332178011195e-05,1.149332178011195e-05,1.149332178011195e-05,1.149332178011195e-05,1.149332178011195e-05,1.149332178011195e-05,1.149332178011195e-05,1.149332178011195e-05,1.149332178011195e-05,1.149332178011195e-05,1.149332178011195e-05,1.149332178011195e-05,1.149332178011195e-05,1.149332178011195e-05,1.149332178011195e-05,1.149332178011195e-05,1.149332178011195e-05,1.149332178011195e-05,1.149332178011195e-05,1.149332178011195e-05
7,8,1.7528584450425781e-06,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,1.1806328149084444e-07,2.9923903210532113e-06,2.9923903210532113e-06,2.9923903210532113e-06,2.9923903210532113e-06,2.9923903210532113e-06,2.9923903210532113e-06,2.9923903210532113e-06,2.9923903210532113e-06,2.9923903210532113e-06,2.9923903210532113e-06,2.9923903210532113e-06,2.9923903210532113e-06,2.9923903210532113e-06,2.9923903210532113e-06,2.9923903210532113e-06,2.9923903210532113e-06,2.9923903210532113e-06,2.9923903210532113e-06,2.9923903210532113e-06,2.9923903210532113e-06,1.1557046344126363e-05,1.1557046344126363e-05,1.1557046344126363e-05,1.1557046344126363e-05,1.1557046344126363e-05,1.1557046344126363e-05,1.1557046344126363e-05,1.1557046344126363e-05,1.1557046344126363e-05,1.1557046344126363e-05,1.1557046344126363e-05,1.1557046344126363e-05,1.1557046344126363e-05,1.1557046344126363e-05,1.1557046344126363e-05,1.1557046344126363e-05,1.1557046344126363e-05,1.1557046344126363e-05,1.1557046344126363e-05,1.1557046344126363e-05
8,9,1.7609812358089611e-06,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,1.1858497710818474e-07,3.0072869640953646e-06,3.0072869640953646e-06,3.0072869640953646e-06,3.0072869640953646e-06,3.0072869640953646e-06,3.0072869640953646e-06,3.0072869640953646e-06,3.0072869640953646e-06,3.0072869640953646e-06,3.0072869640953646e-06,3.0072869640953646e-06,3.0072869640953646e-06,3.0072869640953646e-06,3.0072869640953646e-06,3.0072869640953646e-06,3.0072869640953646e-06,3.0072869640953646e-06,3.0072869640953646e-06,3.0072869640953646e-06,3.0072869640953646e-06,1.1621250212140548e-05,1.1621250212140548e-05,1.1621250212140548e-05,1.1621250212140548e-05,1.1621250212140548e-05,1.1621250212140548e-05,1.1621250212140548e-05,1.1621250212140548e-05,1.1621250212140548e-05,1.1621250212140548e-05,1.1621250212140548e-05,1.1621250212140548e-05,1.1621250212140548e-05,1.1621250212140548e-05,1.1621250212140548e-05,1.1621250212140548e-05,1.1621250212140548e-05,1.1621250212140548e-05,1.1621250212140548e-05,1.1621250212140548e-05
9,10,1.769135493622542e-06,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,1.1910818956027702e-07,3.0222629284028887e-06,3.0222629284028887e-06,3.0222629284028887e-06,3.0222629284028887e-06,3.0222629284028887e-06,3.0222629284028887e-06,3.0222629284028887e-06,3.0222629284028887e-06,3.0222629284028887e-06,3.0222629284028887e-06,3.0222629284028887e-06,3.0222629284028887e-06,3.0222629284028887e-06,3.0222629284028887e-06,3.0222629284028887e-06,3.0222629284028887e-06,3.0222629284028887e-06,3.0222629284028887e-06,3.0222629284028887e-06,3.0222629284028887e-06,1.1685938791704159e-05,1.1685938791704159e-05,1.1685938791704159e-05,1.1685938791704159e-05,1.1685938791704159e-05,1.1685938791704159e-05,1.1685938791704159e-05,1.1685938791704159e-05,1.1685938791704159e-05,1.1685938791704159e-05,1.1685938791704159e-05,1.1685938791704159e-05,1.1685938791704159e-05,1.1685938791704159e-05,1.1685938791704159e-05,1.1685938791704159e-05,1.1685938791704159e-05,1.1685938791704159e-05,1.1685938791704159e-05,1.1685938791704159e-05
