,Time-steps,AgeIndependent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,0.0003504991815302281,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,6.248254655026407e-05,0.0004064679503554605,0.0004064679503554605,0.0004064679503554605,0.0004064679503554605,0.0004064679503554605,0.0004064679503554605,0.0004064679503554605,0.0004064679503554605,0.0004064679503554605,0.0004064679503554605,0.0004064679503554605,0.0004064679503554605,0.0004064679503554605,0.0004064679503554605,0.0004064679503554605,0.0004064679503554605,0.0004064679503554605,0.0004064679503554605,0.0004064679503554605,0.0004064679503554605,0.0004885094179355294,0.0004885094179355294,0.0004885094179355294,0.0004885094179355294,0.0004885094179355294,0.0004885094179355294,0.0004885094179355294,0.0004885094179355294,0.0004885094179355294,0.0004885094179355294,0.0004885094179355294,0.0004885094179355294,0.0004885094179355294,0.0004885094179355294,0.0004885094179355294,0.0004885094179355294,0.0004885094179355294,0.0004885094179355294,0.0004885094179355294,0.0004885094179355294
1,2,0.00035195958632635693,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,6.2742888986038e-05,0.0004081615570040699,0.0004081615570040699,0.0004081615570040699,0.0004081615570040699,0.0004081615570040699,0.0004081615570040699,0.0004081615570040699,0.0004081615570040699,0.0004081615570040699,0.0004081615570040699,0.0004081615570040699,0.0004081615570040699,0.0004081615570040699,0.0004081615570040699,0.0004081615570040699,0.0004081615570040699,0.0004081615570040699,0.0004081615570040699,0.0004081615570040699,0.0004081615570040699,0.000490544862052096,0.000490544862052096,0.000490544862052096,0.000490544862052096,0.000490544862052096,0.000490544862052096,0.000490544862052096,0.000490544862052096,0.000490544862052096,0.000490544862052096,0.000490544862052096,0.000490544862052096,0.000490544862052096,0.000490544862052096,0.000490544862052096,0.000490544862052096,0.000490544862052096,0.000490544862052096,0.000490544862052096,0.000490544862052096
2,3,0.0003538437253312226,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,6.307876937972312e-05,0.0004103465610207668,0.0004103465610207668,0.0004103465610207668,0.0004103465610207668,0.0004103465610207668,0.0004103465610207668,0.0004103465610207668,0.0004103465610207668,0.0004103465610207668,0.0004103465610207668,0.0004103465610207668,0.0004103465610207668,0.0004103465610207668,0.0004103465610207668,0.0004103465610207668,0.0004103465610207668,0.0004103465610207668,0.0004103465610207668,0.0004103465610207668,0.0004103465610207668,0.000493170887153091,0.000493170887153091,0.000493170887153091,0.000493170887153091,0.000493170887153091,0.000493170887153091,0.000493170887153091,0.000493170887153091,0.000493170887153091,0.000493170887153091,0.000493170887153091,0.000493170887153091,0.000493170887153091,0.000493170887153091,0.000493170887153091,0.000493170887153091,0.000493170887153091,0.000493170887153091,0.000493170887153091,0.000493170887153091
3,4,0.000355734065652311,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,6.341575526537506e-05,0.00041253875659860674,0.00041253875659860674,0.00041253875659860674,0.00041253875659860674,0.00041253875659860674,0.00041253875659860674,0.00041253875659860674,0.00041253875659860674,0.00041253875659860674,0.00041253875659860674,0.00041253875659860674,0.00041253875659860674,0.00041253875659860674,0.00041253875659860674,0.00041253875659860674,0.00041253875659860674,0.00041253875659860674,0.00041253875659860674,0.00041253875659860674,0.00041253875659860674,0.0004958055553595138,0.0004958055553595138,0.0004958055553595138,0.0004958055553595138,0.0004958055553595138,0.0004958055553595138,0.0004958055553595138,0.0004958055553595138,0.0004958055553595138,0.0004958055553595138,0.0004958055553595138,0.0004958055553595138,0.0004958055553595138,0.0004958055553595138,0.0004958055553595138,0.0004958055553595138,0.0004958055553595138,0.0004958055553595138,0.0004958055553595138,0.0004958055553595138
4,5,0.00035763060667068895,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,6.375384653265827e-05,0.0004147381430198234,0.0004147381430198234,0.0004147381430198234,0.0004147381430198234,0.0004147381430198234,0.0004147381430198234,0.0004147381430198234,0.0004147381430198234,0.0004147381430198234,0.0004147381430198234,0.0004147381430198234,0.0004147381430198234,0.0004147381430198234,0.0004147381430198234,0.0004147381430198234,0.0004147381430198234,0.0004147381430198234,0.0004147381430198234,0.0004147381430198234,0.0004147381430198234,0.0004984488658087246,0.0004984488658087246,0.0004984488658087246,0.0004984488658087246,0.0004984488658087246,0.0004984488658087246,0.0004984488658087246,0.0004984488658087246,0.0004984488658087246,0.0004984488658087246,0.0004984488658087246,0.0004984488658087246,0.0004984488658087246,0.0004984488658087246,0.0004984488658087246,0.0004984488658087246,0.0004984488658087246,0.0004984488658087246,0.0004984488658087246,0.0004984488658087246
5,6,0.0003595333476824558,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,6.40930430560903e-05,0.00041694471946811517,0.00041694471946811517,0.00041694471946811517,0.00041694471946811517,0.00041694471946811517,0.00041694471946811517,0.00041694471946811517,0.00041694471946811517,0.00041694471946811517,0.00041694471946811517,0.00041694471946811517,0.00041694471946811517,0.00041694471946811517,0.00041694471946811517,0.00041694471946811517,0.00041694471946811517,0.00041694471946811517,0.00041694471946811517,0.00041694471946811517,0.00041694471946811517,0.0005011008175196593,0.0005011008175196593,0.0005011008175196593,0.0005011008175196593,0.0005011008175196593,0.0005011008175196593,0.0005011008175196593,0.0005011008175196593,0.0005011008175196593,0.0005011008175196593,0.0005011008175196593,0.0005011008175196593,0.0005011008175196593,0.0005011008175196593,0.0005011008175196593,0.0005011008175196593,0.0005011008175196593,0.0005011008175196593,0.0005011008175196593,0.0005011008175196593
6,7,0.00036144228789901004,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,6.443334469508923e-05,0.0004191584850289543,0.0004191584850289543,0.0004191584850289543,0.0004191584850289543,0.0004191584850289543,0.0004191584850289543,0.0004191584850289543,0.0004191584850289543,0.0004191584850289543,0.0004191584850289543,0.0004191584850289543,0.0004191584850289543,0.0004191584850289543,0.0004191584850289543,0.0004191584850289543,0.0004191584850289543,0.0004191584850289543,0.0004191584850289543,0.0004191584850289543,0.0004191584850289543,0.0005037614093932019,0.0005037614093932019,0.0005037614093932019,0.0005037614093932019,0.0005037614093932019,0.0005037614093932019,0.0005037614093932019,0.0005037614093932019,0.0005037614093932019,0.0005037614093932019,0.0005037614093932019,0.0005037614093932019,0.0005037614093932019,0.0005037614093932019,0.0005037614093932019,0.0005037614093932019,0.0005037614093932019,0.0005037614093932019,0.0005037614093932019,0.0005037614093932019
7,8,0.00036335742644732,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,6.477475129402207e-05,0.00042137943868990075,0.00042137943868990075,0.00042137943868990075,0.00042137943868990075,0.00042137943868990075,0.00042137943868990075,0.00042137943868990075,0.00042137943868990075,0.00042137943868990075,0.00042137943868990075,0.00042137943868990075,0.00042137943868990075,0.00042137943868990075,0.00042137943868990075,0.00042137943868990075,0.00042137943868990075,0.00042137943868990075,0.00042137943868990075,0.00042137943868990075,0.00042137943868990075,0.0005064306402125614,0.0005064306402125614,0.0005064306402125614,0.0005064306402125614,0.0005064306402125614,0.0005064306402125614,0.0005064306402125614,0.0005064306402125614,0.0005064306402125614,0.0005064306402125614,0.0005064306402125614,0.0005064306402125614,0.0005064306402125614,0.0005064306402125614,0.0005064306402125614,0.0005064306402125614,0.0005064306402125614,0.0005064306402125614,0.0005064306402125614,0.0005064306402125614
8,9,0.00036527876237019765,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,6.51172626822535e-05,0.0004236075793409197,0.0004236075793409197,0.0004236075793409197,0.0004236075793409197,0.0004236075793409197,0.0004236075793409197,0.0004236075793409197,0.0004236075793409197,0.0004236075793409197,0.0004236075793409197,0.0004236075793409197,0.0004236075793409197,0.0004236075793409197,0.0004236075793409197,0.0004236075793409197,0.0004236075793409197,0.0004236075793409197,0.0004236075793409197,0.0004236075793409197,0.0004236075793409197,0.000509108508643654,0.000509108508643654,0.000509108508643654,0.000509108508643654,0.000509108508643654,0.000509108508643654,0.000509108508643654,0.000509108508643654,0.000509108508643654,0.000509108508643654,0.000509108508643654,0.000509108508643654,0.000509108508643654,0.000509108508643654,0.000509108508643654,0.000509108508643654,0.000509108508643654,0.000509108508643654,0.000509108508643654,0.000509108508643654
9,10,0.0003672062946265757,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,6.546087867419524e-05,0.00042584290577470324,0.00042584290577470324,0.00042584290577470324,0.00042584290577470324,0.00042584290577470324,0.00042584290577470324,0.00042584290577470324,0.00042584290577470324,0.00042584290577470324,0.00042584290577470324,0.00042584290577470324,0.00042584290577470324,0.00042584290577470324,0.00042584290577470324,0.00042584290577470324,0.00042584290577470324,0.00042584290577470324,0.00042584290577470324,0.00042584290577470324,0.00042584290577470324,0.0005117950132354884,0.0005117950132354884,0.0005117950132354884,0.0005117950132354884,0.0005117950132354884,0.0005117950132354884,0.0005117950132354884,0.0005117950132354884,0.0005117950132354884,0.0005117950132354884,0.0005117950132354884,0.0005117950132354884,0.0005117950132354884,0.0005117950132354884,0.0005117950132354884,0.0005117950132354884,0.0005117950132354884,0.0005117950132354884,0.0005117950132354884,0.0005117950132354884
