,Time-steps,AgeIndependent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,1.4975536848290652e-06,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,1.0099049166962255e-07,2.551573534287542e-06,2.551573534287542e-06,2.551573534287542e-06,2.551573534287542e-06,2.551573534287542e-06,2.551573534287542e-06,2.551573534287542e-06,2.551573534287542e-06,2.551573534287542e-06,2.551573534287542e-06,2.551573534287542e-06,2.551573534287542e-06,2.551573534287542e-06,2.551573534287542e-06,2.551573534287542e-06,2.551573534287542e-06,2.551573534287542e-06,2.551573534287542e-06,2.551573534287542e-06,2.551573534287542e-06,9.822526349873402e-06,9.822526349873402e-06,9.822526349873402e-06,9.822526349873402e-06,9.822526349873402e-06,9.822526349873402e-06,9.822526349873402e-06,9.822526349873402e-06,9.822526349873402e-06,9.822526349873402e-06,9.822526349873402e-06,9.822526349873402e-06,9.822526349873402e-06,9.822526349873402e-06,9.822526349873402e-06,9.822526349873402e-06,9.822526349873402e-06,9.822526349873402e-06,9.822526349873402e-06,9.822526349873402e-06
1,2,1.50275350309741e-06,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,1.0134115168858058e-07,2.5604331289792196e-06,2.5604331289792196e-06,2.5604331289792196e-06,2.5604331289792196e-06,2.5604331289792196e-06,2.5604331289792196e-06,2.5604331289792196e-06,2.5604331289792196e-06,2.5604331289792196e-06,2.5604331289792196e-06,2.5604331289792196e-06,2.5604331289792196e-06,2.5604331289792196e-06,2.5604331289792196e-06,2.5604331289792196e-06,2.5604331289792196e-06,2.5604331289792196e-06,2.5604331289792196e-06,2.5604331289792196e-06,2.5604331289792196e-06,9.856632206960724e-06,9.856632206960724e-06,9.856632206960724e-06,9.856632206960724e-06,9.856632206960724e-06,9.856632206960724e-06,9.856632206960724e-06,9.856632206960724e-06,9.856632206960724e-06,9.856632206960724e-06,9.856632206960724e-06,9.856632206960724e-06,9.856632206960724e-06,9.856632206960724e-06,9.856632206960724e-06,9.856632206960724e-06,9.856632206960724e-06,9.856632206960724e-06,9.856632206960724e-06,9.856632206960724e-06
2,3,1.5097496543811592e-06,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,1.0180251026030034e-07,2.572552489961083e-06,2.572552489961083e-06,2.572552489961083e-06,2.572552489961083e-06,2.572552489961083e-06,2.572552489961083e-06,2.572552489961083e-06,2.572552489961083e-06,2.572552489961083e-06,2.572552489961083e-06,2.572552489961083e-06,2.572552489961083e-06,2.572552489961083e-06,2.572552489961083e-06,2.572552489961083e-06,2.572552489961083e-06,2.572552489961083e-06,2.572552489961083e-06,2.572552489961083e-06,2.572552489961083e-06,9.908577963205416e-06,9.908577963205416e-06,9.908577963205416e-06,9.908577963205416e-06,9.908577963205416e-06,9.908577963205416e-06,9.908577963205416e-06,9.908577963205416e-06,9.908577963205416e-06,9.908577963205416e-06,9.908577963205416e-06,9.908577963205416e-06,9.908577963205416e-06,9.908577963205416e-06,9.908577963205416e-06,9.908577963205416e-06,9.908577963205416e-06,9.908577963205416e-06,9.908577963205416e-06,9.908577963205416e-06
3,4,1.51677285180492e-06,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,1.0226543181475018e-07,2.5847229830010216e-06,2.5847229830010216e-06,2.5847229830010216e-06,2.5847229830010216e-06,2.5847229830010216e-06,2.5847229830010216e-06,2.5847229830010216e-06,2.5847229830010216e-06,2.5847229830010216e-06,2.5847229830010216e-06,2.5847229830010216e-06,2.5847229830010216e-06,2.5847229830010216e-06,2.5847229830010216e-06,2.5847229830010216e-06,2.5847229830010216e-06,2.5847229830010216e-06,2.5847229830010216e-06,2.5847229830010216e-06,2.5847229830010216e-06,9.960861411422103e-06,9.960861411422103e-06,9.960861411422103e-06,9.960861411422103e-06,9.960861411422103e-06,9.960861411422103e-06,9.960861411422103e-06,9.960861411422103e-06,9.960861411422103e-06,9.960861411422103e-06,9.960861411422103e-06,9.960861411422103e-06,9.960861411422103e-06,9.960861411422103e-06,9.960861411422103e-06,9.960861411422103e-06,9.960861411422103e-06,9.960861411422103e-06,9.960861411422103e-06,9.960861411422103e-06
4,5,1.5238232118076272e-06,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,1.0272992066824286e-07,2.5969448784530665e-06,2.5969448784530665e-06,2.5969448784530665e-06,2.5969448784530665e-06,2.5969448784530665e-06,2.5969448784530665e-06,2.5969448784530665e-06,2.5969448784530665e-06,2.5969448784530665e-06,2.5969448784530665e-06,2.5969448784530665e-06,2.5969448784530665e-06,2.5969448784530665e-06,2.5969448784530665e-06,2.5969448784530665e-06,2.5969448784530665e-06,2.5969448784530665e-06,2.5969448784530665e-06,2.5969448784530665e-06,2.5969448784530665e-06,1.0013485928551743e-05,1.0013485928551743e-05,1.0013485928551743e-05,1.0013485928551743e-05,1.0013485928551743e-05,1.0013485928551743e-05,1.0013485928551743e-05,1.0013485928551743e-05,1.0013485928551743e-05,1.0013485928551743e-05,1.0013485928551743e-05,1.0013485928551743e-05,1.0013485928551743e-05,1.0013485928551743e-05,1.0013485928551743e-05,1.0013485928551743e-05,1.0013485928551743e-05,1.0013485928551743e-05,1.0013485928551743e-05,1.0013485928551743e-05
5,6,1.5309008503884941e-06,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,1.031959810991201e-07,2.6092184462299637e-06,2.6092184462299637e-06,2.6092184462299637e-06,2.6092184462299637e-06,2.6092184462299637e-06,2.6092184462299637e-06,2.6092184462299637e-06,2.6092184462299637e-06,2.6092184462299637e-06,2.6092184462299637e-06,2.6092184462299637e-06,2.6092184462299637e-06,2.6092184462299637e-06,2.6092184462299637e-06,2.6092184462299637e-06,2.6092184462299637e-06,2.6092184462299637e-06,2.6092184462299637e-06,2.6092184462299637e-06,2.6092184462299637e-06,1.0066454913255118e-05,1.0066454913255118e-05,1.0066454913255118e-05,1.0066454913255118e-05,1.0066454913255118e-05,1.0066454913255118e-05,1.0066454913255118e-05,1.0066454913255118e-05,1.0066454913255118e-05,1.0066454913255118e-05,1.0066454913255118e-05,1.0066454913255118e-05,1.0066454913255118e-05,1.0066454913255118e-05,1.0066454913255118e-05,1.0066454913255118e-05,1.0066454913255118e-05,1.0066454913255118e-05,1.0066454913255118e-05,1.0066454913255118e-05
6,7,1.5380058830617281e-06,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,1.0366361734553311e-07,2.6215439557125403e-06,2.6215439557125403e-06,2.6215439557125403e-06,2.6215439557125403e-06,2.6215439557125403e-06,2.6215439557125403e-06,2.6215439557125403e-06,2.6215439557125403e-06,2.6215439557125403e-06,2.6215439557125403e-06,2.6215439557125403e-06,2.6215439557125403e-06,2.6215439557125403e-06,2.6215439557125403e-06,2.6215439557125403e-06,2.6215439557125403e-06,2.6215439557125403e-06,2.6215439557125403e-06,2.6215439557125403e-06,2.6215439557125403e-06,1.0119771785536365e-05,1.0119771785536365e-05,1.0119771785536365e-05,1.0119771785536365e-05,1.0119771785536365e-05,1.0119771785536365e-05,1.0119771785536365e-05,1.0119771785536365e-05,1.0119771785536365e-05,1.0119771785536365e-05,1.0119771785536365e-05,1.0119771785536365e-05,1.0119771785536365e-05,1.0119771785536365e-05,1.0119771785536365e-05,1.0119771785536365e-05,1.0119771785536365e-05,1.0119771785536365e-05,1.0119771785536365e-05,1.0119771785536365e-05
7,8,1.5451384248105695e-06,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,1.0413283360319534e-07,2.633921675657561e-06,2.633921675657561e-06,2.633921675657561e-06,2.633921675657561e-06,2.633921675657561e-06,2.633921675657561e-06,2.633921675657561e-06,2.633921675657561e-06,2.633921675657561e-06,2.633921675657561e-06,2.633921675657561e-06,2.633921675657561e-06,2.633921675657561e-06,2.633921675657561e-06,2.633921675657561e-06,2.633921675657561e-06,2.633921675657561e-06,2.633921675657561e-06,2.633921675657561e-06,2.633921675657561e-06,1.0173439986352235e-05,1.0173439986352235e-05,1.0173439986352235e-05,1.0173439986352235e-05,1.0173439986352235e-05,1.0173439986352235e-05,1.0173439986352235e-05,1.0173439986352235e-05,1.0173439986352235e-05,1.0173439986352235e-05,1.0173439986352235e-05,1.0173439986352235e-05,1.0173439986352235e-05,1.0173439986352235e-05,1.0173439986352235e-05,1.0173439986352235e-05,1.0173439986352235e-05,1.0173439986352235e-05,1.0173439986352235e-05,1.0173439986352235e-05
8,9,1.5522985900406658e-06,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,1.0460363402310825e-07,2.6463518741040613e-06,2.6463518741040613e-06,2.6463518741040613e-06,2.6463518741040613e-06,2.6463518741040613e-06,2.6463518741040613e-06,2.6463518741040613e-06,2.6463518741040613e-06,2.6463518741040613e-06,2.6463518741040613e-06,2.6463518741040613e-06,2.6463518741040613e-06,2.6463518741040613e-06,2.6463518741040613e-06,2.6463518741040613e-06,2.6463518741040613e-06,2.6463518741040613e-06,2.6463518741040613e-06,2.6463518741040613e-06,2.6463518741040613e-06,1.0227462977206818e-05,1.0227462977206818e-05,1.0227462977206818e-05,1.0227462977206818e-05,1.0227462977206818e-05,1.0227462977206818e-05,1.0227462977206818e-05,1.0227462977206818e-05,1.0227462977206818e-05,1.0227462977206818e-05,1.0227462977206818e-05,1.0227462977206818e-05,1.0227462977206818e-05,1.0227462977206818e-05,1.0227462977206818e-05,1.0227462977206818e-05,1.0227462977206818e-05,1.0227462977206818e-05,1.0227462977206818e-05,1.0227462977206818e-05
9,10,1.5594864925327865e-06,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,1.0507602270926074e-07,2.658834818278193e-06,2.658834818278193e-06,2.658834818278193e-06,2.658834818278193e-06,2.658834818278193e-06,2.658834818278193e-06,2.658834818278193e-06,2.658834818278193e-06,2.658834818278193e-06,2.658834818278193e-06,2.658834818278193e-06,2.658834818278193e-06,2.658834818278193e-06,2.658834818278193e-06,2.658834818278193e-06,2.658834818278193e-06,2.658834818278193e-06,2.658834818278193e-06,2.658834818278193e-06,2.658834818278193e-06,1.0281844239731472e-05,1.0281844239731472e-05,1.0281844239731472e-05,1.0281844239731472e-05,1.0281844239731472e-05,1.0281844239731472e-05,1.0281844239731472e-05,1.0281844239731472e-05,1.0281844239731472e-05,1.0281844239731472e-05,1.0281844239731472e-05,1.0281844239731472e-05,1.0281844239731472e-05,1.0281844239731472e-05,1.0281844239731472e-05,1.0281844239731472e-05,1.0281844239731472e-05,1.0281844239731472e-05,1.0281844239731472e-05,1.0281844239731472e-05
