,Time-steps,AgeIndependent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,1.795116034471655e-05,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,1.7566271388550664e-06,2.4773575281434304e-05,2.4773575281434304e-05,2.4773575281434304e-05,2.4773575281434304e-05,2.4773575281434304e-05,2.4773575281434304e-05,2.4773575281434304e-05,2.4773575281434304e-05,2.4773575281434304e-05,2.4773575281434304e-05,2.4773575281434304e-05,2.4773575281434304e-05,2.4773575281434304e-05,2.4773575281434304e-05,2.4773575281434304e-05,2.4773575281434304e-05,2.4773575281434304e-05,2.4773575281434304e-05,2.4773575281434304e-05,2.4773575281434304e-05,4.126949233104434e-05,4.126949233104434e-05,4.126949233104434e-05,4.126949233104434e-05,4.126949233104434e-05,4.126949233104434e-05,4.126949233104434e-05,4.126949233104434e-05,4.126949233104434e-05,4.126949233104434e-05,4.126949233104434e-05,4.126949233104434e-05,4.126949233104434e-05,4.126949233104434e-05,4.126949233104434e-05,4.126949233104434e-05,4.126949233104434e-05,4.126949233104434e-05,4.126949233104434e-05,4.126949233104434e-05
1,2,1.8034266974090632e-05,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,1.7647596137354577e-06,2.488826693922405e-05,2.488826693922405e-05,2.488826693922405e-05,2.488826693922405e-05,2.488826693922405e-05,2.488826693922405e-05,2.488826693922405e-05,2.488826693922405e-05,2.488826693922405e-05,2.488826693922405e-05,2.488826693922405e-05,2.488826693922405e-05,2.488826693922405e-05,2.488826693922405e-05,2.488826693922405e-05,2.488826693922405e-05,2.488826693922405e-05,2.488826693922405e-05,2.488826693922405e-05,2.488826693922405e-05,4.146055342892051e-05,4.146055342892051e-05,4.146055342892051e-05,4.146055342892051e-05,4.146055342892051e-05,4.146055342892051e-05,4.146055342892051e-05,4.146055342892051e-05,4.146055342892051e-05,4.146055342892051e-05,4.146055342892051e-05,4.146055342892051e-05,4.146055342892051e-05,4.146055342892051e-05,4.146055342892051e-05,4.146055342892051e-05,4.146055342892051e-05,4.146055342892051e-05,4.146055342892051e-05,4.146055342892051e-05
2,3,1.8214475829166442e-05,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,1.7789691270301336e-06,2.5157369420417962e-05,2.5157369420417962e-05,2.5157369420417962e-05,2.5157369420417962e-05,2.5157369420417962e-05,2.5157369420417962e-05,2.5157369420417962e-05,2.5157369420417962e-05,2.5157369420417962e-05,2.5157369420417962e-05,2.5157369420417962e-05,2.5157369420417962e-05,2.5157369420417962e-05,2.5157369420417962e-05,2.5157369420417962e-05,2.5157369420417962e-05,2.5157369420417962e-05,2.5157369420417962e-05,2.5157369420417962e-05,2.5157369420417962e-05,4.199125819549934e-05,4.199125819549934e-05,4.199125819549934e-05,4.199125819549934e-05,4.199125819549934e-05,4.199125819549934e-05,4.199125819549934e-05,4.199125819549934e-05,4.199125819549934e-05,4.199125819549934e-05,4.199125819549934e-05,4.199125819549934e-05,4.199125819549934e-05,4.199125819549934e-05,4.199125819549934e-05,4.199125819549934e-05,4.199125819549934e-05,4.199125819549934e-05,4.199125819549934e-05,4.199125819549934e-05
3,4,1.8400280152820288e-05,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,1.7934741241116288e-06,2.5435817967206002e-05,2.5435817967206002e-05,2.5435817967206002e-05,2.5435817967206002e-05,2.5435817967206002e-05,2.5435817967206002e-05,2.5435817967206002e-05,2.5435817967206002e-05,2.5435817967206002e-05,2.5435817967206002e-05,2.5435817967206002e-05,2.5435817967206002e-05,2.5435817967206002e-05,2.5435817967206002e-05,2.5435817967206002e-05,2.5435817967206002e-05,2.5435817967206002e-05,2.5435817967206002e-05,2.5435817967206002e-05,2.5435817967206002e-05,4.254459682893113e-05,4.254459682893113e-05,4.254459682893113e-05,4.254459682893113e-05,4.254459682893113e-05,4.254459682893113e-05,4.254459682893113e-05,4.254459682893113e-05,4.254459682893113e-05,4.254459682893113e-05,4.254459682893113e-05,4.254459682893113e-05,4.254459682893113e-05,4.254459682893113e-05,4.254459682893113e-05,4.254459682893113e-05,4.254459682893113e-05,4.254459682893113e-05,4.254459682893113e-05,4.254459682893113e-05
4,5,1.859186914593709e-05,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,1.8082815477686995e-06,2.572396688677488e-05,2.572396688677488e-05,2.572396688677488e-05,2.572396688677488e-05,2.572396688677488e-05,2.572396688677488e-05,2.572396688677488e-05,2.572396688677488e-05,2.572396688677488e-05,2.572396688677488e-05,2.572396688677488e-05,2.572396688677488e-05,2.572396688677488e-05,2.572396688677488e-05,2.572396688677488e-05,2.572396688677488e-05,2.572396688677488e-05,2.572396688677488e-05,2.572396688677488e-05,2.572396688677488e-05,4.3121644662623925e-05,4.3121644662623925e-05,4.3121644662623925e-05,4.3121644662623925e-05,4.3121644662623925e-05,4.3121644662623925e-05,4.3121644662623925e-05,4.3121644662623925e-05,4.3121644662623925e-05,4.3121644662623925e-05,4.3121644662623925e-05,4.3121644662623925e-05,4.3121644662623925e-05,4.3121644662623925e-05,4.3121644662623925e-05,4.3121644662623925e-05,4.3121644662623925e-05,4.3121644662623925e-05,4.3121644662623925e-05,4.3121644662623925e-05
5,6,1.8789429082718808e-05,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,1.8233978954820372e-06,2.6022170193271778e-05,2.6022170193271778e-05,2.6022170193271778e-05,2.6022170193271778e-05,2.6022170193271778e-05,2.6022170193271778e-05,2.6022170193271778e-05,2.6022170193271778e-05,2.6022170193271778e-05,2.6022170193271778e-05,2.6022170193271778e-05,2.6022170193271778e-05,2.6022170193271778e-05,2.6022170193271778e-05,2.6022170193271778e-05,2.6022170193271778e-05,2.6022170193271778e-05,2.6022170193271778e-05,2.6022170193271778e-05,2.6022170193271778e-05,4.372350654985922e-05,4.372350654985922e-05,4.372350654985922e-05,4.372350654985922e-05,4.372350654985922e-05,4.372350654985922e-05,4.372350654985922e-05,4.372350654985922e-05,4.372350654985922e-05,4.372350654985922e-05,4.372350654985922e-05,4.372350654985922e-05,4.372350654985922e-05,4.372350654985922e-05,4.372350654985922e-05,4.372350654985922e-05,4.372350654985922e-05,4.372350654985922e-05,4.372350654985922e-05,4.372350654985922e-05
6,7,1.8993142414529445e-05,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,1.8388291656598242e-06,2.6330780353851985e-05,2.6330780353851985e-05,2.6330780353851985e-05,2.6330780353851985e-05,2.6330780353851985e-05,2.6330780353851985e-05,2.6330780353851985e-05,2.6330780353851985e-05,2.6330780353851985e-05,2.6330780353851985e-05,2.6330780353851985e-05,2.6330780353851985e-05,2.6330780353851985e-05,2.6330780353851985e-05,2.6330780353851985e-05,2.6330780353851985e-05,2.6330780353851985e-05,2.6330780353851985e-05,2.6330780353851985e-05,2.6330780353851985e-05,4.435131621344253e-05,4.435131621344253e-05,4.435131621344253e-05,4.435131621344253e-05,4.435131621344253e-05,4.435131621344253e-05,4.435131621344253e-05,4.435131621344253e-05,4.435131621344253e-05,4.435131621344253e-05,4.435131621344253e-05,4.435131621344253e-05,4.435131621344253e-05,4.435131621344253e-05,4.435131621344253e-05,4.435131621344253e-05,4.435131621344253e-05,4.435131621344253e-05,4.435131621344253e-05,4.435131621344253e-05
7,8,1.920318681814185e-05,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,1.8545808033617575e-06,2.665014692527582e-05,2.665014692527582e-05,2.665014692527582e-05,2.665014692527582e-05,2.665014692527582e-05,2.665014692527582e-05,2.665014692527582e-05,2.665014692527582e-05,2.665014692527582e-05,2.665014692527582e-05,2.665014692527582e-05,2.665014692527582e-05,2.665014692527582e-05,2.665014692527582e-05,2.665014692527582e-05,2.665014692527582e-05,2.665014692527582e-05,2.665014692527582e-05,2.665014692527582e-05,2.665014692527582e-05,4.5006235379881224e-05,4.5006235379881224e-05,4.5006235379881224e-05,4.5006235379881224e-05,4.5006235379881224e-05,4.5006235379881224e-05,4.5006235379881224e-05,4.5006235379881224e-05,4.5006235379881224e-05,4.5006235379881224e-05,4.5006235379881224e-05,4.5006235379881224e-05,4.5006235379881224e-05,4.5006235379881224e-05,4.5006235379881224e-05,4.5006235379881224e-05,4.5006235379881224e-05,4.5006235379881224e-05,4.5006235379881224e-05,4.5006235379881224e-05
8,9,1.9419734187782596e-05,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,1.8706576458311165e-06,2.6980615074977278e-05,2.6980615074977278e-05,2.6980615074977278e-05,2.6980615074977278e-05,2.6980615074977278e-05,2.6980615074977278e-05,2.6980615074977278e-05,2.6980615074977278e-05,2.6980615074977278e-05,2.6980615074977278e-05,2.6980615074977278e-05,2.6980615074977278e-05,2.6980615074977278e-05,2.6980615074977278e-05,2.6980615074977278e-05,2.6980615074977278e-05,2.6980615074977278e-05,2.6980615074977278e-05,2.6980615074977278e-05,2.6980615074977278e-05,4.568945266423275e-05,4.568945266423275e-05,4.568945266423275e-05,4.568945266423275e-05,4.568945266423275e-05,4.568945266423275e-05,4.568945266423275e-05,4.568945266423275e-05,4.568945266423275e-05,4.568945266423275e-05,4.568945266423275e-05,4.568945266423275e-05,4.568945266423275e-05,4.568945266423275e-05,4.568945266423275e-05,4.568945266423275e-05,4.568945266423275e-05,4.568945266423275e-05,4.568945266423275e-05,4.568945266423275e-05
9,10,1.9642949570852873e-05,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,1.8870638681851168e-06,2.7322523980825668e-05,2.7322523980825668e-05,2.7322523980825668e-05,2.7322523980825668e-05,2.7322523980825668e-05,2.7322523980825668e-05,2.7322523980825668e-05,2.7322523980825668e-05,2.7322523980825668e-05,2.7322523980825668e-05,2.7322523980825668e-05,2.7322523980825668e-05,2.7322523980825668e-05,2.7322523980825668e-05,2.7322523980825668e-05,2.7322523980825668e-05,2.7322523980825668e-05,2.7322523980825668e-05,2.7322523980825668e-05,2.7322523980825668e-05,4.640218216837908e-05,4.640218216837908e-05,4.640218216837908e-05,4.640218216837908e-05,4.640218216837908e-05,4.640218216837908e-05,4.640218216837908e-05,4.640218216837908e-05,4.640218216837908e-05,4.640218216837908e-05,4.640218216837908e-05,4.640218216837908e-05,4.640218216837908e-05,4.640218216837908e-05,4.640218216837908e-05,4.640218216837908e-05,4.640218216837908e-05,4.640218216837908e-05,4.640218216837908e-05,4.640218216837908e-05
