,Time-steps,AgeIndependent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,5.536009469961778e-07,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07
1,2,5.536009469961778e-07,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,9.868895211093601e-08,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,6.420016196841585e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07,7.715831894527182e-07
2,3,5.536019942249967e-07,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,9.868913879760142e-08,6.420028341376408e-07,6.420028341376408e-07,6.420028341376408e-07,6.420028341376408e-07,6.420028341376408e-07,6.420028341376408e-07,6.420028341376408e-07,6.420028341376408e-07,6.420028341376408e-07,6.420028341376408e-07,6.420028341376408e-07,6.420028341376408e-07,6.420028341376408e-07,6.420028341376408e-07,6.420028341376408e-07,6.420028341376408e-07,6.420028341376408e-07,6.420028341376408e-07,6.420028341376408e-07,6.420028341376408e-07,7.715846490314212e-07,7.715846490314212e-07,7.715846490314212e-07,7.715846490314212e-07,7.715846490314212e-07,7.715846490314212e-07,7.715846490314212e-07,7.715846490314212e-07,7.715846490314212e-07,7.715846490314212e-07,7.715846490314212e-07,7.715846490314212e-07,7.715846490314212e-07,7.715846490314212e-07,7.715846490314212e-07,7.715846490314212e-07,7.715846490314212e-07,7.715846490314212e-07,7.715846490314212e-07,7.715846490314212e-07
3,4,5.536030414577777e-07,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,9.868932548497313e-08,6.420040485957179e-07,6.420040485957179e-07,6.420040485957179e-07,6.420040485957179e-07,6.420040485957179e-07,6.420040485957179e-07,6.420040485957179e-07,6.420040485957179e-07,6.420040485957179e-07,6.420040485957179e-07,6.420040485957179e-07,6.420040485957179e-07,6.420040485957179e-07,6.420040485957179e-07,6.420040485957179e-07,6.420040485957179e-07,6.420040485957179e-07,6.420040485957179e-07,6.420040485957179e-07,6.420040485957179e-07,7.715861086156463e-07,7.715861086156463e-07,7.715861086156463e-07,7.715861086156463e-07,7.715861086156463e-07,7.715861086156463e-07,7.715861086156463e-07,7.715861086156463e-07,7.715861086156463e-07,7.715861086156463e-07,7.715861086156463e-07,7.715861086156463e-07,7.715861086156463e-07,7.715861086156463e-07,7.715861086156463e-07,7.715861086156463e-07,7.715861086156463e-07,7.715861086156463e-07,7.715861086156463e-07,7.715861086156463e-07
4,5,5.536040886945206e-07,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,9.868951217305113e-08,6.420052630583897e-07,6.420052630583897e-07,6.420052630583897e-07,6.420052630583897e-07,6.420052630583897e-07,6.420052630583897e-07,6.420052630583897e-07,6.420052630583897e-07,6.420052630583897e-07,6.420052630583897e-07,6.420052630583897e-07,6.420052630583897e-07,6.420052630583897e-07,6.420052630583897e-07,6.420052630583897e-07,6.420052630583897e-07,6.420052630583897e-07,6.420052630583897e-07,6.420052630583897e-07,6.420052630583897e-07,7.715875682053935e-07,7.715875682053935e-07,7.715875682053935e-07,7.715875682053935e-07,7.715875682053935e-07,7.715875682053935e-07,7.715875682053935e-07,7.715875682053935e-07,7.715875682053935e-07,7.715875682053935e-07,7.715875682053935e-07,7.715875682053935e-07,7.715875682053935e-07,7.715875682053935e-07,7.715875682053935e-07,7.715875682053935e-07,7.715875682053935e-07,7.715875682053935e-07,7.715875682053935e-07,7.715875682053935e-07
5,6,5.536051359352257e-07,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,9.868969886183544e-08,6.420064775256562e-07,6.420064775256562e-07,6.420064775256562e-07,6.420064775256562e-07,6.420064775256562e-07,6.420064775256562e-07,6.420064775256562e-07,6.420064775256562e-07,6.420064775256562e-07,6.420064775256562e-07,6.420064775256562e-07,6.420064775256562e-07,6.420064775256562e-07,6.420064775256562e-07,6.420064775256562e-07,6.420064775256562e-07,6.420064775256562e-07,6.420064775256562e-07,6.420064775256562e-07,6.420064775256562e-07,7.715890278006628e-07,7.715890278006628e-07,7.715890278006628e-07,7.715890278006628e-07,7.715890278006628e-07,7.715890278006628e-07,7.715890278006628e-07,7.715890278006628e-07,7.715890278006628e-07,7.715890278006628e-07,7.715890278006628e-07,7.715890278006628e-07,7.715890278006628e-07,7.715890278006628e-07,7.715890278006628e-07,7.715890278006628e-07,7.715890278006628e-07,7.715890278006628e-07,7.715890278006628e-07,7.715890278006628e-07
6,7,5.536061831798928e-07,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,9.868988555132607e-08,6.420076919975176e-07,6.420076919975176e-07,6.420076919975176e-07,6.420076919975176e-07,6.420076919975176e-07,6.420076919975176e-07,6.420076919975176e-07,6.420076919975176e-07,6.420076919975176e-07,6.420076919975176e-07,6.420076919975176e-07,6.420076919975176e-07,6.420076919975176e-07,6.420076919975176e-07,6.420076919975176e-07,6.420076919975176e-07,6.420076919975176e-07,6.420076919975176e-07,6.420076919975176e-07,6.420076919975176e-07,7.715904874014543e-07,7.715904874014543e-07,7.715904874014543e-07,7.715904874014543e-07,7.715904874014543e-07,7.715904874014543e-07,7.715904874014543e-07,7.715904874014543e-07,7.715904874014543e-07,7.715904874014543e-07,7.715904874014543e-07,7.715904874014543e-07,7.715904874014543e-07,7.715904874014543e-07,7.715904874014543e-07,7.715904874014543e-07,7.715904874014543e-07,7.715904874014543e-07,7.715904874014543e-07,7.715904874014543e-07
7,8,5.536072304285222e-07,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,9.869007224152302e-08,6.420089064739737e-07,6.420089064739737e-07,6.420089064739737e-07,6.420089064739737e-07,6.420089064739737e-07,6.420089064739737e-07,6.420089064739737e-07,6.420089064739737e-07,6.420089064739737e-07,6.420089064739737e-07,6.420089064739737e-07,6.420089064739737e-07,6.420089064739737e-07,6.420089064739737e-07,6.420089064739737e-07,6.420089064739737e-07,6.420089064739737e-07,6.420089064739737e-07,6.420089064739737e-07,6.420089064739737e-07,7.71591947007768e-07,7.71591947007768e-07,7.71591947007768e-07,7.71591947007768e-07,7.71591947007768e-07,7.71591947007768e-07,7.71591947007768e-07,7.71591947007768e-07,7.71591947007768e-07,7.71591947007768e-07,7.71591947007768e-07,7.71591947007768e-07,7.71591947007768e-07,7.71591947007768e-07,7.71591947007768e-07,7.71591947007768e-07,7.71591947007768e-07,7.71591947007768e-07,7.71591947007768e-07,7.71591947007768e-07
8,9,5.536082776811136e-07,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,9.869025893242628e-08,6.420101209550246e-07,6.420101209550246e-07,6.420101209550246e-07,6.420101209550246e-07,6.420101209550246e-07,6.420101209550246e-07,6.420101209550246e-07,6.420101209550246e-07,6.420101209550246e-07,6.420101209550246e-07,6.420101209550246e-07,6.420101209550246e-07,6.420101209550246e-07,6.420101209550246e-07,6.420101209550246e-07,6.420101209550246e-07,6.420101209550246e-07,6.420101209550246e-07,6.420101209550246e-07,6.420101209550246e-07,7.71593406619604e-07,7.71593406619604e-07,7.71593406619604e-07,7.71593406619604e-07,7.71593406619604e-07,7.71593406619604e-07,7.71593406619604e-07,7.71593406619604e-07,7.71593406619604e-07,7.71593406619604e-07,7.71593406619604e-07,7.71593406619604e-07,7.71593406619604e-07,7.71593406619604e-07,7.71593406619604e-07,7.71593406619604e-07,7.71593406619604e-07,7.71593406619604e-07,7.71593406619604e-07,7.71593406619604e-07
9,10,5.536093249376672e-07,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,9.869044562403587e-08,6.420113354406704e-07,6.420113354406704e-07,6.420113354406704e-07,6.420113354406704e-07,6.420113354406704e-07,6.420113354406704e-07,6.420113354406704e-07,6.420113354406704e-07,6.420113354406704e-07,6.420113354406704e-07,6.420113354406704e-07,6.420113354406704e-07,6.420113354406704e-07,6.420113354406704e-07,6.420113354406704e-07,6.420113354406704e-07,6.420113354406704e-07,6.420113354406704e-07,6.420113354406704e-07,6.420113354406704e-07,7.715948662369623e-07,7.715948662369623e-07,7.715948662369623e-07,7.715948662369623e-07,7.715948662369623e-07,7.715948662369623e-07,7.715948662369623e-07,7.715948662369623e-07,7.715948662369623e-07,7.715948662369623e-07,7.715948662369623e-07,7.715948662369623e-07,7.715948662369623e-07,7.715948662369623e-07,7.715948662369623e-07,7.715948662369623e-07,7.715948662369623e-07,7.715948662369623e-07,7.715948662369623e-07,7.715948662369623e-07
