,Time-steps,AgeIndependent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,1.338062793107358e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06
1,2,1.338062793107358e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.7929747879926004e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.2496621204193773e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06,1.1200805506508174e-06
2,3,1.3380653242770138e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.7929781797044097e-06,1.2496644843643696e-06,1.2496644843643696e-06,1.2496644843643696e-06,1.2496644843643696e-06,1.2496644843643696e-06,1.2496644843643696e-06,1.2496644843643696e-06,1.2496644843643696e-06,1.2496644843643696e-06,1.2496644843643696e-06,1.2496644843643696e-06,1.2496644843643696e-06,1.2496644843643696e-06,1.2496644843643696e-06,1.2496644843643696e-06,1.2496644843643696e-06,1.2496644843643696e-06,1.2496644843643696e-06,1.2496644843643696e-06,1.2496644843643696e-06,1.120082669470589e-06,1.120082669470589e-06,1.120082669470589e-06,1.120082669470589e-06,1.120082669470589e-06,1.120082669470589e-06,1.120082669470589e-06,1.120082669470589e-06,1.120082669470589e-06,1.120082669470589e-06,1.120082669470589e-06,1.120082669470589e-06,1.120082669470589e-06,1.120082669470589e-06,1.120082669470589e-06,1.120082669470589e-06,1.120082669470589e-06,1.120082669470589e-06,1.120082669470589e-06,1.120082669470589e-06
3,4,1.338067855456246e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.792981571429051e-06,1.2496668483183058e-06,1.2496668483183058e-06,1.2496668483183058e-06,1.2496668483183058e-06,1.2496668483183058e-06,1.2496668483183058e-06,1.2496668483183058e-06,1.2496668483183058e-06,1.2496668483183058e-06,1.2496668483183058e-06,1.2496668483183058e-06,1.2496668483183058e-06,1.2496668483183058e-06,1.2496668483183058e-06,1.2496668483183058e-06,1.2496668483183058e-06,1.2496668483183058e-06,1.2496668483183058e-06,1.2496668483183058e-06,1.2496668483183058e-06,1.120084788298377e-06,1.120084788298377e-06,1.120084788298377e-06,1.120084788298377e-06,1.120084788298377e-06,1.120084788298377e-06,1.120084788298377e-06,1.120084788298377e-06,1.120084788298377e-06,1.120084788298377e-06,1.120084788298377e-06,1.120084788298377e-06,1.120084788298377e-06,1.120084788298377e-06,1.120084788298377e-06,1.120084788298377e-06,1.120084788298377e-06,1.120084788298377e-06,1.120084788298377e-06,1.120084788298377e-06
4,5,1.3380703866450544e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.7929849631665244e-06,1.2496692122811853e-06,1.2496692122811853e-06,1.2496692122811853e-06,1.2496692122811853e-06,1.2496692122811853e-06,1.2496692122811853e-06,1.2496692122811853e-06,1.2496692122811853e-06,1.2496692122811853e-06,1.2496692122811853e-06,1.2496692122811853e-06,1.2496692122811853e-06,1.2496692122811853e-06,1.2496692122811853e-06,1.2496692122811853e-06,1.2496692122811853e-06,1.2496692122811853e-06,1.2496692122811853e-06,1.2496692122811853e-06,1.2496692122811853e-06,1.1200869071341814e-06,1.1200869071341814e-06,1.1200869071341814e-06,1.1200869071341814e-06,1.1200869071341814e-06,1.1200869071341814e-06,1.1200869071341814e-06,1.1200869071341814e-06,1.1200869071341814e-06,1.1200869071341814e-06,1.1200869071341814e-06,1.1200869071341814e-06,1.1200869071341814e-06,1.1200869071341814e-06,1.1200869071341814e-06,1.1200869071341814e-06,1.1200869071341814e-06,1.1200869071341814e-06,1.1200869071341814e-06,1.1200869071341814e-06
5,6,1.3380729178434393e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.79298835491683e-06,1.2496715762530086e-06,1.2496715762530086e-06,1.2496715762530086e-06,1.2496715762530086e-06,1.2496715762530086e-06,1.2496715762530086e-06,1.2496715762530086e-06,1.2496715762530086e-06,1.2496715762530086e-06,1.2496715762530086e-06,1.2496715762530086e-06,1.2496715762530086e-06,1.2496715762530086e-06,1.2496715762530086e-06,1.2496715762530086e-06,1.2496715762530086e-06,1.2496715762530086e-06,1.2496715762530086e-06,1.2496715762530086e-06,1.2496715762530086e-06,1.1200890259780018e-06,1.1200890259780018e-06,1.1200890259780018e-06,1.1200890259780018e-06,1.1200890259780018e-06,1.1200890259780018e-06,1.1200890259780018e-06,1.1200890259780018e-06,1.1200890259780018e-06,1.1200890259780018e-06,1.1200890259780018e-06,1.1200890259780018e-06,1.1200890259780018e-06,1.1200890259780018e-06,1.1200890259780018e-06,1.1200890259780018e-06,1.1200890259780018e-06,1.1200890259780018e-06,1.1200890259780018e-06,1.1200890259780018e-06
6,7,1.3380754490514004e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.7929917466799677e-06,1.2496739402337758e-06,1.2496739402337758e-06,1.2496739402337758e-06,1.2496739402337758e-06,1.2496739402337758e-06,1.2496739402337758e-06,1.2496739402337758e-06,1.2496739402337758e-06,1.2496739402337758e-06,1.2496739402337758e-06,1.2496739402337758e-06,1.2496739402337758e-06,1.2496739402337758e-06,1.2496739402337758e-06,1.2496739402337758e-06,1.2496739402337758e-06,1.2496739402337758e-06,1.2496739402337758e-06,1.2496739402337758e-06,1.2496739402337758e-06,1.1200911448298387e-06,1.1200911448298387e-06,1.1200911448298387e-06,1.1200911448298387e-06,1.1200911448298387e-06,1.1200911448298387e-06,1.1200911448298387e-06,1.1200911448298387e-06,1.1200911448298387e-06,1.1200911448298387e-06,1.1200911448298387e-06,1.1200911448298387e-06,1.1200911448298387e-06,1.1200911448298387e-06,1.1200911448298387e-06,1.1200911448298387e-06,1.1200911448298387e-06,1.1200911448298387e-06,1.1200911448298387e-06,1.1200911448298387e-06
7,8,1.3380779802689382e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.792995138455938e-06,1.2496763042234866e-06,1.2496763042234866e-06,1.2496763042234866e-06,1.2496763042234866e-06,1.2496763042234866e-06,1.2496763042234866e-06,1.2496763042234866e-06,1.2496763042234866e-06,1.2496763042234866e-06,1.2496763042234866e-06,1.2496763042234866e-06,1.2496763042234866e-06,1.2496763042234866e-06,1.2496763042234866e-06,1.2496763042234866e-06,1.2496763042234866e-06,1.2496763042234866e-06,1.2496763042234866e-06,1.2496763042234866e-06,1.2496763042234866e-06,1.120093263689692e-06,1.120093263689692e-06,1.120093263689692e-06,1.120093263689692e-06,1.120093263689692e-06,1.120093263689692e-06,1.120093263689692e-06,1.120093263689692e-06,1.120093263689692e-06,1.120093263689692e-06,1.120093263689692e-06,1.120093263689692e-06,1.120093263689692e-06,1.120093263689692e-06,1.120093263689692e-06,1.120093263689692e-06,1.120093263689692e-06,1.120093263689692e-06,1.120093263689692e-06,1.120093263689692e-06
8,9,1.3380805114960526e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.7929985302447404e-06,1.2496786682221416e-06,1.2496786682221416e-06,1.2496786682221416e-06,1.2496786682221416e-06,1.2496786682221416e-06,1.2496786682221416e-06,1.2496786682221416e-06,1.2496786682221416e-06,1.2496786682221416e-06,1.2496786682221416e-06,1.2496786682221416e-06,1.2496786682221416e-06,1.2496786682221416e-06,1.2496786682221416e-06,1.2496786682221416e-06,1.2496786682221416e-06,1.2496786682221416e-06,1.2496786682221416e-06,1.2496786682221416e-06,1.2496786682221416e-06,1.1200953825575618e-06,1.1200953825575618e-06,1.1200953825575618e-06,1.1200953825575618e-06,1.1200953825575618e-06,1.1200953825575618e-06,1.1200953825575618e-06,1.1200953825575618e-06,1.1200953825575618e-06,1.1200953825575618e-06,1.1200953825575618e-06,1.1200953825575618e-06,1.1200953825575618e-06,1.1200953825575618e-06,1.1200953825575618e-06,1.1200953825575618e-06,1.1200953825575618e-06,1.1200953825575618e-06,1.1200953825575618e-06,1.1200953825575618e-06
9,10,1.3380830427327435e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.7930019220463755e-06,1.2496810322297402e-06,1.2496810322297402e-06,1.2496810322297402e-06,1.2496810322297402e-06,1.2496810322297402e-06,1.2496810322297402e-06,1.2496810322297402e-06,1.2496810322297402e-06,1.2496810322297402e-06,1.2496810322297402e-06,1.2496810322297402e-06,1.2496810322297402e-06,1.2496810322297402e-06,1.2496810322297402e-06,1.2496810322297402e-06,1.2496810322297402e-06,1.2496810322297402e-06,1.2496810322297402e-06,1.2496810322297402e-06,1.2496810322297402e-06,1.1200975014334482e-06,1.1200975014334482e-06,1.1200975014334482e-06,1.1200975014334482e-06,1.1200975014334482e-06,1.1200975014334482e-06,1.1200975014334482e-06,1.1200975014334482e-06,1.1200975014334482e-06,1.1200975014334482e-06,1.1200975014334482e-06,1.1200975014334482e-06,1.1200975014334482e-06,1.1200975014334482e-06,1.1200975014334482e-06,1.1200975014334482e-06,1.1200975014334482e-06,1.1200975014334482e-06,1.1200975014334482e-06,1.1200975014334482e-06
