,Time-steps,AgeIndependent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,3.837579198549738e-10,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09
1,2,3.837579198549738e-10,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,2.587947357138593e-11,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,6.53857395427502e-10,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09,2.517086577886751e-09
2,3,3.8380314810648026e-10,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,2.5881575701012725e-11,6.539525332527137e-10,6.539525332527137e-10,6.539525332527137e-10,6.539525332527137e-10,6.539525332527137e-10,6.539525332527137e-10,6.539525332527137e-10,6.539525332527137e-10,6.539525332527137e-10,6.539525332527137e-10,6.539525332527137e-10,6.539525332527137e-10,6.539525332527137e-10,6.539525332527137e-10,6.539525332527137e-10,6.539525332527137e-10,6.539525332527137e-10,6.539525332527137e-10,6.539525332527137e-10,6.539525332527137e-10,2.5179329635141753e-09,2.5179329635141753e-09,2.5179329635141753e-09,2.5179329635141753e-09,2.5179329635141753e-09,2.5179329635141753e-09,2.5179329635141753e-09,2.5179329635141753e-09,2.5179329635141753e-09,2.5179329635141753e-09,2.5179329635141753e-09,2.5179329635141753e-09,2.5179329635141753e-09,2.5179329635141753e-09,2.5179329635141753e-09,2.5179329635141753e-09,2.5179329635141753e-09,2.5179329635141753e-09,2.5179329635141753e-09,2.5179329635141753e-09
3,4,3.838483870201034e-10,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,2.588367817216949e-11,6.540476987675197e-10,6.540476987675197e-10,6.540476987675197e-10,6.540476987675197e-10,6.540476987675197e-10,6.540476987675197e-10,6.540476987675197e-10,6.540476987675197e-10,6.540476987675197e-10,6.540476987675197e-10,6.540476987675197e-10,6.540476987675197e-10,6.540476987675197e-10,6.540476987675197e-10,6.540476987675197e-10,6.540476987675197e-10,6.540476987675197e-10,6.540476987675197e-10,6.540476987675197e-10,6.540476987675197e-10,2.518779918537663e-09,2.518779918537663e-09,2.518779918537663e-09,2.518779918537663e-09,2.518779918537663e-09,2.518779918537663e-09,2.518779918537663e-09,2.518779918537663e-09,2.518779918537663e-09,2.518779918537663e-09,2.518779918537663e-09,2.518779918537663e-09,2.518779918537663e-09,2.518779918537663e-09,2.518779918537663e-09,2.518779918537663e-09,2.518779918537663e-09,2.518779918537663e-09,2.518779918537663e-09,2.518779918537663e-09
4,5,3.8389363659961383e-10,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,2.588578098493947e-11,6.541428919840101e-10,6.541428919840101e-10,6.541428919840101e-10,6.541428919840101e-10,6.541428919840101e-10,6.541428919840101e-10,6.541428919840101e-10,6.541428919840101e-10,6.541428919840101e-10,6.541428919840101e-10,6.541428919840101e-10,6.541428919840101e-10,6.541428919840101e-10,6.541428919840101e-10,6.541428919840101e-10,6.541428919840101e-10,6.541428919840101e-10,6.541428919840101e-10,6.541428919840101e-10,6.541428919840101e-10,2.5196274435319898e-09,2.5196274435319898e-09,2.5196274435319898e-09,2.5196274435319898e-09,2.5196274435319898e-09,2.5196274435319898e-09,2.5196274435319898e-09,2.5196274435319898e-09,2.5196274435319898e-09,2.5196274435319898e-09,2.5196274435319898e-09,2.5196274435319898e-09,2.5196274435319898e-09,2.5196274435319898e-09,2.5196274435319898e-09,2.5196274435319898e-09,2.5196274435319898e-09,2.5196274435319898e-09,2.5196274435319898e-09,2.5196274435319898e-09
5,6,3.83938896848784e-10,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,2.5887884139405922e-11,6.54238112914282e-10,6.54238112914282e-10,6.54238112914282e-10,6.54238112914282e-10,6.54238112914282e-10,6.54238112914282e-10,6.54238112914282e-10,6.54238112914282e-10,6.54238112914282e-10,6.54238112914282e-10,6.54238112914282e-10,6.54238112914282e-10,6.54238112914282e-10,6.54238112914282e-10,6.54238112914282e-10,6.54238112914282e-10,6.54238112914282e-10,6.54238112914282e-10,6.54238112914282e-10,6.54238112914282e-10,2.5204755390727044e-09,2.5204755390727044e-09,2.5204755390727044e-09,2.5204755390727044e-09,2.5204755390727044e-09,2.5204755390727044e-09,2.5204755390727044e-09,2.5204755390727044e-09,2.5204755390727044e-09,2.5204755390727044e-09,2.5204755390727044e-09,2.5204755390727044e-09,2.5204755390727044e-09,2.5204755390727044e-09,2.5204755390727044e-09,2.5204755390727044e-09,2.5204755390727044e-09,2.5204755390727044e-09,2.5204755390727044e-09,2.5204755390727044e-09
6,7,3.8398416777138814e-10,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,2.5889987635652143e-11,6.5433336157044e-10,6.5433336157044e-10,6.5433336157044e-10,6.5433336157044e-10,6.5433336157044e-10,6.5433336157044e-10,6.5433336157044e-10,6.5433336157044e-10,6.5433336157044e-10,6.5433336157044e-10,6.5433336157044e-10,6.5433336157044e-10,6.5433336157044e-10,6.5433336157044e-10,6.5433336157044e-10,6.5433336157044e-10,6.5433336157044e-10,6.5433336157044e-10,6.5433336157044e-10,6.5433336157044e-10,2.521324205736131e-09,2.521324205736131e-09,2.521324205736131e-09,2.521324205736131e-09,2.521324205736131e-09,2.521324205736131e-09,2.521324205736131e-09,2.521324205736131e-09,2.521324205736131e-09,2.521324205736131e-09,2.521324205736131e-09,2.521324205736131e-09,2.521324205736131e-09,2.521324205736131e-09,2.521324205736131e-09,2.521324205736131e-09,2.521324205736131e-09,2.521324205736131e-09,2.521324205736131e-09,2.521324205736131e-09
7,8,3.840294493712023e-10,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,2.5892091473761452e-11,6.544286379645951e-10,6.544286379645951e-10,6.544286379645951e-10,6.544286379645951e-10,6.544286379645951e-10,6.544286379645951e-10,6.544286379645951e-10,6.544286379645951e-10,6.544286379645951e-10,6.544286379645951e-10,6.544286379645951e-10,6.544286379645951e-10,6.544286379645951e-10,6.544286379645951e-10,6.544286379645951e-10,6.544286379645951e-10,6.544286379645951e-10,6.544286379645951e-10,6.544286379645951e-10,6.544286379645951e-10,2.52217344409937e-09,2.52217344409937e-09,2.52217344409937e-09,2.52217344409937e-09,2.52217344409937e-09,2.52217344409937e-09,2.52217344409937e-09,2.52217344409937e-09,2.52217344409937e-09,2.52217344409937e-09,2.52217344409937e-09,2.52217344409937e-09,2.52217344409937e-09,2.52217344409937e-09,2.52217344409937e-09,2.52217344409937e-09,2.52217344409937e-09,2.52217344409937e-09,2.52217344409937e-09,2.52217344409937e-09
8,9,3.840747416520043e-10,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,2.58941956538172e-11,6.54523942108866e-10,6.54523942108866e-10,6.54523942108866e-10,6.54523942108866e-10,6.54523942108866e-10,6.54523942108866e-10,6.54523942108866e-10,6.54523942108866e-10,6.54523942108866e-10,6.54523942108866e-10,6.54523942108866e-10,6.54523942108866e-10,6.54523942108866e-10,6.54523942108866e-10,6.54523942108866e-10,6.54523942108866e-10,6.54523942108866e-10,6.54523942108866e-10,6.54523942108866e-10,6.54523942108866e-10,2.523023254740301e-09,2.523023254740301e-09,2.523023254740301e-09,2.523023254740301e-09,2.523023254740301e-09,2.523023254740301e-09,2.523023254740301e-09,2.523023254740301e-09,2.523023254740301e-09,2.523023254740301e-09,2.523023254740301e-09,2.523023254740301e-09,2.523023254740301e-09,2.523023254740301e-09,2.523023254740301e-09,2.523023254740301e-09,2.523023254740301e-09,2.523023254740301e-09,2.523023254740301e-09,2.523023254740301e-09
9,10,3.8412004461757373e-10,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,2.5896300175902754e-11,6.54619274015378e-10,6.54619274015378e-10,6.54619274015378e-10,6.54619274015378e-10,6.54619274015378e-10,6.54619274015378e-10,6.54619274015378e-10,6.54619274015378e-10,6.54619274015378e-10,6.54619274015378e-10,6.54619274015378e-10,6.54619274015378e-10,6.54619274015378e-10,6.54619274015378e-10,6.54619274015378e-10,6.54619274015378e-10,6.54619274015378e-10,6.54619274015378e-10,6.54619274015378e-10,6.54619274015378e-10,2.52387363823758e-09,2.52387363823758e-09,2.52387363823758e-09,2.52387363823758e-09,2.52387363823758e-09,2.52387363823758e-09,2.52387363823758e-09,2.52387363823758e-09,2.52387363823758e-09,2.52387363823758e-09,2.52387363823758e-09,2.52387363823758e-09,2.52387363823758e-09,2.52387363823758e-09,2.52387363823758e-09,2.52387363823758e-09,2.52387363823758e-09,2.52387363823758e-09,2.52387363823758e-09,2.52387363823758e-09
