,Time-steps,AgeIndependent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,0.00011781268491213644,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149
1,2,0.00011781268491213644,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,8.119010033695462e-05,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.00014545263079484758,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149,0.0003361214710845149
2,3,0.00011782656986790718,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,8.119669522053484e-05,0.00014547379450280886,0.00014547379450280886,0.00014547379450280886,0.00014547379450280886,0.00014547379450280886,0.00014547379450280886,0.00014547379450280886,0.00014547379450280886,0.00014547379450280886,0.00014547379450280886,0.00014547379450280886,0.00014547379450280886,0.00014547379450280886,0.00014547379450280886,0.00014547379450280886,0.00014547379450280886,0.00014547379450280886,0.00014547379450280886,0.00014547379450280886,0.00014547379450280886,0.0003362344939676743,0.0003362344939676743,0.0003362344939676743,0.0003362344939676743,0.0003362344939676743,0.0003362344939676743,0.0003362344939676743,0.0003362344939676743,0.0003362344939676743,0.0003362344939676743,0.0003362344939676743,0.0003362344939676743,0.0003362344939676743,0.0003362344939676743,0.0003362344939676743,0.0003362344939676743,0.0003362344939676743,0.0003362344939676743,0.0003362344939676743,0.0003362344939676743
3,4,0.00011784045809692004,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,8.12032911755763e-05,0.00014549496437040734,0.00014549496437040734,0.00014549496437040734,0.00014549496437040734,0.00014549496437040734,0.00014549496437040734,0.00014549496437040734,0.00014549496437040734,0.00014549496437040734,0.00014549496437040734,0.00014549496437040734,0.00014549496437040734,0.00014549496437040734,0.00014549496437040734,0.00014549496437040734,0.00014549496437040734,0.00014549496437040734,0.00014549496437040734,0.00014549496437040734,0.00014549496437040734,0.00033634759288566073,0.00033634759288566073,0.00033634759288566073,0.00033634759288566073,0.00033634759288566073,0.00033634759288566073,0.00033634759288566073,0.00033634759288566073,0.00033634759288566073,0.00033634759288566073,0.00033634759288566073,0.00033634759288566073,0.00033634759288566073,0.00033634759288566073,0.00033634759288566073,0.00033634759288566073,0.00033634759288566073,0.00033634759288566073,0.00033634759288566073,0.00033634759288566073
4,5,0.00011785434960033262,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,8.120988820234013e-05,0.00014551614040033247,0.00014551614040033247,0.00014551614040033247,0.00014551614040033247,0.00014551614040033247,0.00014551614040033247,0.00014551614040033247,0.00014551614040033247,0.00014551614040033247,0.00014551614040033247,0.00014551614040033247,0.00014551614040033247,0.00014551614040033247,0.00014551614040033247,0.00014551614040033247,0.00014551614040033247,0.00014551614040033247,0.00014551614040033247,0.00014551614040033247,0.00014551614040033247,0.00033646076791522735,0.00033646076791522735,0.00033646076791522735,0.00033646076791522735,0.00033646076791522735,0.00033646076791522735,0.00033646076791522735,0.00033646076791522735,0.00033646076791522735,0.00033646076791522735,0.00033646076791522735,0.00033646076791522735,0.00033646076791522735,0.00033646076791522735,0.00033646076791522735,0.00033646076791522735,0.00033646076791522735,0.00033646076791522735,0.00033646076791522735,0.00033646076791522735
5,6,0.00011786824437930304,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,8.121648630108756e-05,0.00014553732259527533,0.00014553732259527533,0.00014553732259527533,0.00014553732259527533,0.00014553732259527533,0.00014553732259527533,0.00014553732259527533,0.00014553732259527533,0.00014553732259527533,0.00014553732259527533,0.00014553732259527533,0.00014553732259527533,0.00014553732259527533,0.00014553732259527533,0.00014553732259527533,0.00014553732259527533,0.00014553732259527533,0.00014553732259527533,0.00014553732259527533,0.00014553732259527533,0.00033657401913323056,0.00033657401913323056,0.00033657401913323056,0.00033657401913323056,0.00033657401913323056,0.00033657401913323056,0.00033657401913323056,0.00033657401913323056,0.00033657401913323056,0.00033657401913323056,0.00033657401913323056,0.00033657401913323056,0.00033657401913323056,0.00033657401913323056,0.00033657401913323056,0.00033657401913323056,0.00033657401913323056,0.00033657401913323056,0.00033657401913323056,0.00033657401913323056
6,7,0.00011788214243498997,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,8.122308547207989e-05,0.00014555851095792861,0.00014555851095792861,0.00014555851095792861,0.00014555851095792861,0.00014555851095792861,0.00014555851095792861,0.00014555851095792861,0.00014555851095792861,0.00014555851095792861,0.00014555851095792861,0.00014555851095792861,0.00014555851095792861,0.00014555851095792861,0.00014555851095792861,0.00014555851095792861,0.00014555851095792861,0.00014555851095792861,0.00014555851095792861,0.00014555851095792861,0.00014555851095792861,0.0003366873466166304,0.0003366873466166304,0.0003366873466166304,0.0003366873466166304,0.0003366873466166304,0.0003366873466166304,0.0003366873466166304,0.0003366873466166304,0.0003366873466166304,0.0003366873466166304,0.0003366873466166304,0.0003366873466166304,0.0003366873466166304,0.0003366873466166304,0.0003366873466166304,0.0003366873466166304,0.0003366873466166304,0.0003366873466166304,0.0003366873466166304,0.0003366873466166304
7,8,0.00011789604376855265,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,8.122968571557852e-05,0.00014557970549098647,0.00014557970549098647,0.00014557970549098647,0.00014557970549098647,0.00014557970549098647,0.00014557970549098647,0.00014557970549098647,0.00014557970549098647,0.00014557970549098647,0.00014557970549098647,0.00014557970549098647,0.00014557970549098647,0.00014557970549098647,0.00014557970549098647,0.00014557970549098647,0.00014557970549098647,0.00014557970549098647,0.00014557970549098647,0.00014557970549098647,0.00014557970549098647,0.00033680075044249043,0.00033680075044249043,0.00033680075044249043,0.00033680075044249043,0.00033680075044249043,0.00033680075044249043,0.00033680075044249043,0.00033680075044249043,0.00033680075044249043,0.00033680075044249043,0.00033680075044249043,0.00033680075044249043,0.00033680075044249043,0.00033680075044249043,0.00033680075044249043,0.00033680075044249043,0.00033680075044249043,0.00033680075044249043,0.00033680075044249043,0.00033680075044249043
8,9,0.00011790994838115086,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,8.123628703184494e-05,0.0001456009061971447,0.0001456009061971447,0.0001456009061971447,0.0001456009061971447,0.0001456009061971447,0.0001456009061971447,0.0001456009061971447,0.0001456009061971447,0.0001456009061971447,0.0001456009061971447,0.0001456009061971447,0.0001456009061971447,0.0001456009061971447,0.0001456009061971447,0.0001456009061971447,0.0001456009061971447,0.0001456009061971447,0.0001456009061971447,0.0001456009061971447,0.0001456009061971447,0.00033691423068797833,0.00033691423068797833,0.00033691423068797833,0.00033691423068797833,0.00033691423068797833,0.00033691423068797833,0.00033691423068797833,0.00033691423068797833,0.00033691423068797833,0.00033691423068797833,0.00033691423068797833,0.00033691423068797833,0.00033691423068797833,0.00033691423068797833,0.00033691423068797833,0.00033691423068797833,0.00033691423068797833,0.00033691423068797833,0.00033691423068797833,0.00033691423068797833
9,10,0.00011792385627394491,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,8.124288942114069e-05,0.00014562211307910067,0.00014562211307910067,0.00014562211307910067,0.00014562211307910067,0.00014562211307910067,0.00014562211307910067,0.00014562211307910067,0.00014562211307910067,0.00014562211307910067,0.00014562211307910067,0.00014562211307910067,0.00014562211307910067,0.00014562211307910067,0.00014562211307910067,0.00014562211307910067,0.00014562211307910067,0.00014562211307910067,0.00014562211307910067,0.00014562211307910067,0.00014562211307910067,0.0003370277874303656,0.0003370277874303656,0.0003370277874303656,0.0003370277874303656,0.0003370277874303656,0.0003370277874303656,0.0003370277874303656,0.0003370277874303656,0.0003370277874303656,0.0003370277874303656,0.0003370277874303656,0.0003370277874303656,0.0003370277874303656,0.0003370277874303656,0.0003370277874303656,0.0003370277874303656,0.0003370277874303656,0.0003370277874303656,0.0003370277874303656,0.0003370277874303656
