,Time-steps,AgeIndependent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,2.924640635573005e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08
1,2,2.924640635573005e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,3.095750270405601e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,2.7955000764987435e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08,1.9046488158799213e-08
2,3,2.9249853226149866e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,3.096001731021391e-08,2.7959068284901065e-08,2.7959068284901065e-08,2.7959068284901065e-08,2.7959068284901065e-08,2.7959068284901065e-08,2.7959068284901065e-08,2.7959068284901065e-08,2.7959068284901065e-08,2.7959068284901065e-08,2.7959068284901065e-08,2.7959068284901065e-08,2.7959068284901065e-08,2.7959068284901065e-08,2.7959068284901065e-08,2.7959068284901065e-08,2.7959068284901065e-08,2.7959068284901065e-08,2.7959068284901065e-08,2.7959068284901065e-08,2.7959068284901065e-08,1.9052892655955623e-08,1.9052892655955623e-08,1.9052892655955623e-08,1.9052892655955623e-08,1.9052892655955623e-08,1.9052892655955623e-08,1.9052892655955623e-08,1.9052892655955623e-08,1.9052892655955623e-08,1.9052892655955623e-08,1.9052892655955623e-08,1.9052892655955623e-08,1.9052892655955623e-08,1.9052892655955623e-08,1.9052892655955623e-08,1.9052892655955623e-08,1.9052892655955623e-08,1.9052892655955623e-08,1.9052892655955623e-08,1.9052892655955623e-08
3,4,2.925330090913557e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,3.096253232491624e-08,2.796313698865483e-08,2.796313698865483e-08,2.796313698865483e-08,2.796313698865483e-08,2.796313698865483e-08,2.796313698865483e-08,2.796313698865483e-08,2.796313698865483e-08,2.796313698865483e-08,2.796313698865483e-08,2.796313698865483e-08,2.796313698865483e-08,2.796313698865483e-08,2.796313698865483e-08,2.796313698865483e-08,2.796313698865483e-08,2.796313698865483e-08,2.796313698865483e-08,2.796313698865483e-08,2.796313698865483e-08,1.905930146166283e-08,1.905930146166283e-08,1.905930146166283e-08,1.905930146166283e-08,1.905930146166283e-08,1.905930146166283e-08,1.905930146166283e-08,1.905930146166283e-08,1.905930146166283e-08,1.905930146166283e-08,1.905930146166283e-08,1.905930146166283e-08,1.905930146166283e-08,1.905930146166283e-08,1.905930146166283e-08,1.905930146166283e-08,1.905930146166283e-08,1.905930146166283e-08,1.905930146166283e-08,1.905930146166283e-08
4,5,2.925674940497453e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,3.09650477482626e-08,2.7967206876765628e-08,2.7967206876765628e-08,2.7967206876765628e-08,2.7967206876765628e-08,2.7967206876765628e-08,2.7967206876765628e-08,2.7967206876765628e-08,2.7967206876765628e-08,2.7967206876765628e-08,2.7967206876765628e-08,2.7967206876765628e-08,2.7967206876765628e-08,2.7967206876765628e-08,2.7967206876765628e-08,2.7967206876765628e-08,2.7967206876765628e-08,2.7967206876765628e-08,2.7967206876765628e-08,2.7967206876765628e-08,2.7967206876765628e-08,1.906571458027009e-08,1.906571458027009e-08,1.906571458027009e-08,1.906571458027009e-08,1.906571458027009e-08,1.906571458027009e-08,1.906571458027009e-08,1.906571458027009e-08,1.906571458027009e-08,1.906571458027009e-08,1.906571458027009e-08,1.906571458027009e-08,1.906571458027009e-08,1.906571458027009e-08,1.906571458027009e-08,1.906571458027009e-08,1.906571458027009e-08,1.906571458027009e-08,1.906571458027009e-08,1.906571458027009e-08
5,6,2.9260198713954243e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,3.096756358035256e-08,2.7971277949750666e-08,2.7971277949750666e-08,2.7971277949750666e-08,2.7971277949750666e-08,2.7971277949750666e-08,2.7971277949750666e-08,2.7971277949750666e-08,2.7971277949750666e-08,2.7971277949750666e-08,2.7971277949750666e-08,2.7971277949750666e-08,2.7971277949750666e-08,2.7971277949750666e-08,2.7971277949750666e-08,2.7971277949750666e-08,2.7971277949750666e-08,2.7971277949750666e-08,2.7971277949750666e-08,2.7971277949750666e-08,2.7971277949750666e-08,1.9072132016132513e-08,1.9072132016132513e-08,1.9072132016132513e-08,1.9072132016132513e-08,1.9072132016132513e-08,1.9072132016132513e-08,1.9072132016132513e-08,1.9072132016132513e-08,1.9072132016132513e-08,1.9072132016132513e-08,1.9072132016132513e-08,1.9072132016132513e-08,1.9072132016132513e-08,1.9072132016132513e-08,1.9072132016132513e-08,1.9072132016132513e-08,1.9072132016132513e-08,1.9072132016132513e-08,1.9072132016132513e-08,1.9072132016132513e-08
6,7,2.926364883636235e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,3.0970079821285774e-08,2.7975350208127463e-08,2.7975350208127463e-08,2.7975350208127463e-08,2.7975350208127463e-08,2.7975350208127463e-08,2.7975350208127463e-08,2.7975350208127463e-08,2.7975350208127463e-08,2.7975350208127463e-08,2.7975350208127463e-08,2.7975350208127463e-08,2.7975350208127463e-08,2.7975350208127463e-08,2.7975350208127463e-08,2.7975350208127463e-08,2.7975350208127463e-08,2.7975350208127463e-08,2.7975350208127463e-08,2.7975350208127463e-08,2.7975350208127463e-08,1.907855377361107e-08,1.907855377361107e-08,1.907855377361107e-08,1.907855377361107e-08,1.907855377361107e-08,1.907855377361107e-08,1.907855377361107e-08,1.907855377361107e-08,1.907855377361107e-08,1.907855377361107e-08,1.907855377361107e-08,1.907855377361107e-08,1.907855377361107e-08,1.907855377361107e-08,1.907855377361107e-08,1.907855377361107e-08,1.907855377361107e-08,1.907855377361107e-08,1.907855377361107e-08,1.907855377361107e-08
7,8,2.926709977248662e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,3.0972596471161904e-08,2.7979423652413814e-08,2.7979423652413814e-08,2.7979423652413814e-08,2.7979423652413814e-08,2.7979423652413814e-08,2.7979423652413814e-08,2.7979423652413814e-08,2.7979423652413814e-08,2.7979423652413814e-08,2.7979423652413814e-08,2.7979423652413814e-08,2.7979423652413814e-08,2.7979423652413814e-08,2.7979423652413814e-08,2.7979423652413814e-08,2.7979423652413814e-08,2.7979423652413814e-08,2.7979423652413814e-08,2.7979423652413814e-08,2.7979423652413814e-08,1.9084979857072615e-08,1.9084979857072615e-08,1.9084979857072615e-08,1.9084979857072615e-08,1.9084979857072615e-08,1.9084979857072615e-08,1.9084979857072615e-08,1.9084979857072615e-08,1.9084979857072615e-08,1.9084979857072615e-08,1.9084979857072615e-08,1.9084979857072615e-08,1.9084979857072615e-08,1.9084979857072615e-08,1.9084979857072615e-08,1.9084979857072615e-08,1.9084979857072615e-08,1.9084979857072615e-08,1.9084979857072615e-08,1.9084979857072615e-08
8,9,2.9270551522614968e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,3.097511353008066e-08,2.7983498283127836e-08,2.7983498283127836e-08,2.7983498283127836e-08,2.7983498283127836e-08,2.7983498283127836e-08,2.7983498283127836e-08,2.7983498283127836e-08,2.7983498283127836e-08,2.7983498283127836e-08,2.7983498283127836e-08,2.7983498283127836e-08,2.7983498283127836e-08,2.7983498283127836e-08,2.7983498283127836e-08,2.7983498283127836e-08,2.7983498283127836e-08,2.7983498283127836e-08,2.7983498283127836e-08,2.7983498283127836e-08,2.7983498283127836e-08,1.9091410270889885e-08,1.9091410270889885e-08,1.9091410270889885e-08,1.9091410270889885e-08,1.9091410270889885e-08,1.9091410270889885e-08,1.9091410270889885e-08,1.9091410270889885e-08,1.9091410270889885e-08,1.9091410270889885e-08,1.9091410270889885e-08,1.9091410270889885e-08,1.9091410270889885e-08,1.9091410270889885e-08,1.9091410270889885e-08,1.9091410270889885e-08,1.9091410270889885e-08,1.9091410270889885e-08,1.9091410270889885e-08,1.9091410270889885e-08
9,10,2.9274004087035434e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,3.0977630998141775e-08,2.798757410078794e-08,2.798757410078794e-08,2.798757410078794e-08,2.798757410078794e-08,2.798757410078794e-08,2.798757410078794e-08,2.798757410078794e-08,2.798757410078794e-08,2.798757410078794e-08,2.798757410078794e-08,2.798757410078794e-08,2.798757410078794e-08,2.798757410078794e-08,2.798757410078794e-08,2.798757410078794e-08,2.798757410078794e-08,2.798757410078794e-08,2.798757410078794e-08,2.798757410078794e-08,2.798757410078794e-08,1.909784501944151e-08,1.909784501944151e-08,1.909784501944151e-08,1.909784501944151e-08,1.909784501944151e-08,1.909784501944151e-08,1.909784501944151e-08,1.909784501944151e-08,1.909784501944151e-08,1.909784501944151e-08,1.909784501944151e-08,1.909784501944151e-08,1.909784501944151e-08,1.909784501944151e-08,1.909784501944151e-08,1.909784501944151e-08,1.909784501944151e-08,1.909784501944151e-08,1.909784501944151e-08,1.909784501944151e-08
