,Time-steps,AgeIndependent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,6.937185481931489e-08,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07
1,2,6.937185481931489e-08,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,6.788446011747012e-09,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,9.573692367384206e-08,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07,1.5948502355719133e-07
2,3,6.979086085771354e-08,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,6.810894081349772e-09,9.64258371192888e-08,9.64258371192888e-08,9.64258371192888e-08,9.64258371192888e-08,9.64258371192888e-08,9.64258371192888e-08,9.64258371192888e-08,9.64258371192888e-08,9.64258371192888e-08,9.64258371192888e-08,9.64258371192888e-08,9.64258371192888e-08,9.64258371192888e-08,9.64258371192888e-08,9.64258371192888e-08,9.64258371192888e-08,9.64258371192888e-08,9.64258371192888e-08,9.64258371192888e-08,9.64258371192888e-08,1.6108015442030046e-07,1.6108015442030046e-07,1.6108015442030046e-07,1.6108015442030046e-07,1.6108015442030046e-07,1.6108015442030046e-07,1.6108015442030046e-07,1.6108015442030046e-07,1.6108015442030046e-07,1.6108015442030046e-07,1.6108015442030046e-07,1.6108015442030046e-07,1.6108015442030046e-07,1.6108015442030046e-07,1.6108015442030046e-07,1.6108015442030046e-07,1.6108015442030046e-07,1.6108015442030046e-07,1.6108015442030046e-07,1.6108015442030046e-07
3,4,7.021495924728604e-08,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,6.833491106312316e-09,9.71247371332955e-08,9.71247371332955e-08,9.71247371332955e-08,9.71247371332955e-08,9.71247371332955e-08,9.71247371332955e-08,9.71247371332955e-08,9.71247371332955e-08,9.71247371332955e-08,9.71247371332955e-08,9.71247371332955e-08,9.71247371332955e-08,9.71247371332955e-08,9.71247371332955e-08,9.71247371332955e-08,9.71247371332955e-08,9.71247371332955e-08,9.71247371332955e-08,9.71247371332955e-08,9.71247371332955e-08,1.6270751587685705e-07,1.6270751587685705e-07,1.6270751587685705e-07,1.6270751587685705e-07,1.6270751587685705e-07,1.6270751587685705e-07,1.6270751587685705e-07,1.6270751587685705e-07,1.6270751587685705e-07,1.6270751587685705e-07,1.6270751587685705e-07,1.6270751587685705e-07,1.6270751587685705e-07,1.6270751587685705e-07,1.6270751587685705e-07,1.6270751587685705e-07,1.6270751587685705e-07,1.6270751587685705e-07,1.6270751587685705e-07,1.6270751587685705e-07
4,5,7.064424338973609e-08,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,6.856238574171782e-09,9.783384245093667e-08,9.783384245093667e-08,9.783384245093667e-08,9.783384245093667e-08,9.783384245093667e-08,9.783384245093667e-08,9.783384245093667e-08,9.783384245093667e-08,9.783384245093667e-08,9.783384245093667e-08,9.783384245093667e-08,9.783384245093667e-08,9.783384245093667e-08,9.783384245093667e-08,9.783384245093667e-08,9.783384245093667e-08,9.783384245093667e-08,9.783384245093667e-08,9.783384245093667e-08,9.783384245093667e-08,1.6436809475483423e-07,1.6436809475483423e-07,1.6436809475483423e-07,1.6436809475483423e-07,1.6436809475483423e-07,1.6436809475483423e-07,1.6436809475483423e-07,1.6436809475483423e-07,1.6436809475483423e-07,1.6436809475483423e-07,1.6436809475483423e-07,1.6436809475483423e-07,1.6436809475483423e-07,1.6436809475483423e-07,1.6436809475483423e-07,1.6436809475483423e-07,1.6436809475483423e-07,1.6436809475483423e-07,1.6436809475483423e-07,1.6436809475483423e-07
5,6,7.107880898499668e-08,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,6.879137992338434e-09,9.855337824218545e-08,9.855337824218545e-08,9.855337824218545e-08,9.855337824218545e-08,9.855337824218545e-08,9.855337824218545e-08,9.855337824218545e-08,9.855337824218545e-08,9.855337824218545e-08,9.855337824218545e-08,9.855337824218545e-08,9.855337824218545e-08,9.855337824218545e-08,9.855337824218545e-08,9.855337824218545e-08,9.855337824218545e-08,9.855337824218545e-08,9.855337824218545e-08,9.855337824218545e-08,9.855337824218545e-08,1.6606291858352422e-07,1.6606291858352422e-07,1.6606291858352422e-07,1.6606291858352422e-07,1.6606291858352422e-07,1.6606291858352422e-07,1.6606291858352422e-07,1.6606291858352422e-07,1.6606291858352422e-07,1.6606291858352422e-07,1.6606291858352422e-07,1.6606291858352422e-07,1.6606291858352422e-07,1.6606291858352422e-07,1.6606291858352422e-07,1.6606291858352422e-07,1.6606291858352422e-07,1.6606291858352422e-07,1.6606291858352422e-07,1.6606291858352422e-07
6,7,7.151875410235499e-08,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,6.9021908884286606e-09,9.928357635029971e-08,9.928357635029971e-08,9.928357635029971e-08,9.928357635029971e-08,9.928357635029971e-08,9.928357635029971e-08,9.928357635029971e-08,9.928357635029971e-08,9.928357635029971e-08,9.928357635029971e-08,9.928357635029971e-08,9.928357635029971e-08,9.928357635029971e-08,9.928357635029971e-08,9.928357635029971e-08,9.928357635029971e-08,9.928357635029971e-08,9.928357635029971e-08,9.928357635029971e-08,9.928357635029971e-08,1.6779305771378698e-07,1.6779305771378698e-07,1.6779305771378698e-07,1.6779305771378698e-07,1.6779305771378698e-07,1.6779305771378698e-07,1.6779305771378698e-07,1.6779305771378698e-07,1.6779305771378698e-07,1.6779305771378698e-07,1.6779305771378698e-07,1.6779305771378698e-07,1.6779305771378698e-07,1.6779305771378698e-07,1.6779305771378698e-07,1.6779305771378698e-07,1.6779305771378698e-07,1.6779305771378698e-07,1.6779305771378698e-07,1.6779305771378698e-07
7,8,7.196417925423508e-08,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,6.925398810604674e-09,1.0002467554088466e-07,1.0002467554088466e-07,1.0002467554088466e-07,1.0002467554088466e-07,1.0002467554088466e-07,1.0002467554088466e-07,1.0002467554088466e-07,1.0002467554088466e-07,1.0002467554088466e-07,1.0002467554088466e-07,1.0002467554088466e-07,1.0002467554088466e-07,1.0002467554088466e-07,1.0002467554088466e-07,1.0002467554088466e-07,1.0002467554088466e-07,1.0002467554088466e-07,1.0002467554088466e-07,1.0002467554088466e-07,1.0002467554088466e-07,1.6955962757223467e-07,1.6955962757223467e-07,1.6955962757223467e-07,1.6955962757223467e-07,1.6955962757223467e-07,1.6955962757223467e-07,1.6955962757223467e-07,1.6955962757223467e-07,1.6955962757223467e-07,1.6955962757223467e-07,1.6955962757223467e-07,1.6955962757223467e-07,1.6955962757223467e-07,1.6955962757223467e-07,1.6955962757223467e-07,1.6955962757223467e-07,1.6955962757223467e-07,1.6955962757223467e-07,1.6955962757223467e-07,1.6955962757223467e-07
8,9,7.241518747275514e-08,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,6.948763327921093e-09,1.0077692176219415e-07,1.0077692176219415e-07,1.0077692176219415e-07,1.0077692176219415e-07,1.0077692176219415e-07,1.0077692176219415e-07,1.0077692176219415e-07,1.0077692176219415e-07,1.0077692176219415e-07,1.0077692176219415e-07,1.0077692176219415e-07,1.0077692176219415e-07,1.0077692176219415e-07,1.0077692176219415e-07,1.0077692176219415e-07,1.0077692176219415e-07,1.0077692176219415e-07,1.0077692176219415e-07,1.0077692176219415e-07,1.0077692176219415e-07,1.7136379105932665e-07,1.7136379105932665e-07,1.7136379105932665e-07,1.7136379105932665e-07,1.7136379105932665e-07,1.7136379105932665e-07,1.7136379105932665e-07,1.7136379105932665e-07,1.7136379105932665e-07,1.7136379105932665e-07,1.7136379105932665e-07,1.7136379105932665e-07,1.7136379105932665e-07,1.7136379105932665e-07,1.7136379105932665e-07,1.7136379105932665e-07,1.7136379105932665e-07,1.7136379105932665e-07,1.7136379105932665e-07,1.7136379105932665e-07
9,10,7.287188438918154e-08,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,6.9722860306785685e-09,1.0154056841726662e-07,1.0154056841726662e-07,1.0154056841726662e-07,1.0154056841726662e-07,1.0154056841726662e-07,1.0154056841726662e-07,1.0154056841726662e-07,1.0154056841726662e-07,1.0154056841726662e-07,1.0154056841726662e-07,1.0154056841726662e-07,1.0154056841726662e-07,1.0154056841726662e-07,1.0154056841726662e-07,1.0154056841726662e-07,1.0154056841726662e-07,1.0154056841726662e-07,1.0154056841726662e-07,1.0154056841726662e-07,1.0154056841726662e-07,1.732067611022099e-07,1.732067611022099e-07,1.732067611022099e-07,1.732067611022099e-07,1.732067611022099e-07,1.732067611022099e-07,1.732067611022099e-07,1.732067611022099e-07,1.732067611022099e-07,1.732067611022099e-07,1.732067611022099e-07,1.732067611022099e-07,1.732067611022099e-07,1.732067611022099e-07,1.732067611022099e-07,1.732067611022099e-07,1.732067611022099e-07,1.732067611022099e-07,1.732067611022099e-07,1.732067611022099e-07
