,Time-steps,AgeIndependent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,4.1396840331750286e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07
1,2,4.1396840331750286e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,5.453766311199018e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,3.586088912667197e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07,2.2475512728912952e-07
2,3,4.1646877268412947e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,5.471800854824927e-07,3.611894054233271e-07,3.611894054233271e-07,3.611894054233271e-07,3.611894054233271e-07,3.611894054233271e-07,3.611894054233271e-07,3.611894054233271e-07,3.611894054233271e-07,3.611894054233271e-07,3.611894054233271e-07,3.611894054233271e-07,3.611894054233271e-07,3.611894054233271e-07,3.611894054233271e-07,3.611894054233271e-07,3.611894054233271e-07,3.611894054233271e-07,3.611894054233271e-07,3.611894054233271e-07,3.611894054233271e-07,2.2700307403788708e-07,2.2700307403788708e-07,2.2700307403788708e-07,2.2700307403788708e-07,2.2700307403788708e-07,2.2700307403788708e-07,2.2700307403788708e-07,2.2700307403788708e-07,2.2700307403788708e-07,2.2700307403788708e-07,2.2700307403788708e-07,2.2700307403788708e-07,2.2700307403788708e-07,2.2700307403788708e-07,2.2700307403788708e-07,2.2700307403788708e-07,2.2700307403788708e-07,2.2700307403788708e-07,2.2700307403788708e-07,2.2700307403788708e-07
3,4,4.189995300588331e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,5.489955067624262e-07,3.6380732701001915e-07,3.6380732701001915e-07,3.6380732701001915e-07,3.6380732701001915e-07,3.6380732701001915e-07,3.6380732701001915e-07,3.6380732701001915e-07,3.6380732701001915e-07,3.6380732701001915e-07,3.6380732701001915e-07,3.6380732701001915e-07,3.6380732701001915e-07,3.6380732701001915e-07,3.6380732701001915e-07,3.6380732701001915e-07,3.6380732701001915e-07,3.6380732701001915e-07,3.6380732701001915e-07,3.6380732701001915e-07,3.6380732701001915e-07,2.29296441923823e-07,2.29296441923823e-07,2.29296441923823e-07,2.29296441923823e-07,2.29296441923823e-07,2.29296441923823e-07,2.29296441923823e-07,2.29296441923823e-07,2.29296441923823e-07,2.29296441923823e-07,2.29296441923823e-07,2.29296441923823e-07,2.29296441923823e-07,2.29296441923823e-07,2.29296441923823e-07,2.29296441923823e-07,2.29296441923823e-07,2.29296441923823e-07,2.29296441923823e-07,2.29296441923823e-07
4,5,4.215612328053206e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,5.508230144668752e-07,3.664634753589776e-07,3.664634753589776e-07,3.664634753589776e-07,3.664634753589776e-07,3.664634753589776e-07,3.664634753589776e-07,3.664634753589776e-07,3.664634753589776e-07,3.664634753589776e-07,3.664634753589776e-07,3.664634753589776e-07,3.664634753589776e-07,3.664634753589776e-07,3.664634753589776e-07,3.664634753589776e-07,3.664634753589776e-07,3.664634753589776e-07,3.664634753589776e-07,3.664634753589776e-07,3.664634753589776e-07,2.3163662163956647e-07,2.3163662163956647e-07,2.3163662163956647e-07,2.3163662163956647e-07,2.3163662163956647e-07,2.3163662163956647e-07,2.3163662163956647e-07,2.3163662163956647e-07,2.3163662163956647e-07,2.3163662163956647e-07,2.3163662163956647e-07,2.3163662163956647e-07,2.3163662163956647e-07,2.3163662163956647e-07,2.3163662163956647e-07,2.3163662163956647e-07,2.3163662163956647e-07,2.3163662163956647e-07,2.3163662163956647e-07,2.3163662163956647e-07
5,6,4.2415445200171233e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,5.526627296995991e-07,3.69158693906061e-07,3.69158693906061e-07,3.69158693906061e-07,3.69158693906061e-07,3.69158693906061e-07,3.69158693906061e-07,3.69158693906061e-07,3.69158693906061e-07,3.69158693906061e-07,3.69158693906061e-07,3.69158693906061e-07,3.69158693906061e-07,3.69158693906061e-07,3.69158693906061e-07,3.69158693906061e-07,3.69158693906061e-07,3.69158693906061e-07,3.69158693906061e-07,3.69158693906061e-07,3.69158693906061e-07,2.340250612362993e-07,2.340250612362993e-07,2.340250612362993e-07,2.340250612362993e-07,2.340250612362993e-07,2.340250612362993e-07,2.340250612362993e-07,2.340250612362993e-07,2.340250612362993e-07,2.340250612362993e-07,2.340250612362993e-07,2.340250612362993e-07,2.340250612362993e-07,2.340250612362993e-07,2.340250612362993e-07,2.340250612362993e-07,2.340250612362993e-07,2.340250612362993e-07,2.340250612362993e-07,2.340250612362993e-07
6,7,4.267797728649717e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,5.545147751876958e-07,3.7189385108374517e-07,3.7189385108374517e-07,3.7189385108374517e-07,3.7189385108374517e-07,3.7189385108374517e-07,3.7189385108374517e-07,3.7189385108374517e-07,3.7189385108374517e-07,3.7189385108374517e-07,3.7189385108374517e-07,3.7189385108374517e-07,3.7189385108374517e-07,3.7189385108374517e-07,3.7189385108374517e-07,3.7189385108374517e-07,3.7189385108374517e-07,3.7189385108374517e-07,3.7189385108374517e-07,3.7189385108374517e-07,3.7189385108374517e-07,2.3646326911172824e-07,2.3646326911172824e-07,2.3646326911172824e-07,2.3646326911172824e-07,2.3646326911172824e-07,2.3646326911172824e-07,2.3646326911172824e-07,2.3646326911172824e-07,2.3646326911172824e-07,2.3646326911172824e-07,2.3646326911172824e-07,2.3646326911172824e-07,2.3646326911172824e-07,2.3646326911172824e-07,2.3646326911172824e-07,2.3646326911172824e-07,2.3646326911172824e-07,2.3646326911172824e-07,2.3646326911172824e-07,2.3646326911172824e-07
7,8,4.29437795191195e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,5.563792753088936e-07,3.746698412540555e-07,3.746698412540555e-07,3.746698412540555e-07,3.746698412540555e-07,3.746698412540555e-07,3.746698412540555e-07,3.746698412540555e-07,3.746698412540555e-07,3.746698412540555e-07,3.746698412540555e-07,3.746698412540555e-07,3.746698412540555e-07,3.746698412540555e-07,3.746698412540555e-07,3.746698412540555e-07,3.746698412540555e-07,3.746698412540555e-07,3.746698412540555e-07,3.746698412540555e-07,3.746698412540555e-07,2.389528171868061e-07,2.389528171868061e-07,2.389528171868061e-07,2.389528171868061e-07,2.389528171868061e-07,2.389528171868061e-07,2.389528171868061e-07,2.389528171868061e-07,2.389528171868061e-07,2.389528171868061e-07,2.389528171868061e-07,2.389528171868061e-07,2.389528171868061e-07,2.389528171868061e-07,2.389528171868061e-07,2.389528171868061e-07,2.389528171868061e-07,2.389528171868061e-07,2.389528171868061e-07,2.389528171868061e-07
8,9,4.321291338124573e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,5.582563561193946e-07,3.774875856835966e-07,3.774875856835966e-07,3.774875856835966e-07,3.774875856835966e-07,3.774875856835966e-07,3.774875856835966e-07,3.774875856835966e-07,3.774875856835966e-07,3.774875856835966e-07,3.774875856835966e-07,3.774875856835966e-07,3.774875856835966e-07,3.774875856835966e-07,3.774875856835966e-07,3.774875856835966e-07,3.774875856835966e-07,3.774875856835966e-07,3.774875856835966e-07,3.774875856835966e-07,3.774875856835966e-07,2.4149534428526025e-07,2.4149534428526025e-07,2.4149534428526025e-07,2.4149534428526025e-07,2.4149534428526025e-07,2.4149534428526025e-07,2.4149534428526025e-07,2.4149534428526025e-07,2.4149534428526025e-07,2.4149534428526025e-07,2.4149534428526025e-07,2.4149534428526025e-07,2.4149534428526025e-07,2.4149534428526025e-07,2.4149534428526025e-07,2.4149534428526025e-07,2.4149534428526025e-07,2.4149534428526025e-07,2.4149534428526025e-07,2.4149534428526025e-07
9,10,4.348544190709454e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,5.601461453822843e-07,3.803480335629126e-07,3.803480335629126e-07,3.803480335629126e-07,3.803480335629126e-07,3.803480335629126e-07,3.803480335629126e-07,3.803480335629126e-07,3.803480335629126e-07,3.803480335629126e-07,3.803480335629126e-07,3.803480335629126e-07,3.803480335629126e-07,3.803480335629126e-07,3.803480335629126e-07,3.803480335629126e-07,3.803480335629126e-07,3.803480335629126e-07,3.803480335629126e-07,3.803480335629126e-07,3.803480335629126e-07,2.440925597311967e-07,2.440925597311967e-07,2.440925597311967e-07,2.440925597311967e-07,2.440925597311967e-07,2.440925597311967e-07,2.440925597311967e-07,2.440925597311967e-07,2.440925597311967e-07,2.440925597311967e-07,2.440925597311967e-07,2.440925597311967e-07,2.440925597311967e-07,2.440925597311967e-07,2.440925597311967e-07,2.440925597311967e-07,2.440925597311967e-07,2.440925597311967e-07,2.440925597311967e-07,2.440925597311967e-07
