,Time-steps,AgeIndependent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,8.422433748856834e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111
1,2,8.422433748856834e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,8.147258752302883e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,7.696754357199563e-05,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111,0.0001520511352129111
2,3,8.423143183887536e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,8.147922585989036e-05,7.697346804379426e-05,7.697346804379426e-05,7.697346804379426e-05,7.697346804379426e-05,7.697346804379426e-05,7.697346804379426e-05,7.697346804379426e-05,7.697346804379426e-05,7.697346804379426e-05,7.697346804379426e-05,7.697346804379426e-05,7.697346804379426e-05,7.697346804379426e-05,7.697346804379426e-05,7.697346804379426e-05,7.697346804379426e-05,7.697346804379426e-05,7.697346804379426e-05,7.697346804379426e-05,7.697346804379426e-05,0.0001520742582927954,0.0001520742582927954,0.0001520742582927954,0.0001520742582927954,0.0001520742582927954,0.0001520742582927954,0.0001520742582927954,0.0001520742582927954,0.0001520742582927954,0.0001520742582927954,0.0001520742582927954,0.0001520742582927954,0.0001520742582927954,0.0001520742582927954,0.0001520742582927954,0.0001520742582927954,0.0001520742582927954,0.0001520742582927954,0.0001520742582927954,0.0001520742582927954
3,4,8.423852738441992e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,8.148586527861534e-05,7.69793934277194e-05,7.69793934277194e-05,7.69793934277194e-05,7.69793934277194e-05,7.69793934277194e-05,7.69793934277194e-05,7.69793934277194e-05,7.69793934277194e-05,7.69793934277194e-05,7.69793934277194e-05,7.69793934277194e-05,7.69793934277194e-05,7.69793934277194e-05,7.69793934277194e-05,7.69793934277194e-05,7.69793934277194e-05,7.69793934277194e-05,7.69793934277194e-05,7.69793934277194e-05,7.69793934277194e-05,0.00015209738840660478,0.00015209738840660478,0.00015209738840660478,0.00015209738840660478,0.00015209738840660478,0.00015209738840660478,0.00015209738840660478,0.00015209738840660478,0.00015209738840660478,0.00015209738840660478,0.00015209738840660478,0.00015209738840660478,0.00015209738840660478,0.00015209738840660478,0.00015209738840660478,0.00015209738840660478,0.00015209738840660478,0.00015209738840660478,0.00015209738840660478,0.00015209738840660478
4,5,8.424562412550416e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,8.149250577946826e-05,7.698531972398169e-05,7.698531972398169e-05,7.698531972398169e-05,7.698531972398169e-05,7.698531972398169e-05,7.698531972398169e-05,7.698531972398169e-05,7.698531972398169e-05,7.698531972398169e-05,7.698531972398169e-05,7.698531972398169e-05,7.698531972398169e-05,7.698531972398169e-05,7.698531972398169e-05,7.698531972398169e-05,7.698531972398169e-05,7.698531972398169e-05,7.698531972398169e-05,7.698531972398169e-05,7.698531972398169e-05,0.00015212052555754925,0.00015212052555754925,0.00015212052555754925,0.00015212052555754925,0.00015212052555754925,0.00015212052555754925,0.00015212052555754925,0.00015212052555754925,0.00015212052555754925,0.00015212052555754925,0.00015212052555754925,0.00015212052555754925,0.00015212052555754925,0.00015212052555754925,0.00015212052555754925,0.00015212052555754925,0.00015212052555754925,0.00015212052555754925,0.00015212052555754925,0.00015212052555754925
5,6,8.42527220624302e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,8.14991473627137e-05,7.699124693279188e-05,7.699124693279188e-05,7.699124693279188e-05,7.699124693279188e-05,7.699124693279188e-05,7.699124693279188e-05,7.699124693279188e-05,7.699124693279188e-05,7.699124693279188e-05,7.699124693279188e-05,7.699124693279188e-05,7.699124693279188e-05,7.699124693279188e-05,7.699124693279188e-05,7.699124693279188e-05,7.699124693279188e-05,7.699124693279188e-05,7.699124693279188e-05,7.699124693279188e-05,7.699124693279188e-05,0.0001521436697488408,0.0001521436697488408,0.0001521436697488408,0.0001521436697488408,0.0001521436697488408,0.0001521436697488408,0.0001521436697488408,0.0001521436697488408,0.0001521436697488408,0.0001521436697488408,0.0001521436697488408,0.0001521436697488408,0.0001521436697488408,0.0001521436697488408,0.0001521436697488408,0.0001521436697488408,0.0001521436697488408,0.0001521436697488408,0.0001521436697488408,0.0001521436697488408
6,7,8.425982119550037e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,8.150579002861631e-05,7.699717505436073e-05,7.699717505436073e-05,7.699717505436073e-05,7.699717505436073e-05,7.699717505436073e-05,7.699717505436073e-05,7.699717505436073e-05,7.699717505436073e-05,7.699717505436073e-05,7.699717505436073e-05,7.699717505436073e-05,7.699717505436073e-05,7.699717505436073e-05,7.699717505436073e-05,7.699717505436073e-05,7.699717505436073e-05,7.699717505436073e-05,7.699717505436073e-05,7.699717505436073e-05,7.699717505436073e-05,0.0001521668209836933,0.0001521668209836933,0.0001521668209836933,0.0001521668209836933,0.0001521668209836933,0.0001521668209836933,0.0001521668209836933,0.0001521668209836933,0.0001521668209836933,0.0001521668209836933,0.0001521668209836933,0.0001521668209836933,0.0001521668209836933,0.0001521668209836933,0.0001521668209836933,0.0001521668209836933,0.0001521668209836933,0.0001521668209836933,0.0001521668209836933,0.0001521668209836933
7,8,8.426692152501704e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,8.151243377744086e-05,7.700310408889913e-05,7.700310408889913e-05,7.700310408889913e-05,7.700310408889913e-05,7.700310408889913e-05,7.700310408889913e-05,7.700310408889913e-05,7.700310408889913e-05,7.700310408889913e-05,7.700310408889913e-05,7.700310408889913e-05,7.700310408889913e-05,7.700310408889913e-05,7.700310408889913e-05,7.700310408889913e-05,7.700310408889913e-05,7.700310408889913e-05,7.700310408889913e-05,7.700310408889913e-05,7.700310408889913e-05,0.00015218997926532264,0.00015218997926532264,0.00015218997926532264,0.00015218997926532264,0.00015218997926532264,0.00015218997926532264,0.00015218997926532264,0.00015218997926532264,0.00015218997926532264,0.00015218997926532264,0.00015218997926532264,0.00015218997926532264,0.00015218997926532264,0.00015218997926532264,0.00015218997926532264,0.00015218997926532264,0.00015218997926532264,0.00015218997926532264,0.00015218997926532264,0.00015218997926532264
8,9,8.427402305128268e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,8.151907860945219e-05,7.700903403661797e-05,7.700903403661797e-05,7.700903403661797e-05,7.700903403661797e-05,7.700903403661797e-05,7.700903403661797e-05,7.700903403661797e-05,7.700903403661797e-05,7.700903403661797e-05,7.700903403661797e-05,7.700903403661797e-05,7.700903403661797e-05,7.700903403661797e-05,7.700903403661797e-05,7.700903403661797e-05,7.700903403661797e-05,7.700903403661797e-05,7.700903403661797e-05,7.700903403661797e-05,7.700903403661797e-05,0.00015221314459694675,0.00015221314459694675,0.00015221314459694675,0.00015221314459694675,0.00015221314459694675,0.00015221314459694675,0.00015221314459694675,0.00015221314459694675,0.00015221314459694675,0.00015221314459694675,0.00015221314459694675,0.00015221314459694675,0.00015221314459694675,0.00015221314459694675,0.00015221314459694675,0.00015221314459694675,0.00015221314459694675,0.00015221314459694675,0.00015221314459694675,0.00015221314459694675
9,10,8.428112577459992e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,8.152572452491519e-05,7.701496489772826e-05,7.701496489772826e-05,7.701496489772826e-05,7.701496489772826e-05,7.701496489772826e-05,7.701496489772826e-05,7.701496489772826e-05,7.701496489772826e-05,7.701496489772826e-05,7.701496489772826e-05,7.701496489772826e-05,7.701496489772826e-05,7.701496489772826e-05,7.701496489772826e-05,7.701496489772826e-05,7.701496489772826e-05,7.701496489772826e-05,7.701496489772826e-05,7.701496489772826e-05,7.701496489772826e-05,0.0001522363169817853,0.0001522363169817853,0.0001522363169817853,0.0001522363169817853,0.0001522363169817853,0.0001522363169817853,0.0001522363169817853,0.0001522363169817853,0.0001522363169817853,0.0001522363169817853,0.0001522363169817853,0.0001522363169817853,0.0001522363169817853,0.0001522363169817853,0.0001522363169817853,0.0001522363169817853,0.0001522363169817853,0.0001522363169817853,0.0001522363169817853,0.0001522363169817853
