,Time-steps,AgeIndependent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,1.6341489609483695e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10
1,2,1.6341489609483695e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6570305521897533e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.6944912864508324e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10,1.0701496586221742e-10
2,3,1.634286607922255e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6571655660309694e-10,1.6946217176088728e-10,1.6946217176088728e-10,1.6946217176088728e-10,1.6946217176088728e-10,1.6946217176088728e-10,1.6946217176088728e-10,1.6946217176088728e-10,1.6946217176088728e-10,1.6946217176088728e-10,1.6946217176088728e-10,1.6946217176088728e-10,1.6946217176088728e-10,1.6946217176088728e-10,1.6946217176088728e-10,1.6946217176088728e-10,1.6946217176088728e-10,1.6946217176088728e-10,1.6946217176088728e-10,1.6946217176088728e-10,1.6946217176088728e-10,1.0703124009523108e-10,1.0703124009523108e-10,1.0703124009523108e-10,1.0703124009523108e-10,1.0703124009523108e-10,1.0703124009523108e-10,1.0703124009523108e-10,1.0703124009523108e-10,1.0703124009523108e-10,1.0703124009523108e-10,1.0703124009523108e-10,1.0703124009523108e-10,1.0703124009523108e-10,1.0703124009523108e-10,1.0703124009523108e-10,1.0703124009523108e-10,1.0703124009523108e-10,1.0703124009523108e-10,1.0703124009523108e-10,1.0703124009523108e-10
3,4,1.6344242780865421e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.6573006018756694e-10,1.69475216884798e-10,1.69475216884798e-10,1.69475216884798e-10,1.69475216884798e-10,1.69475216884798e-10,1.69475216884798e-10,1.69475216884798e-10,1.69475216884798e-10,1.69475216884798e-10,1.69475216884798e-10,1.69475216884798e-10,1.69475216884798e-10,1.69475216884798e-10,1.69475216884798e-10,1.69475216884798e-10,1.69475216884798e-10,1.69475216884798e-10,1.69475216884798e-10,1.69475216884798e-10,1.69475216884798e-10,1.0704751927878492e-10,1.0704751927878492e-10,1.0704751927878492e-10,1.0704751927878492e-10,1.0704751927878492e-10,1.0704751927878492e-10,1.0704751927878492e-10,1.0704751927878492e-10,1.0704751927878492e-10,1.0704751927878492e-10,1.0704751927878492e-10,1.0704751927878492e-10,1.0704751927878492e-10,1.0704751927878492e-10,1.0704751927878492e-10,1.0704751927878492e-10,1.0704751927878492e-10,1.0704751927878492e-10,1.0704751927878492e-10,1.0704751927878492e-10
4,5,1.6345619714470922e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.657435659729233e-10,1.6948826401727924e-10,1.6948826401727924e-10,1.6948826401727924e-10,1.6948826401727924e-10,1.6948826401727924e-10,1.6948826401727924e-10,1.6948826401727924e-10,1.6948826401727924e-10,1.6948826401727924e-10,1.6948826401727924e-10,1.6948826401727924e-10,1.6948826401727924e-10,1.6948826401727924e-10,1.6948826401727924e-10,1.6948826401727924e-10,1.6948826401727924e-10,1.6948826401727924e-10,1.6948826401727924e-10,1.6948826401727924e-10,1.6948826401727924e-10,1.0706380341513815e-10,1.0706380341513815e-10,1.0706380341513815e-10,1.0706380341513815e-10,1.0706380341513815e-10,1.0706380341513815e-10,1.0706380341513815e-10,1.0706380341513815e-10,1.0706380341513815e-10,1.0706380341513815e-10,1.0706380341513815e-10,1.0706380341513815e-10,1.0706380341513815e-10,1.0706380341513815e-10,1.0706380341513815e-10,1.0706380341513815e-10,1.0706380341513815e-10,1.0706380341513815e-10,1.0706380341513815e-10,1.0706380341513815e-10
5,6,1.634699688009768e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.657570739597041e-10,1.6950131315879488e-10,1.6950131315879488e-10,1.6950131315879488e-10,1.6950131315879488e-10,1.6950131315879488e-10,1.6950131315879488e-10,1.6950131315879488e-10,1.6950131315879488e-10,1.6950131315879488e-10,1.6950131315879488e-10,1.6950131315879488e-10,1.6950131315879488e-10,1.6950131315879488e-10,1.6950131315879488e-10,1.6950131315879488e-10,1.6950131315879488e-10,1.6950131315879488e-10,1.6950131315879488e-10,1.6950131315879488e-10,1.6950131315879488e-10,1.070800925065514e-10,1.070800925065514e-10,1.070800925065514e-10,1.070800925065514e-10,1.070800925065514e-10,1.070800925065514e-10,1.070800925065514e-10,1.070800925065514e-10,1.070800925065514e-10,1.070800925065514e-10,1.070800925065514e-10,1.070800925065514e-10,1.070800925065514e-10,1.070800925065514e-10,1.070800925065514e-10,1.070800925065514e-10,1.070800925065514e-10,1.070800925065514e-10,1.070800925065514e-10,1.070800925065514e-10
6,7,1.634837427780435e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6577058414844768e-10,1.6951436430980902e-10,1.6951436430980902e-10,1.6951436430980902e-10,1.6951436430980902e-10,1.6951436430980902e-10,1.6951436430980902e-10,1.6951436430980902e-10,1.6951436430980902e-10,1.6951436430980902e-10,1.6951436430980902e-10,1.6951436430980902e-10,1.6951436430980902e-10,1.6951436430980902e-10,1.6951436430980902e-10,1.6951436430980902e-10,1.6951436430980902e-10,1.6951436430980902e-10,1.6951436430980902e-10,1.6951436430980902e-10,1.6951436430980902e-10,1.0709638655528666e-10,1.0709638655528666e-10,1.0709638655528666e-10,1.0709638655528666e-10,1.0709638655528666e-10,1.0709638655528666e-10,1.0709638655528666e-10,1.0709638655528666e-10,1.0709638655528666e-10,1.0709638655528666e-10,1.0709638655528666e-10,1.0709638655528666e-10,1.0709638655528666e-10,1.0709638655528666e-10,1.0709638655528666e-10,1.0709638655528666e-10,1.0709638655528666e-10,1.0709638655528666e-10,1.0709638655528666e-10,1.0709638655528666e-10
7,8,1.6349751907649598e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6578409653969245e-10,1.6952741747078587e-10,1.6952741747078587e-10,1.6952741747078587e-10,1.6952741747078587e-10,1.6952741747078587e-10,1.6952741747078587e-10,1.6952741747078587e-10,1.6952741747078587e-10,1.6952741747078587e-10,1.6952741747078587e-10,1.6952741747078587e-10,1.6952741747078587e-10,1.6952741747078587e-10,1.6952741747078587e-10,1.6952741747078587e-10,1.6952741747078587e-10,1.6952741747078587e-10,1.6952741747078587e-10,1.6952741747078587e-10,1.6952741747078587e-10,1.0711268556360728e-10,1.0711268556360728e-10,1.0711268556360728e-10,1.0711268556360728e-10,1.0711268556360728e-10,1.0711268556360728e-10,1.0711268556360728e-10,1.0711268556360728e-10,1.0711268556360728e-10,1.0711268556360728e-10,1.0711268556360728e-10,1.0711268556360728e-10,1.0711268556360728e-10,1.0711268556360728e-10,1.0711268556360728e-10,1.0711268556360728e-10,1.0711268556360728e-10,1.0711268556360728e-10,1.0711268556360728e-10,1.0711268556360728e-10
8,9,1.6351129769692115e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6579761113397708e-10,1.6954047264218976e-10,1.6954047264218976e-10,1.6954047264218976e-10,1.6954047264218976e-10,1.6954047264218976e-10,1.6954047264218976e-10,1.6954047264218976e-10,1.6954047264218976e-10,1.6954047264218976e-10,1.6954047264218976e-10,1.6954047264218976e-10,1.6954047264218976e-10,1.6954047264218976e-10,1.6954047264218976e-10,1.6954047264218976e-10,1.6954047264218976e-10,1.6954047264218976e-10,1.6954047264218976e-10,1.6954047264218976e-10,1.6954047264218976e-10,1.0712898953377802e-10,1.0712898953377802e-10,1.0712898953377802e-10,1.0712898953377802e-10,1.0712898953377802e-10,1.0712898953377802e-10,1.0712898953377802e-10,1.0712898953377802e-10,1.0712898953377802e-10,1.0712898953377802e-10,1.0712898953377802e-10,1.0712898953377802e-10,1.0712898953377802e-10,1.0712898953377802e-10,1.0712898953377802e-10,1.0712898953377802e-10,1.0712898953377802e-10,1.0712898953377802e-10,1.0712898953377802e-10,1.0712898953377802e-10
9,10,1.635250786399061e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6581112793184037e-10,1.6955352982448523e-10,1.6955352982448523e-10,1.6955352982448523e-10,1.6955352982448523e-10,1.6955352982448523e-10,1.6955352982448523e-10,1.6955352982448523e-10,1.6955352982448523e-10,1.6955352982448523e-10,1.6955352982448523e-10,1.6955352982448523e-10,1.6955352982448523e-10,1.6955352982448523e-10,1.6955352982448523e-10,1.6955352982448523e-10,1.6955352982448523e-10,1.6955352982448523e-10,1.6955352982448523e-10,1.6955352982448523e-10,1.6955352982448523e-10,1.0714529846806498e-10,1.0714529846806498e-10,1.0714529846806498e-10,1.0714529846806498e-10,1.0714529846806498e-10,1.0714529846806498e-10,1.0714529846806498e-10,1.0714529846806498e-10,1.0714529846806498e-10,1.0714529846806498e-10,1.0714529846806498e-10,1.0714529846806498e-10,1.0714529846806498e-10,1.0714529846806498e-10,1.0714529846806498e-10,1.0714529846806498e-10,1.0714529846806498e-10,1.0714529846806498e-10,1.0714529846806498e-10,1.0714529846806498e-10
