,Time-steps,AgeIndependent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,1.3740675618167188e-06,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,9.266296097491144e-08,2.3411744504202863e-06,2.3411744504202863e-06,2.3411744504202863e-06,2.3411744504202863e-06,2.3411744504202863e-06,2.3411744504202863e-06,2.3411744504202863e-06,2.3411744504202863e-06,2.3411744504202863e-06,2.3411744504202863e-06,2.3411744504202863e-06,2.3411744504202863e-06,2.3411744504202863e-06,2.3411744504202863e-06,2.3411744504202863e-06,2.3411744504202863e-06,2.3411744504202863e-06,2.3411744504202863e-06,2.3411744504202863e-06,2.3411744504202863e-06,9.012574954193799e-06,9.012574954193799e-06,9.012574954193799e-06,9.012574954193799e-06,9.012574954193799e-06,9.012574954193799e-06,9.012574954193799e-06,9.012574954193799e-06,9.012574954193799e-06,9.012574954193799e-06,9.012574954193799e-06,9.012574954193799e-06,9.012574954193799e-06,9.012574954193799e-06,9.012574954193799e-06,9.012574954193799e-06,9.012574954193799e-06,9.012574954193799e-06,9.012574954193799e-06,9.012574954193799e-06
1,2,1.3778844063312805e-06,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,9.292035742624205e-08,2.347677696044471e-06,2.347677696044471e-06,2.347677696044471e-06,2.347677696044471e-06,2.347677696044471e-06,2.347677696044471e-06,2.347677696044471e-06,2.347677696044471e-06,2.347677696044471e-06,2.347677696044471e-06,2.347677696044471e-06,2.347677696044471e-06,2.347677696044471e-06,2.347677696044471e-06,2.347677696044471e-06,2.347677696044471e-06,2.347677696044471e-06,2.347677696044471e-06,2.347677696044471e-06,2.347677696044471e-06,9.03760982018722e-06,9.03760982018722e-06,9.03760982018722e-06,9.03760982018722e-06,9.03760982018722e-06,9.03760982018722e-06,9.03760982018722e-06,9.03760982018722e-06,9.03760982018722e-06,9.03760982018722e-06,9.03760982018722e-06,9.03760982018722e-06,9.03760982018722e-06,9.03760982018722e-06,9.03760982018722e-06,9.03760982018722e-06,9.03760982018722e-06,9.03760982018722e-06,9.03760982018722e-06,9.03760982018722e-06
2,3,1.383896181286533e-06,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,9.331162275504723e-08,2.358492420231174e-06,2.358492420231174e-06,2.358492420231174e-06,2.358492420231174e-06,2.358492420231174e-06,2.358492420231174e-06,2.358492420231174e-06,2.358492420231174e-06,2.358492420231174e-06,2.358492420231174e-06,2.358492420231174e-06,2.358492420231174e-06,2.358492420231174e-06,2.358492420231174e-06,2.358492420231174e-06,2.358492420231174e-06,2.358492420231174e-06,2.358492420231174e-06,2.358492420231174e-06,2.358492420231174e-06,9.082877499077916e-06,9.082877499077916e-06,9.082877499077916e-06,9.082877499077916e-06,9.082877499077916e-06,9.082877499077916e-06,9.082877499077916e-06,9.082877499077916e-06,9.082877499077916e-06,9.082877499077916e-06,9.082877499077916e-06,9.082877499077916e-06,9.082877499077916e-06,9.082877499077916e-06,9.082877499077916e-06,9.082877499077916e-06,9.082877499077916e-06,9.082877499077916e-06,9.082877499077916e-06,9.082877499077916e-06
3,4,1.3899409302413092e-06,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,9.370473218291078e-08,2.3693791138152913e-06,2.3693791138152913e-06,2.3693791138152913e-06,2.3693791138152913e-06,2.3693791138152913e-06,2.3693791138152913e-06,2.3693791138152913e-06,2.3693791138152913e-06,2.3693791138152913e-06,2.3693791138152913e-06,2.3693791138152913e-06,2.3693791138152913e-06,2.3693791138152913e-06,2.3693791138152913e-06,2.3693791138152913e-06,2.3693791138152913e-06,2.3693791138152913e-06,2.3693791138152913e-06,2.3693791138152913e-06,2.3693791138152913e-06,9.128527678461693e-06,9.128527678461693e-06,9.128527678461693e-06,9.128527678461693e-06,9.128527678461693e-06,9.128527678461693e-06,9.128527678461693e-06,9.128527678461693e-06,9.128527678461693e-06,9.128527678461693e-06,9.128527678461693e-06,9.128527678461693e-06,9.128527678461693e-06,9.128527678461693e-06,9.128527678461693e-06,9.128527678461693e-06,9.128527678461693e-06,9.128527678461693e-06,9.128527678461693e-06,9.128527678461693e-06
4,5,1.3960189329130908e-06,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,9.409969879644781e-08,2.380338518342497e-06,2.380338518342497e-06,2.380338518342497e-06,2.380338518342497e-06,2.380338518342497e-06,2.380338518342497e-06,2.380338518342497e-06,2.380338518342497e-06,2.380338518342497e-06,2.380338518342497e-06,2.380338518342497e-06,2.380338518342497e-06,2.380338518342497e-06,2.380338518342497e-06,2.380338518342497e-06,2.380338518342497e-06,2.380338518342497e-06,2.380338518342497e-06,2.380338518342497e-06,2.380338518342497e-06,9.17456524492423e-06,9.17456524492423e-06,9.17456524492423e-06,9.17456524492423e-06,9.17456524492423e-06,9.17456524492423e-06,9.17456524492423e-06,9.17456524492423e-06,9.17456524492423e-06,9.17456524492423e-06,9.17456524492423e-06,9.17456524492423e-06,9.17456524492423e-06,9.17456524492423e-06,9.17456524492423e-06,9.17456524492423e-06,9.17456524492423e-06,9.17456524492423e-06,9.17456524492423e-06,9.17456524492423e-06
5,6,1.4021304708288555e-06,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,9.449653576853323e-08,2.391371381097598e-06,2.391371381097598e-06,2.391371381097598e-06,2.391371381097598e-06,2.391371381097598e-06,2.391371381097598e-06,2.391371381097598e-06,2.391371381097598e-06,2.391371381097598e-06,2.391371381097598e-06,2.391371381097598e-06,2.391371381097598e-06,2.391371381097598e-06,2.391371381097598e-06,2.391371381097598e-06,2.391371381097598e-06,2.391371381097598e-06,2.391371381097598e-06,2.391371381097598e-06,2.391371381097598e-06,9.220995138191975e-06,9.220995138191975e-06,9.220995138191975e-06,9.220995138191975e-06,9.220995138191975e-06,9.220995138191975e-06,9.220995138191975e-06,9.220995138191975e-06,9.220995138191975e-06,9.220995138191975e-06,9.220995138191975e-06,9.220995138191975e-06,9.220995138191975e-06,9.220995138191975e-06,9.220995138191975e-06,9.220995138191975e-06,9.220995138191975e-06,9.220995138191975e-06,9.220995138191975e-06,9.220995138191975e-06
6,7,1.4082758273134719e-06,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,9.489525635817288e-08,2.402478455086005e-06,2.402478455086005e-06,2.402478455086005e-06,2.402478455086005e-06,2.402478455086005e-06,2.402478455086005e-06,2.402478455086005e-06,2.402478455086005e-06,2.402478455086005e-06,2.402478455086005e-06,2.402478455086005e-06,2.402478455086005e-06,2.402478455086005e-06,2.402478455086005e-06,2.402478455086005e-06,2.402478455086005e-06,2.402478455086005e-06,2.402478455086005e-06,2.402478455086005e-06,2.402478455086005e-06,9.267822351467204e-06,9.267822351467204e-06,9.267822351467204e-06,9.267822351467204e-06,9.267822351467204e-06,9.267822351467204e-06,9.267822351467204e-06,9.267822351467204e-06,9.267822351467204e-06,9.267822351467204e-06,9.267822351467204e-06,9.267822351467204e-06,9.267822351467204e-06,9.267822351467204e-06,9.267822351467204e-06,9.267822351467204e-06,9.267822351467204e-06,9.267822351467204e-06,9.267822351467204e-06,9.267822351467204e-06
7,8,1.41445528747771e-06,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,9.529587391036756e-08,2.4136604990139483e-06,2.4136604990139483e-06,2.4136604990139483e-06,2.4136604990139483e-06,2.4136604990139483e-06,2.4136604990139483e-06,2.4136604990139483e-06,2.4136604990139483e-06,2.4136604990139483e-06,2.4136604990139483e-06,2.4136604990139483e-06,2.4136604990139483e-06,2.4136604990139483e-06,2.4136604990139483e-06,2.4136604990139483e-06,2.4136604990139483e-06,2.4136604990139483e-06,2.4136604990139483e-06,2.4136604990139483e-06,2.4136604990139483e-06,9.31505193176151e-06,9.31505193176151e-06,9.31505193176151e-06,9.31505193176151e-06,9.31505193176151e-06,9.31505193176151e-06,9.31505193176151e-06,9.31505193176151e-06,9.31505193176151e-06,9.31505193176151e-06,9.31505193176151e-06,9.31505193176151e-06,9.31505193176151e-06,9.31505193176151e-06,9.31505193176151e-06,9.31505193176151e-06,9.31505193176151e-06,9.31505193176151e-06,9.31505193176151e-06,9.31505193176151e-06
8,9,1.4206691382058782e-06,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,9.569840185597032e-08,2.4249182772674477e-06,2.4249182772674477e-06,2.4249182772674477e-06,2.4249182772674477e-06,2.4249182772674477e-06,2.4249182772674477e-06,2.4249182772674477e-06,2.4249182772674477e-06,2.4249182772674477e-06,2.4249182772674477e-06,2.4249182772674477e-06,2.4249182772674477e-06,2.4249182772674477e-06,2.4249182772674477e-06,2.4249182772674477e-06,2.4249182772674477e-06,2.4249182772674477e-06,2.4249182772674477e-06,2.4249182772674477e-06,2.4249182772674477e-06,9.362688980227653e-06,9.362688980227653e-06,9.362688980227653e-06,9.362688980227653e-06,9.362688980227653e-06,9.362688980227653e-06,9.362688980227653e-06,9.362688980227653e-06,9.362688980227653e-06,9.362688980227653e-06,9.362688980227653e-06,9.362688980227653e-06,9.362688980227653e-06,9.362688980227653e-06,9.362688980227653e-06,9.362688980227653e-06,9.362688980227653e-06,9.362688980227653e-06,9.362688980227653e-06,9.362688980227653e-06
9,10,1.4269176681430806e-06,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,9.610285371153729e-08,2.4362525598900006e-06,2.4362525598900006e-06,2.4362525598900006e-06,2.4362525598900006e-06,2.4362525598900006e-06,2.4362525598900006e-06,2.4362525598900006e-06,2.4362525598900006e-06,2.4362525598900006e-06,2.4362525598900006e-06,2.4362525598900006e-06,2.4362525598900006e-06,2.4362525598900006e-06,2.4362525598900006e-06,2.4362525598900006e-06,2.4362525598900006e-06,2.4362525598900006e-06,2.4362525598900006e-06,2.4362525598900006e-06,2.4362525598900006e-06,9.410738652489524e-06,9.410738652489524e-06,9.410738652489524e-06,9.410738652489524e-06,9.410738652489524e-06,9.410738652489524e-06,9.410738652489524e-06,9.410738652489524e-06,9.410738652489524e-06,9.410738652489524e-06,9.410738652489524e-06,9.410738652489524e-06,9.410738652489524e-06,9.410738652489524e-06,9.410738652489524e-06,9.410738652489524e-06,9.410738652489524e-06,9.410738652489524e-06,9.410738652489524e-06,9.410738652489524e-06
