age (upper bound)	version	fraction	Start time	expand to range	mo	Start time	expand to range	tu	Start time	expand to range	we	Start time	expand to range	th	Start time	expand to range	fr	Start time	expand to range	sa	Start time	expand to range	su	description
																								
6	1	1	8		school	8		school	8		school	8		school	8		school	10	16	public_4	10	16	public_5	underage_0_6
			10		public_1	10		public_2	10		public_3	10		public_1	10		public_3	17	22	home	17	22	home	
			11	15	home	11	15	home	11	15	home	11	15	home	11	15	home							
																								
12	1	1	10		school	10		school	10		school	10		school	10		school	10	16	public_4	10	16	public_5	underage_6_12
			12		public_1	12		public_2	12		public_3	12		public_1	12		public_3	17	22	home	17	22	home	
			13	19	home	13	19	home	13	19	home	13	19	home	13	19	home							
																								
18	1	1	12		school	12		school	12		school	12		school	12		school	10	16	public_4	10	16	public_5	underage_12_18
			14		public_1	14		public_2	14		public_3	14		public_1	14		public_3	17	22	home	17	22	home	
			15	22	home	15	22	home	15	22	home	15	22	home	15	22	home							
																								
67	1	0.77	7	12	work	mo		work	mo		work	mo		work	mo		work	10	16	public_4	10	16	public_5	adult
			p7	9	public_1	mo		public_2	mo		public_3	mo		public_1	mo		public_3	17	22	home	17	22	home	
			p1	3	home	p1	3	home	p1	3	home	p1	3	home	p1	3	home							
																								
	2	0.004	7	12	hospital	mo		hospital	mo		hospital	mo		hospital	mo		hospital	10	16	public_4	10	16	public_5	medical_professional
			p7	9	public_1	mo		public_2	mo		public_3	mo		public_1	mo		public_3	17	22	home	17	22	home	
			p1	3	home	p1	3	home	p1	3	home	p1	3	home	p1	3	home							
																								
	3	0.003	10	16	public_4	10	16	public_5	7	12	hospital	we		hospital	we		hospital	we		hospital	we		hospital	medical_professional
			17	22	home	17	22	home	p7	9	public_3	we		public_1	we		public_3	we		public_1	we		public_2	
									p1	3	home	p1	3	home	p1	3	home	p1	3	home	p1	3	home	
																								
	4	0.0015	6	7	home	mo		home	mo		home	mo		home	mo		home	mo		home	10	16	public_5	medical_professional
			p12	14	public_1	p12	14	public_2	p12	14	public_3	p12	14	public_1	p12	14	public_3	p12	14	public_4	17	22	home	
			22	23	hospital	mo		hospital	mo		hospital	mo		hospital	mo		hospital	p2	3	home				
																								
	5	0.0015	6	7	home	10	16	public_5	mo		home	mo		home	mo		home	mo		home	mo		home	medical_professional
			p12	14	public_4	17	22	home	p12	14	public_1	p12	14	public_2	p12	14	public_3	p12	14	public_1	p12	14	public_3	
			p2	3	home				22	23	hospital	we		hospital	we		hospital	we		hospital	we		hospital	
																								
	6	0.02	7	9	school	7	9	school	7	9	school	7	9	school	7	9	school	10	16	public_4	10	16	public_5	teacher
			13	15	public_1	13	15	public_2	13	15	public_3	13	15	public_1	13	15	public_3	17	22	home	17	22	home	
			16	18	home	16	18	home	16	18	home	16	18	home	16	18	home							
																								
	7	0.1	7	9	public_1	mo		public_1	mo		public_1	mo		public_1	mo		public_1	mo		public_1	10	16	public_5	public_worker
			p6	8	public_2	mo		public_3	mo		public_4	mo		public_2	mo		public_3	mo		public_3	17	22	home	
			p1	3	home	p1	3	home	p1	3	home	p1	3	home	p1	3	home	p1	3	home				
																								
	8	0.1	11	13	public_2	mo		public_3	mo		public_2	mo		public_4	mo		public_2	mo		public_3	10	16	public_5	public_worker
			p1	3	public_1	mo		public_1	mo		public_1	mo		public_1	mo		public_1	mo		public_1	17	22	home	
			p6	8	home	p1	3	home	p1	3	home	p1	3	home	p1	3	home	p1	3	home				
																								
inf	1	0.5	7	17	public_1	7	17	public_2	7	17	public_3	7	17	public_1	7	17	public_3	7	17	public_2	7	17	public_4	pensioner
			p1	5	home	p1	5	home	p1	5	home	p1	5	home	p1	5	home	p1	5	home	p1	5	home	
																								
	2	0.5	7	17	public_1	7	17	public_2	7	17	public_1	7	17	public_1	7	17	public_3	7	17	public_4	7	17	public_4	pensioner
			p1	5	home	p1	5	home	p1	5	home	p1	5	home	p1	5	home	p1	5	home	p1	5	home	
																								
diagnosed	1	0.9	9		home	9		home	9		home	9		home	9		home	9		home	9		home	conform
			14		home	14		home	14		home	14		home	14		home	14		home	14		home	
			19		home	19		home	19		home	19		home	19		home	19		home	19		home	
																								
	2	0.1	standard																					unconform
