age (upper bound)	version	fraction	Start time	expand to range	mo	Start time	expand to range	tu	Start time	expand to range	we	Start time	expand to range	th	Start time	expand to range	fr	Start time	expand to range	sa	Start time	expand to range	su	description
																								
18	1	1	7	9	mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	under_age
																								
67	1	0.77	7	12	mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	adult
																								
	2	4	7	12	mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	medical_professional
																								
	3	3	10	16	mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	medical_professional
																								
	4	0.0015	6	7	mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	medical_professional
																								
	5	0.0015	6	7	mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	medical_professional
																								
	6	0.02	7	9	mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	teacher
																								
	7	0.1	7	9	mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	public_worker
																								
	8	0.1	11	13	mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	public_worker
																								
inf	1	0.5	7	17	mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	pensioner
																								
	2	0.5	7	17	mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	1		mixing_loc	pensioner
																								
diagnosed	1	0.9	9		home	9		home	9		home	9		home	9		home	9		home	9		home	conform
			14		home	14		home	14		home	14		home	14		home	14		home	14		home	
