,ID,Age,Home,Type,Interaction Modifier
0,1042,37,486,adult,1
1,5201,49,2460,adult,1
2,1895,5,873,under_age,1
3,4539,95,2142,pensioner,1
4,1519,11,699,under_age,1
5,1898,36,873,adult,1
6,4538,92,2142,pensioner,1
7,1521,45,699,adult,1
8,5200,40,2460,adult,1
9,1045,61,487,adult,1
10,4541,50,2143,public_worker,1
11,1520,36,699,adult,1
12,5199,14,2460,under_age,1
13,1899,22,874,adult,1
14,4542,39,2143,adult,1
15,1044,54,487,adult,1
16,5198,8,2460,under_age,1
17,1900,45,874,adult,1
18,4540,21,2143,adult,1
19,1522,28,700,adult,1
20,5203,56,2461,adult,1
21,1047,70,488,pensioner,1
22,5202,60,2461,adult,1
23,1901,34,875,public_worker,1
24,1046,73,488,pensioner,1
25,4544,48,2144,adult,1
26,1524,43,701,adult,1
27,1902,29,875,adult,1
28,5205,43,2462,adult,1
29,1048,33,489,adult,1
30,4545,47,2144,adult,1
31,1523,9,701,under_age,1
32,1049,28,489,adult,1
33,5204,8,2462,under_age,1
34,1903,4,876,under_age,1
35,4543,15,2144,under_age,1
36,1525,58,702,adult,1
37,1904,42,876,adult,1
38,4546,21,2145,adult,1
39,5206,56,2463,adult,1
40,1050,29,490,adult,1
41,1526,49,703,adult,1
42,1905,35,876,adult,1
43,5207,23,2463,public_worker,1
44,1053,54,491,public_worker,1
45,4548,55,2146,adult,1
46,1528,63,704,adult,1
47,5208,31,2463,public_worker,1
48,1051,41,491,adult,1
49,1906,30,877,adult,1
50,4547,57,2146,adult,1
51,1527,65,704,adult,1
52,1907,30,877,adult,1
53,1052,19,491,adult,1
54,5211,44,2464,adult,1
55,4549,12,2147,under_age,1
56,1532,41,705,adult,1
57,5209,6,2464,under_age,1
58,1908,49,878,adult,1
59,1054,51,492,public_worker,1
60,4550,45,2147,public_worker,1
61,5212,38,2464,adult,1
62,1529,10,705,under_age,1
63,1055,49,492,teacher,1
64,4551,38,2147,adult,1
65,1531,44,705,adult,1
66,1912,45,879,adult,1
67,5210,12,2464,under_age,1
68,4552,76,2148,pensioner,1
69,1056,8,493,under_age,1
70,1530,16,705,under_age,1
71,1910,58,879,public_worker,1
72,5214,46,2465,adult,1
73,1057,37,493,adult,1
74,4553,23,2149,adult,1
75,1534,85,706,pensioner,1
76,1911,57,879,adult,1
77,1533,89,706,pensioner,1
78,5213,14,2465,under_age,1
79,1909,11,879,under_age,1
80,1059,58,494,adult,1
81,4554,82,2150,pensioner,1
82,1536,36,707,adult,1
83,5215,50,2465,adult,1
84,1913,40,880,adult,1
